GRB071125A 2007 11 25 23 21 00.36 C1 N N Y Y 260       13.824 0.256         18.432 0.256
GRB071204A 2007 12 04 05 58 29.40 C1 N N Y Y 223        0.032 0.080          0.224 0.080
GRB071227A 2007 12 27 20 13 47.17 C1 N N Y Y 231        0.640 0.032          2.368 0.032
GRB080212B 2008 02 12 23 04 49.42 C1 Y Y Y Y 268        1.600 0.032          4.800 0.032
GRB080303B 2008 03 03 21 34 37.82 C1 Y Y Y Y 278        3.072 0.512         15.360 0.512
GRB080318A 2008 03 18 08 31 31.87 C1 N N Y Y 282        5.184 0.032          7.936 0.032
GRB080319C 2008 03 19 12 25 56.65 C1 n N Y Y 312        0.896 0.032          2.240 0.032
GRB080328A 2008 03 28 08 02 59.85 C1 N N Y Y 270        5.120 0.256         24.064 0.256
GRB080407A 2008 04 07 20 42 05.10 C1 Y Y Y Y 274        9.728 0.256         20.992 0.256
GRB080413c 2008 04 13 19 26 16.49 C1 N N Y Y 282       11.776 0.256         20.992 0.256
GRB080507B 2008 05 07 21 44 05.19 C1 N N Y Y 255        0.040 0.004          0.192 0.004
GRB080514B 2008 05 14 09 55 56.82 C1 Y Y Y Y 270        4.224 0.640          9.600 0.640
GRB080528A 2008 05 28 18 27 50.64 C1 Y Y Y Y 285        0.096 0.080          0.240 0.080
GRB080530A 2008 05 30 16 11 36.74 C1 Y N Y Y 279        0.128 0.016          0.800 0.016
GRB080602A 2008 06 02 06 34 21.92 C1 N N Y Y 260       12.288 0.256         21.504 0.256
GRB080603B 2008 06 03 19 38 14.69 C1 Y N Y Y 282        4.224 0.640         10.112 0.640
GRB080607A 2008 06 07 06 07 23.15 C1 Y Y Y Y 278        4.224 0.640          9.600 0.640
GRB080609A 2008 06 09 22 49 38.89 C1 Y Y Y Y 266        8.704 0.256         20.480 0.256
GRB080611A 2008 06 11 01 19 06.97 C1 Y Y Y Y 254        0.016 0.004          0.088 0.004
GRB080613B 2008 06 13 11 12 38.00 C1 Y N Y Y 264        8.704 0.256         18.944 0.256
GRB080624A 2008 06 24 14 21 00.83 C1 N Y Y Y 246        9.216 0.512         20.480 0.512
GRB080702A 2008 07 02 18 19 39.84 C1 N N Y Y 281        0.176 0.080          0.608 0.080
GRB080709A 2008 07 09 18 15 52.97 C1 Y Y Y Y 262       10.752 0.256         20.992 0.256
GRB080714A 2008 07 14 17 52 49.24 C1 Y N Y Y 273        8.064 0.640         11.520 0.640
GRB080715A 2008 07 15 22 48 41.10 C1 N N Y Y 292        0.224 0.016          0.832 0.016
GRB080721A 2008 07 21 10 25 06.72 C1 Y Y Y Y 305        5.632 0.256         16.384 0.256
GRB080723B 2008 07 23 13 22 33.90 C1 Y Y Y Y 279       13.312 0.512         56.320 0.512
GRB080723D 2008 07 23 23 37 40.26 C1 N N Y Y 264       18.432 0.512         75.776 0.512
GRB080726A 2008 07 26 01 26 09.77 C1 Y N N Y 263       12.288 0.256         25.600 0.256
GRB080727B 2008 07 27 08 13 30.93 C1 Y N Y Y 233        1.184 0.016          1.536 0.016
GRB080728A 2008 07 28 23 06 46.78 C1 N N N Y 312        0.007 0.001          0.037 0.001
GRB080803B 2008 08 03 00 22 30.71 C1 N N Y Y 300        8.448 0.640         10.496 0.640
GRB080817A 2008 08 17 03 52 12.25 C1 Y Y Y Y 270        8.192 0.256         14.848 0.256
GRB080825C 2008 08 25 14 13 48.55 C1 Y Y Y Y 255        1.920 0.640          7.296 0.640
GRB080905A 2008 09 05 11 58 55.01 C1 N N Y Y 208        0.832 0.032          1.600 0.032
GRB080906B 2008 09 06 05 05 11.24 C1 Y Y Y Y 268        0.960 0.032          4.416 0.032
GRB080916C 2008 09 16 00 12 46.33 C1 N Y Y Y 284       18.432 0.512         37.888 0.512
GRB080918A 2008 09 18 09 44 36.39 C1 Y Y Y Y 245        0.896 0.032          4.608 0.032
GRB081001A 2008 10 01 21 17 45.47 C1 Y Y Y Y 266        0.640 0.032          2.304 0.032
GRB081003C 2008 10 03 15 26 40.14 C1 N N Y Y 260        2.624 0.032          6.400 0.032
GRB081004A 2008 10 04 13 26 16.84 C1 Y Y Y Y 229        0.024 0.004          0.128 0.004
GRB081102B 2008 11 02 08 44 54.27 C1 N N Y Y 235        4.864 0.640         12.160 0.640
GRB081105a 2008 11 05 13 31 46.75 C1 Y Y Y Y 244        1.792 0.032          5.568 0.032
GRB081110A 2008 11 10 14 25 42.99 C1 N Y Y Y 246        3.072 0.256         14.848 0.256
GRB081121A 2008 11 21 20 35 26.22 C1 N Y Y Y 239        6.144 0.512         19.456 0.512
GRB081125A 2008 11 25 11 53 40.60 C1 Y Y Y Y 246        3.264 0.032          5.888 0.032
GRB081203B 2008 12 03 13 51 33.36 C1 N N Y Y 282       17.408 0.512         41.984 0.512
GRB081207A 2008 12 07 16 18 54.43 C1 N N Y Y 254       28.672 0.512         76.800 0.512
GRB081209A 2008 12 09 23 31 56.31 C1 N Y Y Y 309        0.064 0.080          0.384 0.080
GRB081215A 2008 12 15 18 48 37.87 C1 Y Y Y Y 331        0.384 0.032          4.160 0.032
GRB081222A 2008 12 22 04 53 58.18 C1 N N N Y 245        4.352 0.640         10.624 0.640
GRB081224A 2008 12 24 21 17 55.14 C1 Y Y Y Y 252        1.920 0.640          5.248 0.640
GRB081230c 2008 12 30 15 19 12.05 C1 N N Y Y 251        1.600 0.032          4.992 0.032
GRB090102A 2009 01 02 02 55 28.03 C1 Y Y Y Y 265       12.288 0.256         18.432 0.256
GRB090112B 2009 01 12 17 30 05.72 C1 N N Y Y 239       32.768 0.512         80.896 0.512
GRB090131A 2009 01 31 02 09 44.14 C1 Y Y Y Y 283        0.288 0.016          0.896 0.016
GRB090201A 2009 02 01 17 47 40.59 C1 Y Y Y Y 323       20.480 0.512         72.704 0.512
GRB090207A 2009 02 07 10 47 28.47 C1 N N N Y 270        0.080 0.004          0.472 0.004
GRB090225A 2009 02 25 00 12 23.64 C1 N N Y Y 242        0.112 0.080          0.384 0.080
GRB090228A 2009 02 28 04 53 20.90 C1 N Y Y Y 250        0.040 0.002          0.064 0.002
GRB090305B 2009 03 05 01 14 36.00 C1 Y Y Y Y 302        0.384 0.016          1.120 0.016
GRB090312A 2009 03 12 19 00 32.67 C1 N N Y Y 254        9.216 0.256         22.528 0.256
GRB090328A 2009 03 28 09 36 50.89 C1 Y Y Y Y 257       13.312 0.512         46.080 0.512
GRB090328B 2009 03 28 17 07 04.90 C1 N N Y Y 237        0.048 0.004          0.128 0.004
GRB090329A 2009 03 29 21 23 22.62 C1 N N Y Y 265        1.472 0.032          4.160 0.032
