GRB071227A XRT 267.48 -46.75 110.20 209.59 cstat  -2.11 0.35 0.27  1.40 5.36E-06 0.54E-06 6.34E-06 0.63E-06
GRB080212B IPN 200.76  27.06  78.51 209.05 pgstat -3.20 0.22 0.20  0.97 2.78E-06 0.28E-06 6.68E-06 0.67E-06
GRB080303B IPN   3.86  -1.11  90.27 270.27 chi    -2.71 0.28 0.24  0.93 5.48E-06 0.55E-06 4.21E-05 0.42E-05
GRB080319C XRT  83.33  35.44  84.38 342.10 chi    -2.10 0.55 0.39  1.19 6.40E-06 0.64E-06 7.16E-06 0.72E-06
GRB080328A XRT 161.85   6.17 155.52  20.63 chi    -1.67 0.33 0.27  1.14 1.90E-06 0.19E-06 2.29E-05 0.23E-05
GRB080407A IPN 249.13  78.50  62.56 267.28 chi    -2.87 0.29 0.26  1.58 2.48E-06 0.25E-06 2.61E-05 0.26E-05
GRB080507B IPN  90.47  31.57  10.34   0.26 cstat  -3.29 2.02 0.83  0.88 2.92E-06 0.29E-06 2.80E-07 0.28E-07
GRB080514B SA   54.58 -34.45  37.61  86.44 chi    -1.65 0.11 0.10  1.40 4.92E-06 0.49E-06 2.36E-05 0.24E-05
GRB080528A IPN 176.18  -7.39  93.58   4.72 cstat  -2.16 0.34 0.25  0.98 2.92E-05 0.29E-05 3.50E-06 0.35E-06
GRB080530A IPN 288.15  62.08 126.21 269.99 cstat  -2.09 0.20 0.15  1.18 1.45E-05 0.14E-05 5.82E-06 0.58E-06
GRB080607A XRT 313.16  78.63 113.63 331.24 chi    -2.66 0.24 0.19  1.64 6.18E-06 0.62E-06 2.97E-05 0.30E-05
GRB080609A IPN   0.38   4.87  93.72 108.79 chi    -3.50 0.13 0.13  1.25 1.41E-05 0.14E-05 1.44E-04 0.14E-04
GRB080611A IPN 184.96 -44.01 126.29 269.87 cstat  -2.31 0.14 0.12  0.74 5.90E-05 0.59E-05 2.59E-06 0.26E-06
GRB080613B XRT 271.86  51.11  38.88  90.70 chi    -1.91 0.30 0.21  1.05 1.58E-06 0.16E-06 1.49E-05 0.15E-05
GRB080709A IPN 353.93  19.61  62.06  18.42 chi    -3.14 0.29 0.25  1.02 2.16E-06 0.22E-06 2.27E-05 0.23E-05
GRB080714A XRT 300.57   2.51  13.39  14.47 chi    -2.00 0.58 0.28  1.25 1.30E-06 0.13E-06 7.50E-06 0.75E-06
GRB080715A GBM 357.17  63.15  65.90  67.12 cstat  -2.27 0.92 0.46  1.38 1.75E-06 0.18E-06 7.30E-07 0.73E-07
GRB080721A XRT 345.39  40.49  48.61  64.21 chi    -2.52 0.19 0.16  1.03 3.04E-06 0.30E-06 2.49E-05 0.25E-05
GRB080723B INT 295.03   1.65  13.21  19.54 chi    -3.28 0.60 0.39  1.04 6.58E-07 0.66E-07 1.86E-05 0.19E-05
GRB080723D GBM 144.10  26.34 134.13 176.69 chi    -2.78 0.45 0.34  0.97 9.22E-07 0.92E-07 3.50E-05 0.35E-05
GRB080726A SA  133.97 -48.31  24.12 336.21 chi    -1.40 0.07 0.08  1.78 5.62E-06 0.56E-06 7.20E-05 0.72E-05
GRB080727B XRT  31.23   5.87 100.99 322.27 cstat  -2.19 3.97 0.69  1.11 2.08E-06 0.21E-06 1.60E-06 0.16E-06
GRB080817A GBM 253.22  29.14  60.35  65.50 chi    -2.56 0.26 0.22  1.42 1.96E-06 0.20E-06 1.46E-05 0.15E-05
GRB080825C LAT   0.69  39.23  75.61  79.73 chi    -1.60 0.13 0.12  1.63 7.20E-06 0.72E-06 2.63E-05 0.26E-05
GRB080905A XRT  17.98 -12.61 138.67 205.29 cstat  -2.28 1.81 0.52  1.20 1.98E-06 0.20E-06 1.59E-06 0.16E-06
GRB080906B GBM 285.28  55.09 111.25 101.76 chi    -1.82 0.30 0.23  1.21 5.24E-06 0.52E-06 1.16E-05 0.12E-05
GRB080916C XRT 270.15 -13.76  90.51  15.20 chi    -2.24 0.42 0.30  0.79 4.52E-06 0.45E-06 8.56E-05 0.86E-05
GRB080918A IPN 136.23 -47.93 119.13 251.37 chi    -2.75 0.28 0.23  1.05 4.76E-06 0.48E-06 1.10E-05 0.11E-05
GRB081001A XRT  22.28   1.54  20.55 336.46 cstat  -1.60 0.20 0.20  0.90 3.54E-06 0.35E-06 4.08E-06 0.41E-06
GRB081003C GBM  59.05  33.81  67.68 171.66 chi    -2.21 0.36 0.27  0.99 3.14E-06 0.31E-06 1.00E-05 0.10E-05
GRB081004A IPN  46.09  -7.09  38.25 238.24 cstat  -2.32 0.29 0.23  0.68 1.09E-05 0.11E-05 6.98E-07 0.70E-07
GRB081102B LAT  30.24  60.14  63.90 215.04 chi    -1.41 0.07 0.08  1.35 6.60E-06 0.66E-06 4.01E-05 0.40E-05
GRB081110A GBM 197.18  17.08 122.89 216.79 chi    -1.92 0.10 0.09  1.64 9.90E-06 0.99E-06 7.35E-05 0.73E-05
GRB081121A XRT 269.50 -29.99 140.67   0.55 chi    -1.49 0.08 0.08  1.51 4.82E-06 0.48E-06 4.69E-05 0.47E-05
GRB081203B XRT  73.54  56.49  68.91 233.46 chi    -2.68 2.76 1.58  0.85 4.58E-07 0.46E-07 9.63E-06 0.96E-06
GRB081207A GBM 144.96  28.62  71.81 195.68 chi    -2.11 0.22 0.17  1.10 1.42E-06 0.14E-06 5.47E-05 0.55E-05
GRB081209A GBM 150.06  18.23  69.80 178.84 cstat  -3.07 0.98 0.55  1.00 3.24E-06 0.32E-06 6.24E-07 0.62E-07
GRB081215A GBM 185.48 -12.49  89.48 122.73 chi    -2.25 0.22 0.17  1.69 1.74E-05 0.17E-05 3.62E-05 0.36E-05
GRB081222A XRT 254.70 -79.02  88.13  80.82 chi    -2.48 1.35 0.78  1.26 2.58E-06 0.26E-06 1.37E-05 0.14E-05
GRB081224A XRT 115.66  41.76  56.80 228.87 chi    -2.92 0.34 0.28  1.11 1.83E-06 0.18E-06 4.80E-06 0.48E-06
GRB090102A XRT 189.85  34.66  94.05 259.30 chi    -1.42 0.27 0.23  0.90 1.02E-05 0.10E-05 9.39E-05 0.94E-05
GRB090112B GBM 286.62  88.20 109.47  67.46 chi    -1.30 0.11 0.13  1.80 7.72E-06 0.77E-06 3.12E-04 0.31E-04
GRB090131A GBM  98.48 -37.74  49.93  83.24 cstat  -3.32 1.97 0.98  3.06 2.08E-06 0.21E-06 9.32E-07 0.93E-07
GRB090225A GBM 115.88  -1.07  18.74  49.93 cstat  -2.00 1.09 0.37  0.83 2.88E-06 0.29E-06 5.53E-07 0.55E-07
GRB090228A LAT 236.40  -7.58 110.83 232.43 cstat  -3.02 0.33 0.27  0.45 2.58E-05 0.26E-05 8.24E-07 0.82E-07
GRB090305B GBM 139.08  34.55 125.46 334.06 cstat  -2.71 0.50 0.36  1.41 5.62E-06 0.56E-06 3.15E-06 0.32E-06
