GRB080407A chi   -0.23 0.21 0.15 -3.12 0.04 0.01  686  577 280 1.59 2.28E-06 0.23E-06 2.39E-05 0.24E-05
GRB080723D chi    0.23 0.14 0.23 -2.87 0.32 0.04  601  515 248 0.99 8.88E-07 0.89E-07 3.36E-05 0.34E-05
GRB080916C chi   -0.58 0.23 0.06 -2.30 0.43 0.04  721  533 278 0.81 4.30E-06 0.43E-06 8.16E-05 0.82E-05
GRB081004A cstat -1.01 0.22 0.16 -2.31 0.97 0.89  925  635 346 0.88 8.90E-06 0.89E-06 5.70E-07 0.57E-07
GRB081207A chi   -1.06 0.17 0.22 -2.11 0.16 0.14  516  416 207 1.13 1.42E-06 0.14E-06 5.47E-05 0.55E-05
GRB081209A cstat -0.54 0.25 0.06 -2.47 0.12 0.34  770  570 297 0.95 5.72E-06 0.57E-06 1.10E-06 0.11E-06
GRB081222A chi   -0.59 1.50 0.59 -3.08 0.42 0.41  778  620 310 1.17 1.75E-06 0.18E-06 9.32E-06 0.93E-06
GRB081224A chi    0.02 0.09 0.22 -3.28 0.11 0.28  732  612 298 1.09 1.65E-06 0.17E-06 4.33E-06 0.43E-06
GRB090328B cstat -0.86 0.22 0.03 -2.83 0.18 0.23 1963 1193 701 0.78 8.54E-06 0.85E-06 5.46E-07 0.55E-07
GRB090401B chi   -0.91 0.18 0.16 -2.23 0.07 0.14  890  612 333 0.94 4.98E-06 0.50E-06 2.23E-05 0.22E-05
GRB090427A chi   -0.90 0.10 0.09 -2.25 0.44 0.27  608  472 240 1.54 8.76E-06 0.88E-06 1.01E-05 0.10E-05
GRB090618A chi   -0.91 0.15 0.08 -3.17 0.28 0.24  701  588 286 1.31 8.46E-07 0.85E-07 3.77E-05 0.38E-05
GRB090720B chi   -0.59 0.29 0.28 -2.29 0.78 2.28  638  490 250 1.32 3.96E-06 0.40E-06 1.24E-05 0.12E-05
GRB090809B chi    0.74 0.15 0.16 -2.83 1.55 2.35  669  546 270 1.17 3.34E-06 0.33E-06 2.09E-05 0.21E-05
GRB091109B cstat  0.14 0.34 0.02 -2.42 0.42 0.20  994  678 371 1.11 1.67E-05 0.17E-05 8.02E-07 0.80E-07
GRB100612A cstat -0.84 0.16 0.50 -2.05 1.55 2.04  500  403 200 1.31 5.20E-06 0.52E-06 1.17E-06 0.12E-06
GRB100724B chi   -0.82 0.02 0.05 -2.10 0.30 0.18  444  379 183 1.72 5.00E-06 0.50E-06 1.81E-04 0.18E-04
GRB100811A cstat -0.07 0.15 0.06 -2.63 0.00 0.48  885  639 338 0.79 8.02E-06 0.80E-06 1.67E-06 0.17E-06
GRB101219A cstat -0.84 0.16 0.83 -2.07 0.55 1.98  428  369 177 1.10 6.54E-06 0.65E-06 1.88E-06 0.19E-06
GRB110529A cstat -0.80 0.26 0.16 -2.10 0.43 0.22  472  393 192 0.94 9.20E-06 0.92E-06 2.65E-06 0.27E-06
GRB110721A chi   -0.83 0.75 0.80 -2.10 0.55 0.55 1412  863 505 1.35 8.00E-06 0.80E-06 3.33E-05 0.33E-05
GRB120226B chi   -0.82 0.81 0.82 -2.07 1.05 2.05  481  395 194 1.21 3.46E-06 0.35E-06 1.86E-05 0.19E-05
GRB120512A chi   -0.59 0.07 0.23 -3.01 0.12 0.33  709  580 286 1.15 4.14E-07 0.41E-07 3.79E-06 0.38E-06
GRB130228B cstat -0.86 0.89 0.42 -2.20 0.22 0.22  480  405 196 0.72 7.40E-06 0.74E-06 4.97E-06 0.50E-06
GRB130306A chi   -1.03 0.16 0.15 -2.72 0.18 0.15  918  663 351 0.89 6.78E-07 0.68E-07 1.81E-05 0.18E-05
GRB130427A chi   -0.95 0.12 0.09 -3.17 0.33 0.28 1282  878 480 2.62 6.32E-05 0.63E-05 2.99E-04 0.30E-04
GRB130828A chi   -0.28 0.12 0.19 -2.54 0.15 0.44  797  589 308 1.10 5.34E-07 0.53E-07 1.01E-05 0.10E-05
GRB131028A chi   -0.36 0.16 0.02 -2.35 0.03 0.15  884  618 333 2.15 1.67E-05 0.17E-05 8.43E-05 0.84E-05
GRB140508A chi    1.35 0.32 0.11 -2.84 0.39 0.54 1259  842 467 1.08 1.58E-06 0.16E-06 1.99E-05 0.20E-05
GRB140930B cstat -0.96 0.31 0.06 -2.42 0.31 0.27 1455  909 525 0.95 1.09E-05 0.11E-05 4.54E-06 0.45E-06
GRB141012A chi   -0.51 0.03 0.06 -2.63 0.02 0.34 1045  719 392 1.01 4.06E-07 0.41E-07 4.88E-06 0.49E-06
GRB150403A chi   -1.11 0.31 0.05 -2.76 0.38 0.03 1585  999 574 1.19 6.74E-06 0.67E-06 3.67E-05 0.37E-05
GRB171011B chi   -1.27 0.02 0.24 -2.65 0.33 0.33 1379  888 503 0.98 9.84E-06 0.98E-06 5.03E-06 0.50E-06
GRB171011A chi   -0.52 0.19 0.19 -2.58 0.25 0.02  725  556 284 0.81 1.50E-06 0.15E-06 1.92E-06 0.19E-06
GRB180204A cstat -0.60 0.25 0.59 -2.37 1.55 2.32  803  579 307 1.36 1.29E-05 0.13E-05 1.03E-06 0.10E-06
GRB180720A chi   -0.48 0.90 0.14 -2.90 0.32 0.32 1945 1190 696 0.79 5.30E-04 0.53E-04 5.09E-04 0.51E-04
GRB180728A chi   -0.57 0.16 0.15 -2.57 0.25 1.98  503  444 210 1.16 1.88E-06 0.19E-06 4.87E-06 0.49E-06
GRB190114C chi   -0.44 0.30 0.17 -2.79 0.23 0.00  941  679 360 1.21 5.52E-05 0.55E-05 1.24E-04 0.12E-04
GRB190305A chi   -0.39 0.21 0.12 -3.00 0.34 0.42 1313  881 487 1.22 8.00E-03 0.80E-03 5.12E-03 0.51E-03
GRB190606A cstat  0.21 0.20 0.22 -2.11 0.44 0.39  959  637 354 1.19 4.12E-05 0.41E-05 3.63E-06 0.36E-06
