BatchStart
|name        |time                   |ra        |dec      |error_radius|lle_bbbd_sig|lle_t90 |tl100      |like_best_ts|arr_flag|bii     |distance_to_closest|ext_emission_max_ene|ext_emission_max_ene_p|ext_emission_max_ene_t|ext_emission_n|gbm_cat_fluence|gbm_cat_fluence_error|gbm_cat_name|gbm_cat_t05|gbm_cat_t90|gbm_cat_t90_error|gbm_cat_t95|gcn_name  |irfs            |lat_bpl_chi2|lat_bpl_f0  |lat_bpl_f0_error|lat_bpl_index1|lat_bpl_index1_error|lat_bpl_index2|lat_bpl_index2_error|lat_bpl_timebreak|lat_bpl_timebreak_error|lat_f0      |lat_f0_error|lat_spl_chi2|lat_spl_index1|lat_spl_index1_error|late_index  |late_index_error|lii     |like_best_eiso_rf|like_best_eiso_rf_error|like_best_fluence|like_best_fluence_error|like_best_flux|like_best_flux_ene|like_best_flux_ene_error|like_best_flux_error|like_best_grbindex|like_best_grbindex_error|like_best_t0|like_best_t1|like_ext_eiso_rf|like_ext_eiso_rf_error|like_ext_fluence|like_ext_fluence_error|like_ext_flux|like_ext_flux_ene|like_ext_flux_ene_error|like_ext_flux_error|like_ext_grbindex|like_ext_grbindex_error|like_ext_t0|like_ext_t1|like_ext_ts|like_gbm_eiso_rf|like_gbm_eiso_rf_error|like_gbm_fluence|like_gbm_fluence_error|like_gbm_flux|like_gbm_flux_ene|like_gbm_flux_ene_error|like_gbm_flux_error|like_gbm_grbindex|like_gbm_grbindex_error|like_gbm_t0|like_gbm_t1|like_gbm_ts |like_lat_eiso_rf|like_lat_eiso_rf_error|like_lat_fluence|like_lat_fluence_error|like_lat_flux|like_lat_flux_ene|like_lat_flux_ene_error|like_lat_flux_error|like_lat_grbindex|like_lat_grbindex_error|like_lat_t0|like_lat_t1|like_lat_ts|lle_bbbd_sig_detected|lle_t05   |lle_t95   |luminosity_distance|redshift|su_tsinput |theta   |tl0        |tl0_lower  |tl1        |tl100_error|tl1_upper  |trigger_met    |zenith  |
+------------+-----------------------+----------+---------+------------+------------+--------+-----------+------------+--------+--------+-------------------+--------------------+----------------------+----------------------+--------------+---------------+---------------------+------------+-----------+-----------+-----------------+-----------+----------+----------------+------------+------------+----------------+--------------+--------------------+--------------+--------------------+-----------------+-----------------------+------------+------------+------------+--------------+--------------------+------------+----------------+--------+-----------------+-----------------------+-----------------+-----------------------+--------------+------------------+------------------------+--------------------+------------------+------------------------+------------+------------+----------------+----------------------+----------------+----------------------+-------------+-----------------+-----------------------+-------------------+-----------------+-----------------------+-----------+-----------+-----------+----------------+----------------------+----------------+----------------------+-------------+-----------------+-----------------------+-------------------+-----------------+-----------------------+-----------+-----------+------------+----------------+----------------------+----------------+----------------------+-------------+-----------------+-----------------------+-------------------+-----------------+-----------------------+-----------+-----------+-----------+---------------------+----------+----------+-------------------+--------+-----------+--------+-----------+-----------+-----------+-----------+-----------+---------------+--------+
|GRB140323433|2014-03-23 10:22:53.003|23 46 04.8|-79 55 12|      0.1800|      0.0000| 0.00000|  488.82001| 3.97820e+01|       0|-36.7570|             2.3600|             2800.00|                  1.00|             226.80000|          4.00|    3.24240e-05|          1.92080e-07|GRB140323433|      5.056|    111.426|          3.02700|    116.482|GRB140323A|P8_TRANSIENT010E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00| 0.00000e+00| 0.00000e+00| 9.99000e+02|   0.00000e+00|         0.00000e+00| 0.00000e+00|     0.00000e+00|306.4554|      0.00000e+00|            0.00000e+00|      3.11570e-05|            2.77178e-05|   1.72276e-06|       7.78926e-09|             6.92946e-09|         8.77180e-07|      -1.53390e+00|             3.05679e-01|     0.00000|  4000.00000|     0.00000e+00|           0.00000e+00|     3.59565e-06|           4.12770e-06|  1.43733e-06|      6.00137e-09|            6.88940e-09|        9.33433e-07|     -1.55766e+00|            3.80987e-01|  116.48200|  715.62000|2.05393e+01|     0.00000e+00|           0.00000e+00|     0.00000e+00|           0.00000e+00|  0.00000e+00|      0.00000e+00|            0.00000e+00|        0.00000e+00|      0.00000e+00|            0.00000e+00|    0.00000|    0.00000| 0.00000e+00|     0.00000e+00|           0.00000e+00|     2.60913e-06|           0.00000e+00|  4.81799e-06|      5.33761e-09|            0.00000e+00|        0.00000e+00|     -1.77525e+00|            5.34868e-01|  226.80000|  715.62000|5.00554e+00|                    0|   0.00000|   0.00000|                   |        |4.00000e+01| 30.3002|  226.80000|  173.21001|  715.62000|  147.83501|  957.70001|417262976.12000| 68.4066|
|GRB190731943|2019-07-31 22:38:23.004|22 41 14.4|-76 25 12|      0.3100|     17.0000| 6.35400|  275.67999| 1.77926e+02|       0|-38.2711|             3.3500|             3800.00|                  1.00|             231.30000|         23.00|    8.86480e-05|          3.38480e-08|GRB190731943|      1.792|     15.872|          0.36200|     17.664|GRB190731A|P8_TRANSIENT020E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00|-3.16558e+00| 3.28521e-01| 1.66658e-03|   9.26202e-01|         1.41051e-01| 9.26202e-01|     1.41051e-01|312.1918|      0.00000e+00|            0.00000e+00|      2.81941e-06|            1.52261e-06|   1.18268e-04|       9.39802e-08|             5.07536e-08|         2.83662e-05|      -2.14857e+00|             2.58750e-01|     0.00000|    30.00000|     0.00000e+00|           0.00000e+00|     3.98016e-06|           3.26102e-06|  7.95528e-06|      1.54224e-08|            1.26359e-08|        2.97802e-06|     -1.79638e+00|            2.85052e-01|   17.66400|  275.73999|5.28240e+01|     0.00000e+00|           0.00000e+00|     3.91244e-07|           1.96661e-07|  8.08939e-05|      2.46499e-08|            1.23905e-08|        3.35793e-05|     -3.10460e+00|            8.00011e-01|    1.79200|   17.66400| 4.74435e+01|     0.00000e+00|           0.00000e+00|     4.74838e-06|           2.36199e-06|  1.80898e-05|      1.72243e-08|            8.56787e-09|        3.88838e-06|     -2.06389e+00|            2.14639e-01|    0.06000|  275.73999|1.07433e+02|                    1|  -1.81100|   4.54300|                   |        |1.20000e+02| 40.7605|    0.06000|    0.05000|  275.73999|   22.22500|  320.17999|586305508.00000| 78.4840|
|GRB160325291|2016-03-25 06:59:21.002|01 04 50.4|-72 39 36|      0.2400|      6.5000| 0.20300| 1550.73999| 9.72241e+01|       0|-44.4319|             3.4000|             3000.00|                  1.00|              92.02000|         21.00|    1.85980e-05|          1.98120e-07|GRB160325291|      2.048|     42.945|          0.57200|     44.993|GRB160325A|P8_TRANSIENT010E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00|-3.35121e+00| 2.86897e-01| 6.08841e-04|   7.40880e-01|         9.95074e-02| 7.40880e-01|     9.95074e-02|301.5342|      0.00000e+00|            0.00000e+00|      9.52288e-06|            2.89791e-06|   4.64852e-06|       2.38072e-09|             7.24476e-10|         9.55144e-07|      -2.41911e+00|             2.30645e-01|     0.00000|  4000.00000|     0.00000e+00|           0.00000e+00|     3.73841e-06|           1.18423e-06|  4.73745e-06|      2.47458e-09|            7.83883e-10|        1.00722e-06|     -2.40389e+00|            2.36112e-01|   44.99300| 1555.71997|9.34201e+01|     0.00000e+00|           0.00000e+00|     1.28953e-06|           0.00000e+00|  2.71042e-05|      3.00274e-08|            0.00000e+00|        0.00000e+00|     -2.73237e+00|            1.04443e+00|    2.04800|   44.99300| 9.14198e+00|     0.00000e+00|           0.00000e+00|     3.73007e-06|           1.13910e-06|  4.76900e-06|      2.40535e-09|            7.34550e-10|        9.95543e-07|     -2.43121e+00|            2.36077e-01|    4.98000| 1555.71997|9.48580e+01|                    1|  13.81600|  14.01900|                   |        |8.30000e+01|  7.2372|    4.98000|    4.86000| 1555.71997|  458.35501| 2472.31006|480581965.51000| 55.5250|
|GRB210826293|2021-08-26 07:01:44.996|03 01 09.6|-71 41 24|      0.2100|      0.0000| 0.00000|10972.55957| 4.97682e+01|       0|-41.9814|             5.5000|             7700.00|                  1.00|            2579.19995|          7.00|    1.20520e-05|          6.06160e-08|GRB210826293|      0.512|     19.712|          1.14500|     20.224|GRB210826A|P8_TRANSIENT010E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00|-2.60585e+00| 8.99923e-01| 7.41350e-04|   8.68546e-01|         2.38137e-01| 8.68546e-01|     2.38137e-01|289.8326|      5.33102e+49|            1.80550e+49|      1.51027e-05|            8.85605e-06|   8.56275e-07|       1.11841e-09|             6.55822e-10|         2.94310e-07|      -1.93547e+00|             2.55761e-01|    20.22400| 13523.95996|     5.33102e+49|           1.80550e+49|     1.51027e-05|           8.85605e-06|  8.56275e-07|      1.11841e-09|            6.55822e-10|        2.94310e-07|     -1.93547e+00|            2.55761e-01|   20.22400|13523.95996|4.97682e+01|     0.00000e+00|           0.00000e+00|     0.00000e+00|           0.00000e+00|  0.00000e+00|      0.00000e+00|            0.00000e+00|        0.00000e+00|      0.00000e+00|            0.00000e+00|    0.00000|    0.00000| 0.00000e+00|     6.40112e+49|           2.50600e+49|     2.69985e-05|           1.96811e-05|  8.99346e-07|      2.46055e-09|            1.79367e-09|        3.64272e-07|     -1.68603e+00|            2.58561e-01| 2551.39990|13523.95996|4.37576e+01|                    0|   0.00000|   0.00000|        6.92988e+26| 0.05000|4.50000e+01| 55.4565| 2551.39990| 2523.60010|13523.95996|  286.17499|14068.50977|651654110.16000|102.2440|
|GRB201104001|2020-11-04 00:00:55.996|05 25 28.8|-71 07 48|      0.2400|      8.0000| 7.22900|   76.29000| 4.11988e+02|       0|-32.4744|             1.3800|             3700.00|                  1.00|              12.60000|         43.00|    1.30580e-05|          7.47640e-08|GRB201104001|      0.000|     52.480|          7.42800|     52.480|GRB201104A|P8_TRANSIENT020E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00| 0.00000e+00| 0.00000e+00| 9.99000e+02|   0.00000e+00|         0.00000e+00| 0.00000e+00|     0.00000e+00|282.0331|      0.00000e+00|            0.00000e+00|      8.89626e-06|            2.20838e-06|   5.71546e-04|       2.60124e-07|             6.45726e-08|         9.11427e-05|      -2.51988e+00|             2.12518e-01|     0.00000|    34.20000|     0.00000e+00|           0.00000e+00|     7.03290e-06|           0.00000e+00|  2.63741e-04|      2.92185e-07|            0.00000e+00|        0.00000e+00|     -2.82402e+00|            1.09416e+00|   52.48000|   76.55000|1.35265e+01|     0.00000e+00|           0.00000e+00|     1.08343e-05|           2.74001e-06|  4.29624e-04|      2.06446e-07|            5.22106e-08|        6.82292e-05|     -2.47129e+00|            2.03356e-01|    0.00000|   52.48000| 4.03343e+02|     0.00000e+00|           0.00000e+00|     1.32402e-05|           3.13617e-06|  3.76102e-04|      1.73551e-07|            4.11086e-08|        5.87922e-05|     -2.50714e+00|            2.02242e-01|    0.26000|   76.55000|3.98443e+02|                    1|  -0.01800|   7.21100|                   |        |2.70000e+02| 57.2026|    0.26000|    0.26000|   76.55000|    0.93500|   78.42000|626140861.75000| 53.9108|
|GRB120711115|2012-07-11 02:44:52.999|06 18 33.6|-70 52 48|      0.1300|      0.0000| 0.00000| 5038.35010| 1.61233e+02|       1|-28.1971|             1.4500|             2500.00|                  1.00|            5431.64990|         29.00|    1.94280e-04|          2.27510e-07|GRB120711115|     62.465|     44.033|          0.72400|    106.498|GRB120711A|P8_TRANSIENT010E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00|-4.00596e-01| 6.88032e-01| 1.21918e-03|   1.62886e+00|         2.35536e-01| 1.62886e+00|     2.35536e-01|281.3498|      1.05783e+53|            1.86470e+52|      2.59055e-05|            9.56384e-06|   5.30327e-06|       4.86474e-09|             1.79598e-09|         9.62313e-07|      -2.08053e+00|             1.67376e-01|   106.49800|  5431.64990|     1.05783e+53|           1.86470e+52|     2.59055e-05|           9.56384e-06|  5.30327e-06|      4.86474e-09|            1.79598e-09|        9.62313e-07|     -2.08053e+00|            1.67376e-01|  106.49800| 5431.64990|1.61233e+02|     0.00000e+00|           0.00000e+00|     0.00000e+00|           0.00000e+00|  0.00000e+00|      0.00000e+00|            0.00000e+00|        0.00000e+00|      0.00000e+00|            0.00000e+00|    0.00000|    0.00000| 0.00000e+00|     9.85052e+52|           1.76708e+52|     2.51536e-05|           9.53745e-06|  5.17638e-06|      4.99242e-09|            1.89297e-09|        9.56019e-07|     -2.05824e+00|            1.67242e-01|  393.29999| 5431.64990|1.58416e+02|                    0|   0.00000|   0.00000|        3.16651e+28| 1.40500|1.40000e+02|134.5165|  393.29999|  391.10001| 5431.64990|  776.03998| 6981.52979|363667496.29000| 84.9684|
|GRB171212434|2017-12-12 10:24:18.003|02 37 40.8|-70 37 48|      0.4300|      0.0000| 0.00000|  380.35001| 2.55044e+01|       0|-43.9636|             3.3300|              610.00|                  0.97|             496.97000|          3.00|    5.03120e-06|          6.78050e-08|GRB171212434|     -1.024|     32.001|          1.37900|     30.977|GRB171212B|P8_TRANSIENT010E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00| 0.00000e+00| 0.00000e+00| 9.99000e+02|   0.00000e+00|         0.00000e+00| 0.00000e+00|     0.00000e+00|291.0416|      0.00000e+00|            0.00000e+00|      4.50673e-06|            3.42539e-06|   1.77797e-06|       1.12668e-09|             8.56347e-10|         7.76951e-07|      -2.27277e+00|             4.55968e-01|     0.00000|  4000.00000|     0.00000e+00|           0.00000e+00|     2.04639e-06|           0.00000e+00|  3.96396e-06|      4.39147e-09|            0.00000e+00|        0.00000e+00|     -3.54076e+00|            1.25411e+00|   30.97700|  496.97000|1.02915e+01|     0.00000e+00|           0.00000e+00|     0.00000e+00|           0.00000e+00|  0.00000e+00|      0.00000e+00|            0.00000e+00|        0.00000e+00|      0.00000e+00|            0.00000e+00|    0.00000|    0.00000| 0.00000e+00|     0.00000e+00|           0.00000e+00|     1.60630e-06|           0.00000e+00|  3.81207e-06|      4.22320e-09|            0.00000e+00|        0.00000e+00|     -4.59306e+00|            1.77459e+00|  116.62000|  496.97000|6.90130e+00|                    0|   0.00000|   0.00000|                   |        |2.60000e+01| 11.4614|  116.62000|   47.51000|  496.97000|  128.72501|  685.31000|534767063.51000| 61.4512|
|GRB120107384|2012-01-07 09:12:14.996|16 20 02.4|-70 35 24|      0.3400|      0.0000| 0.00000|   47.51000| 5.32877e+01|       0|-14.3940|             1.7800|             1900.00|                  1.00|               7.70000|          8.00|    6.53200e-06|          4.43560e-08|GRB120107384|      0.064|     23.040|          0.14300|     23.104|GRB120107A|P8_TRANSIENT020E| 9.99000e+02| 0.00000e+00|     0.00000e+00|   0.00000e+00|         0.00000e+00|   0.00000e+00|         0.00000e+00|      0.00000e+00|            0.00000e+00| 0.00000e+00| 0.00000e+00| 9.99000e+02|   0.00000e+00|         0.00000e+00| 0.00000e+00|     0.00000e+00|318.6508|      0.00000e+00|            0.00000e+00|      1.00356e-06|            6.98042e-07|   7.81903e-05|       4.35573e-08|             3.02970e-08|         2.97993e-05|      -2.35685e+00|             4.59757e-01|     0.06400|    23.10400|     0.00000e+00|           0.00000e+00|     1.97498e-06|           0.00000e+00|  6.94041e-05|      7.68893e-08|            0.00000e+00|        0.00000e+00|     -1.54646e+00|            4.22400e-01|   23.10400|   48.79000|1.47693e+01|     0.00000e+00|           0.00000e+00|     1.00356e-06|           6.98042e-07|  7.81903e-05|      4.35573e-08|            3.02970e-08|        2.97993e-05|     -2.35685e+00|            4.59757e-01|    0.06400|   23.10400| 5.32877e+01|     0.00000e+00|           0.00000e+00|     2.38028e-06|           2.17332e-06|  3.71005e-05|      5.01006e-08|            4.57445e-08|        1.69551e-05|     -1.92299e+00|            3.64791e-01|    1.28000|   48.79000|4.05257e+01|                    0|   0.00000|   0.00000|                   |        |3.00000e+01| 46.7623|    1.28000|    0.69000|   48.79000|   12.69500|   73.59000|347620337.41000| 96.6798|
|GRB130327350|2013-03-27 08:24:04.000|14 33 02.4|-69 45 36|      0.2100|      0.0000| 0.00000|  515.16998| 3.27622e+02|       1| -8.6094|             5.3900|             9200.00|                  1.00|              49.42000|         42.00|    5.19950e-05|          8.05810e-08|GRB130327350|      2.048|     31.232|          0.72400|     33.280|GRB130327B|P8_TRANSIENT020E| 2.19223e-03|-4.34312e+00|     1.20574e+00|   1.28907e+00|         8.71023e-01|   1.65026e+00|         2.80875e-01|      1.93437e+00|            7.69468e-01|-1.37927e+00| 3.41279e-01| 1.73106e-03|   1.55603e+00|         1.60344e-01| 1.55603e+00|     1.60344e-01|311.5638|      0.00000e+00|            0.00000e+00|      1.81711e-05|            8.11239e-06|   7.66530e-05|       1.81711e-07|             8.11239e-08|         1.26654e-05|      -1.73107e+00|             1.23910e-01|     0.00000|   100.00000|     0.00000e+00|           0.00000e+00|     1.45925e-05|           6.76085e-06|  1.36598e-05|      2.97874e-08|            1.38007e-08|        2.34493e-06|     -1.75785e+00|            1.25869e-01|   33.28000|  523.16998|2.05212e+02|     0.00000e+00|           0.00000e+00|     3.44470e-06|           2.74800e-06|  6.63810e-05|      1.10294e-07|            8.79865e-08|        2.23725e-05|     -1.84866e+00|            2.73060e-01|    2.04800|   33.28000| 6.84032e+01|     0.00000e+00|           0.00000e+00|     1.74211e-05|           7.27913e-06|  1.60244e-05|      3.38163e-08|            1.41296e-08|        2.48234e-06|     -1.76849e+00|            1.14602e-01|    8.00000|  523.16998|2.51155e+02|                    0|   0.00000|   0.00000|                   |        |2.50000e+02| 46.2562|    8.00000|    7.92000|  523.16998|   11.57000|  546.22998|386065447.05000| 86.2414|
