recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
1,"050219A",0.2115,16.92,1.08,0.069,0.015,-0.025,0.025,49.991,0.088,"BAT",1,1,166.41246,-40.68417
2,"050315 ",1.949,48.86,2.75,0.183,0.021,-0.042,0.027,51.937,0.165,"BAT",2,3,306.47542,-42.60061
3,"050318 ",1.44,7.74,0.33,0.204,0.013,-0.021,0.021,51.839,0.087,"BAT",2,3,49.7125,-46.39545
4,"050401 ",2.9,13.05,0.72,0.37,0.015,-0.027,0.02,53.084,0.091,"BAT",2,4,247.87017,2.18736
5,"050820A",2.6147,26.5,1.87,0.224,0.031,-0.047,0.055,53.136,0.057,"BAT",3,4,337.40879,19.56031
6,"050904 ",6.29,162.47,13.93,0.078,0.028,-0.048,0.041,53.223,0.098,"BAT",1,4,13.71164,14.08595
7,"050922C",2.199,2.71,0.13,0.071,0.007,-0.012,0.012,53.261,0.154,"BAT",3,2,317.3875,-8.75836
8,"051111 ",1.549,24.08,1.12,0.123,0.011,-0.022,0.015,52.242,0.058,"BAT",1,2,348.13821,18.37467
9,"060206 ",4.045,4.65,0.42,0.057,0.009,-0.019,0.011,52.831,0.027,"BAT",2,1,202.93092,35.051
10,"060210 ",3.91,103.25,5.64,0.307,0.034,-0.088,0.022,52.897,0.094,"BAT",2,7,57.73904,27.02622
11,"060306 ",1.559,14.45,1.01,0.597,0.02,-0.061,0.004,52.265,0.041,"BAT",1,4,41.09512,-2.14861
12,"060418 ",1.489,34.52,1.0,0.275,0.009,-0.019,0.013,52.261,0.058,"BAT",1,8,236.4275,-3.63889
13,"060510B",4.9,200.88,11.16,0.172,0.031,-0.052,0.049,52.364,0.086,"BAT",2,4,239.12167,78.57
14,"060607A",3.082,40.98,3.73,0.278,0.017,-0.028,0.027,52.871,0.095,"BAT",1,2,329.71,-22.49631
15,"060708 ",1.92,3.9,0.49,0.103,0.02,-0.032,0.035,51.996,0.069,"BAT",1,1,7.80771,-33.759
16,"060714 ",2.71,51.18,2.96,0.311,0.029,-0.063,0.033,52.19,0.05,"BAT",2,5,227.86021,-6.56619
17,"060814 ",1.9229,68.62,1.52,0.463,0.006,-0.012,0.006,52.854,0.05,"BAT",1,4,221.3395,20.58661
18,"060908 ",1.8836,10.65,0.48,0.232,0.013,-0.02,0.021,52.324,0.207,"BAT",2,4,31.8265,0.342
19,"060912A",0.937,2.47,0.19,0.113,0.013,-0.023,0.019,52.123,0.169,"BAT",3,1,5.28379,20.97192
20,"060927 ",5.467,9.41,0.78,0.302,0.014,-0.023,0.024,53.679,0.096,"BAT",1,4,329.54971,5.36398
21,"061007 ",1.262,37.7,0.36,0.259,0.002,-0.004,0.003,53.18,0.062,"BAT",2,23,46.33129,-50.50069
22,"061021 ",0.3463,15.55,1.08,0.389,0.017,-0.037,0.019,51.368,0.078,"BAT",3,1,145.1505,-21.9515
23,"061121 ",1.314,16.8,0.2,0.264,0.004,-0.006,0.008,53.353,0.027,"BAT",3,10,147.22737,-13.19519
24,"061126 ",1.1588,22.44,0.82,0.472,0.009,-0.018,0.01,52.887,0.1,"BAT",4,4,86.60192,64.21069
25,"061222A",2.088,35.28,0.76,0.487,0.006,-0.021,0.001,53.183,0.034,"BAT",3,10,358.26425,46.53294
26,"070110 ",2.352,30.89,2.38,0.07,0.039,-0.066,0.061,52.069,0.156,"BAT",1,2,0.91362,-52.97417
