recno,Cc,GRB,Nsp,Trig,Geo,Type,Inst,r_Inst,OObs,Det,Angle,z,n_z,r_z,f_z,t0,T100,t5,e_t5,T90,e_T90,t25,e_t25,T50,e_T50,tlagG2G1,e_tlagG2G1,tlagG3G1,e_tlagG3G1,tlagG3G2,e_tlagG3G2,Comm,S,e_S,E_S,Tp1024,f_Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp64r,e_Fp64r,E_Fp64r,Eiso,e_Eiso,Liso,e_Liso,Flim,Zmax,_RA,_DE
1, ,"970228 ",4,10681317,10681263,"II","BeppoSAX",1,"3","S1",79.1,0.695,s,2,"    ",-0.456,56.584,-0.002,0.024,53.442,2.891,0.592,0.048,39.28,2.556,,,,,,,"  ",8.07,0.41,0.49,0.118,1,2.24,0.34,0.43,0.106,4.59,0.78,0.8,0.118,4.12,0.64,0.66,12.01,0.93,9.6,1.5,0.92,1.32,75.44458,11.78139
2, ,"970828 ",4,63882357,63882157,"II","RXTEASM",3," ","S2",7.1,0.9578,s,4,"1   ",-4.248,94.936,0.864,0.112,66.208,2.781,7.68,0.161,17.792,0.31,,,,,,,"  ",101.8,3.6,3.5,20.416,,4.3,0.44,0.46,20.416,6.16,0.87,0.88,20.416,6.11,0.71,0.71,262.2,9.1,30.9,3.6,1.1,1.85,272.13167,59.31417
3, ,"971214 ",2,84052214,84051043,"II","BeppoSAX",1,"1,3","S2",33.9,3.418,s,5,"    ",-9.06,16.564,-9.06,2.082,15.892,2.133,-3.172,2.951,6.724,2.97,,,,,,,"  ",5.72,0.22,0.24,-0.28,,0.604,0.068,0.071,5.664,0.99,0.25,0.25,-0.28,0.69,0.11,0.12,146.3,6.1,78.0,13.0,0.44,4.05,179.11,65.20028
4,*,"990123 ",4,35234151,35235040,"II","BeppoSAX",1,"1,3","S2",29.9,1.6004,s,6,"    ",-17.312,111.2,1.6,0.161,62.016,1.179,7.904,0.072,26.336,0.757,0.68083,0.09106,0.61894,0.09899,0.16462,0.04956,"  ",310.6,7.8,8.0,5.984,,25.6,1.1,1.1,6.048,29.1,2.3,2.3,5.984,27.7,1.6,1.6,2133.0,54.0,490.0,29.0,3.1,5.04,231.37083,44.75
5, ,"990506 ",4,41010813,41011274,"II","BeppoSAX",1,"1,3","S1",65.1,1.30658,s,7,"1   ",-0.39,164.742,1.952,0.041,128.608,0.654,12.032,0.088,83.392,2.565,,,,,,,"  ",261.0,8.8,8.8,87.36,,9.32,0.46,0.47,90.048,13.8,1.1,1.1,87.36,12.13,0.68,0.69,1255.0,43.0,134.2,7.6,0.92,3.8,178.67083,-26.75
6,*,"990510 ",4,31750059,31750052,"II","BeppoSAX",1,"1,3","S1",28.7,1.6187,s,8,"    ",-0.32,69.568,0.688,0.186,55.888,8.108,38.976,1.735,5.76,1.745,,,,,,,"  ",21.72,0.82,0.89,44.544,,3.56,0.33,0.35,44.224,5.57,0.78,0.8,44.544,4.35,0.5,0.52,174.2,8.1,81.0,9.6,0.77,3.37,204.53183,-80.49689
7,*,"990705 ",4,57686864,57686352,"II","BeppoSAX",1,"3","S1",7.1,0.8424,s,9,"    ",-1.698,67.746,1.648,0.066,33.232,1.12,7.488,0.096,14.72,0.211,0.0526,0.01613,0.10271,0.06275,0.01641,0.01369,"  ",109.0,3.8,3.8,15.824,,4.8,0.42,0.44,15.856,8.92,0.96,0.96,15.824,8.36,0.76,0.76,218.1,7.7,30.7,2.8,0.84,2.02,77.47708,-72.13139
8,*,"990712 ",4,60186123,60183763,"II","BeppoSAX",1,"3","S1",33.2,0.4331,s,8,"    ",-1.637,18.821,-1.637,0.862,16.629,1.777,0.784,0.173,10.784,0.47,,,,,,,"  ",6.25,0.33,0.38,11.504,,0.802,0.087,0.118,11.456,1.1,0.17,0.17,11.504,1.05,0.14,0.14,3.86,0.28,1.2,0.18,1.1,0.5,337.97109,-73.40794
9, ,"991208 ",4,16613263,16613224,"II","IPN",10," ","S2",23.0,0.7055,s,11,"    ",-0.148,76.436,0.688,0.016,63.056,0.481,5.136,1.562,53.68,1.567,,,,,,,"  ",154.9,3.0,2.9,56.96,,18.59,0.53,0.55,56.96,22.0,1.1,1.1,56.96,21.88,0.86,0.87,233.4,4.6,53.2,2.1,0.61,3.3,248.47296,46.45597
10,*,"991216 ",4,58038085,58038535,"II","BeppoSAX",1,"1,3","S1",78.1,1.02,s,12,"    ",-17.477,44.629,0.672,0.032,14.528,0.14,3.264,0.025,4.704,0.154,,,,,,,"  ",297.0,3.7,3.8,3.952,,47.6,3.1,3.2,4.032,99.4,4.7,4.7,3.952,86.9,3.6,3.6,886.0,11.0,510.0,21.0,1.6,5.73,77.38041,11.28535
11, ,"000131 ",4,53955102,53954388,"II","IPN",13," ","S1",14.7,4.5,s,14,"    ",-77.719,105.735,-74.775,2.944,96.471,3.125,-18.839,12.138,27.719,12.28,,,,,,,"  ",45.3,1.3,1.3,2.672,,3.09,0.26,0.27,2.88,5.68,0.63,0.63,2.672,3.99,0.28,0.28,1817.0,56.0,859.0,60.0,0.67,8.48,93.3795,-51.94492
12, ,"000210 ",4,31445712,31446695,"II","BeppoSAX",1,"3","S1",41.6,0.8463,s,15,"1   ",-2.437,18.213,0.864,0.048,7.968,0.411,2.608,0.032,2.208,0.079,0.11998,0.02458,0.21753,0.03072,0.13234,0.01984,"  ",95.2,2.3,2.4,2.816,,29.5,1.5,1.5,2.8,41.5,2.7,2.7,2.816,39.4,2.3,2.3,193.1,4.8,146.1,8.5,1.2,4.35,29.8125,-40.66667
13,*,"000301C",2,35498569,35497589,"II","IPN+ASM",16," ","S2",40.1,2.0335,s,17,"    ",-0.346,4.522,-0.186,0.02,3.658,0.546,0.238,0.037,1.746,0.254,,,,,,,"  ",2.79,0.3,0.42,-0.134,,1.24,0.18,0.22,-0.054,1.91,0.39,0.44,-0.134,1.55,0.25,0.3,33.7,5.0,57.0,11.0,0.6,3.21,245.07708,29.44306
14,*,"000418 ",4,35589906,35588258,"II","IPN",18," ","S2",69.1,1.1181,s,7,"    ",-1.307,34.171,0.182,0.108,27.754,1.295,8.24,0.38,14.896,0.831,0.04807,0.05427,,,-0.03985,0.06847,"  ",21.93,0.8,0.88,18.656,,2.63,0.18,0.19,18.656,4.68,0.53,0.54,18.656,4.42,0.37,0.37,95.7,4.9,38.0,3.4,0.69,2.34,186.3375,20.08333
15, ,"000911 ",4,26125914,26128816,"II","IPN",19," ","S1",84.3,1.0585,s,20,"    ",-3.497,29.449,0.392,0.038,23.352,0.226,3.696,0.08,15.52,0.418,-0.00177,0.07708,0.01136,0.07421,0.02032,0.02526,"  ",208.4,6.5,6.5,3.808,,18.8,1.0,1.0,3.888,29.0,2.8,2.8,3.808,25.0,1.8,1.8,649.0,20.0,160.0,11.0,3.8,2.48,34.675,7.8
16,*,"000926 ",4,85773661,85772447,"II","IPN",21," ","S2",16.3,2.0369,s,22,"    ",-10.009,63.577,-10.009,2.082,54.681,9.471,1.408,0.264,21.456,0.313,,,,,,,"  ",21.01,0.55,0.58,22.864,,1.92,0.15,0.16,22.768,3.83,0.52,0.53,22.864,3.03,0.3,0.31,278.0,11.0,113.0,12.0,0.72,4.16,256.0625,51.76667
17,*,"010222 ",4,26591652,26592337,"II","BeppoSAX",1,"3","S2",34.5,1.4768,s,23,"    ",-98.212,172.58,-24.612,5.888,89.764,7.882,9.632,0.406,13.456,0.464,,,,,,,"  ",175.1,4.9,4.8,21.472,,10.34,0.81,0.84,21.44,16.8,1.4,1.4,21.472,15.8,1.0,1.0,1072.0,30.0,234.0,15.0,0.96,5.8,223.05229,43.01842
18,*,"010921 ",4,18957151,18956112,"II","BeppoSAX",1,"2,3","S2",44.6,0.45,s,24,"    ",-7.055,22.335,-7.055,2.082,19.791,2.409,0.544,0.255,7.264,0.468,,,,,,,"  ",14.66,0.44,0.49,0.976,,1.13,0.1,0.11,1.008,2.02,0.4,0.4,0.976,1.67,0.31,0.31,10.84,0.47,1.74,0.33,0.74,0.64,343.99958,40.93136
19,*,"011121 ",4,67633457,67633448,"II","BeppoSAX",1,"3","S1",25.7,0.36,s,25,"    ",-6.26,139.38,2.576,0.145,57.008,3.784,7.904,0.064,12.896,0.361,0.54061,0.11363,0.38595,0.20128,0.05531,0.10954,"  ",278.5,7.6,7.5,16.24,,11.23,0.7,0.76,16.272,28.2,2.2,2.3,16.24,27.0,1.9,2.0,98.9,2.7,13.29,0.95,1.5,1.14,173.61112,-76.02822
20,*,"020405 ",4,2499501,2497640,"II","BeppoSAX",1,"3","S1",71.9,0.6898,s,26,"    ",-3.409,67.665,1.024,0.186,41.536,2.029,10.112,0.507,18.736,0.561,0.37551,0.10586,,,0.34077,0.36754,"  ",83.7,1.2,1.2,14.576,,6.03,0.54,0.59,14.624,8.16,0.93,0.93,14.576,7.43,0.7,0.7,117.3,1.8,17.2,1.6,0.97,1.56,209.513,-31.37283
21,*,"020813 ",4,9880651,9880139,"II","HETE",27,"2","S1",91.6,1.254,s,28,"    ",-22.172,117.468,0.0,0.386,89.408,0.727,14.16,0.512,66.928,2.832,,,,,,," 1",173.0,10.0,11.0,87.296,,12.5,1.1,1.1,87.424,17.1,2.2,2.2,87.296,16.1,1.6,1.7,758.0,47.0,158.0,16.0,2.0,3.12,296.67447,-19.60134
22, ,"020819B",2,53859766,53858125,"II","HETE",27,"2","S2",81.0,0.411,s,29,"1,3 ",-3.123,8.499,-3.123,1.971,8.195,2.001,-0.08,0.106,3.104,0.857,,,,,,,"  ",6.68,0.52,0.65,-0.024,,2.24,0.34,0.43,0.736,3.97,0.81,0.87,-0.024,3.47,0.68,0.72,3.51,0.39,2.57,0.55,1.2,0.56,345.048,-43.011
23, ,"021211 ",2,40715206,40714494,"II","HETE",30,"2","S1",76.9,1.004,s,31,"    ",-0.5,2.084,-0.392,0.033,1.8,0.245,-0.108,0.051,0.86,0.092,0.10269,0.0722,,,,,"  ",2.62,0.23,0.26,0.576,,1.5,0.33,0.57,0.592,2.62,0.38,0.4,0.576,2.28,0.29,0.3,9.9,1.9,17.3,3.7,1.3,1.39,122.24941,6.72709
24,*,"030329 ",4,41849254,41846378,"II","HETE",27,"2","S2",77.5,0.16854,s,32,"    ",-12.708,69.668,1.28,0.064,21.808,1.147,3.392,0.032,11.168,0.052,0.21551,0.01577,0.33448,0.04594,0.11667,0.03767,"  ",187.3,2.7,2.6,3.424,,21.67,0.61,0.62,3.392,24.7,1.3,1.4,3.424,24.9,1.2,1.3,16.55,0.3,2.23,0.11,0.72,0.77,161.20846,21.52171
25, ,"040924 ",1,42735280,42732600,"II","HETE",33,"2","S2",87.0,0.859,s,34,"    ",-0.322,0.994,-0.25,0.019,0.794,0.092,-0.024,0.021,0.344,0.059,0.13104,0.02985,,,,,"  ",2.308,0.063,0.065,0.012,1,2.02,0.25,0.32,0.012,3.99,0.49,0.5,0.012,3.82,0.4,0.4,5.08,0.27,15.6,1.8,0.79,1.27,31.59383,16.14689
26,*,"041006 ",2,44323030,44319061,"II","HETE",35,"2","S2",94.3,0.716,s,36,"    ",-2.847,7.807,-2.847,1.804,6.847,1.984,-0.022,0.108,2.486,0.231,,,,,,,"  ",4.72,0.24,0.25,-0.05,,1.32,0.15,0.16,-0.05,2.27,0.48,0.48,-0.05,2.15,0.37,0.37,6.88,0.37,5.37,0.92,0.64,0.92,13.70904,1.23528
27,*,"050401 ",4,51611344,51609710,"II","SwiftBAT",37,"4","S2",66.2,2.8992,s,38,"2   ",-1.604,35.972,-0.16,0.118,33.056,0.683,4.944,0.097,25.792,0.201,,,,,,,"  ",23.2,1.02,0.98,30.432,,2.23,0.16,0.17,30.464,3.12,0.45,0.45,30.432,2.63,0.24,0.24,464.0,22.0,213.0,20.0,0.62,5.42,247.87017,2.18736
