recno,GRB,SType,tstart,DeltaT,SMod,f_SMod,alpha,e_alpha,E_alpha,l_beta,beta,e_beta,E_beta,Ep,e_Ep,E_Ep,F,e_F,E_F,chi2,DoF,l_P,P,Comm
1,"970228 ",i,0.0,8.448,"CPL ","yes",-1.27,0.22,0.24,,,,,165,25,39,0.53,0.05,0.06,44.9,56,0,0.86,
2,"970228 ",i,0.0,8.448,"Band","no ",-1.24,0.22,0.31,0,-2.82,7.18,0.6,159,36,38,0.6,0.06,0.06,44.5,55,0,0.84,
3,"970228 ",p,0.0,0.256,"CPL ","yes",-0.81,0.27,0.32,,,,,309,60,102,3.38,0.4,0.42,13.3,24,0,0.96,
4,"970228 ",p,0.0,0.256,"Band","no ",-0.76,0.29,0.49,0,-2.64,7.36,0.7,286,105,102,4.14,0.47,0.47,13.0,23,0,0.95,
5,"970828 ",i,0.0,70.656,"CPL ","no ",-0.86,0.04,0.04,,,,,346,17,19,0.89,0.03,0.03,72.6,66,0,0.27,
6,"970828 ",i,0.0,70.656,"Band","yes",-0.73,0.06,0.06,0,-2.18,0.15,0.11,271,22,24,1.33,0.05,0.05,63.5,65,0,0.53,
7,"970828 ",p,17.92,5.12,"CPL ","no ",-0.91,0.05,0.05,,,,,355,25,29,2.2,0.1,0.1,68.6,79,0,0.79,
8,"970828 ",p,17.92,5.12,"Band","yes",-0.78,0.07,0.08,0,-2.18,0.15,0.12,271,28,31,3.23,0.26,0.27,57.6,78,0,0.96,
9,"971214 ",i,0.0,8.448,"CPL ","yes",-0.5,0.17,0.19,,,,,179,16,20,0.39,0.03,0.03,72.2,78,0,0.66,
10,"971214 ",i,0.0,8.448,"Band","no ",-0.32,0.22,0.26,0,-2.39,0.35,0.23,154,19,20,0.58,0.09,0.11,67.8,77,0,0.77,
11,"990123 ",i,0.0,90.112,"CPL ","yes",-0.94,0.02,0.02,,,,,724,31,34,3.32,0.09,0.09,121.7,71,1,0.001,
12,"990123 ",i,0.0,90.112,"Band","no ",-0.92,0.02,0.02,0,-2.53,0.34,0.25,675,45,40,3.93,0.11,0.11,116.9,70,1,0.001,
13,"990123 ",p,5.12,1.792,"CPL ","yes",-0.57,0.03,0.03,,,,,1170,58,61,22.56,0.89,0.92,85.9,84,0,0.42,
14,"990123 ",p,5.12,1.792,"Band","no ",-0.55,0.04,0.04,1,-2.79,,,1131,65,69,24.12,1.59,1.65,83.7,83,0,0.46,
15,"990506 ",i,0.0,137.472,"CPL ","no ",-1.3,0.03,0.03,,,,,409,28,32,1.32,0.04,0.05,84.2,70,0,0.12,
16,"990506 ",i,0.0,137.472,"Band","yes",-1.19,0.04,0.05,0,-2.09,0.08,0.07,296,25,27,1.87,0.06,0.06,59.5,69,0,0.79,
17,"990506 ",p,85.248,6.656,"CPL ","no ",-1.09,0.04,0.04,,,,,243,9,10,4.41,0.09,0.1,118.0,78,0,0.0024,
