recno,GRB,tjet,e_tjet,E_tjet,CBM,Ref,theta,e_theta,Coll,e_Coll,Egamma,e_Egamma,Lgamma,e_Lgamma
1,"990123 ",2.06,0.83,0.83,"WM","501",1.91,0.19,0.55,0.12,118.1,24.1,27.16,5.74
2,"990510 ",1.31,0.07,0.07,"HM","501",4.21,0.09,2.7,0.11,47.07,3.2,21.9,0.95
3,"990705 ",1.0,,,"  ","502",4.23,0.32,2.72,0.42,59.31,9.13,8.36,1.26
4,"990705 ",1.0,,,"  ","502",3.07,0.16,1.43,0.15,31.28,3.21,4.41,0.41
5,"990712 ",1.61,0.19,0.19,"  ","503",9.2,0.42,12.9,1.19,4.96,0.68,1.54,0.28
6,"990712 ",1.61,0.19,0.19,"  ","503",10.1,0.35,15.5,1.09,5.98,0.6,1.85,0.34
7,"991216 ",1.1,0.13,0.13,"WM","501",2.16,0.06,0.71,0.04,63.13,3.88,36.32,2.68
8,"000301C",7.3,0.5,0.5,"HM","504",9.33,0.3,13.2,0.85,44.56,7.2,74.95,8.08
9,"000418 ",7.85,2.71,2.71,"  ","501",9.62,1.25,14.1,3.87,134.5,44.78,53.39,16.34
10,"000418 ",7.85,2.71,2.71,"  ","501",6.09,0.53,5.65,1.03,54.04,12.13,21.44,4.7
11,"000926 ",2.1,0.15,0.15,"WM","501",3.07,0.06,1.43,0.06,39.83,2.46,16.24,2.05
12,"010222 ",0.93,0.06,0.15,"WM","505,501",1.88,0.06,0.54,0.03,57.63,3.81,12.56,1.17
13,"010921 ",35.0,5.0,5.0,"HM","506",25.51,1.37,97.5,10.6,105.7,16.1,16.98,2.43
14,"011121 ",1.54,0.22,0.22,"WM","501",4.49,0.16,3.07,0.23,30.39,2.26,4.09,0.42
15,"020405 ",2.4,0.45,0.45,"WM","501",4.56,0.21,3.16,0.3,37.07,3.65,5.45,0.74
16,"020813 ",0.77,0.25,0.25,"HM","501",3.04,0.37,1.41,0.36,106.7,27.01,22.22,5.49
17,"030329 ",0.69,0.06,0.08,"HM","507",6.02,0.23,5.51,0.43,9.11,0.87,1.23,0.1
18,"041006 ",0.23,0.04,0.04,"WM","501",5.13,0.23,4.0,0.37,2.75,0.26,2.15,0.42
19,"050401 ",1.5,0.5,0.5,"  ","508",3.38,0.42,1.74,0.46,80.59,21.26,36.98,10.05
20,"050401 ",1.5,0.5,0.5,"  ","508",2.33,0.2,0.83,0.14,38.38,6.78,17.61,3.45
21,"050525A",0.152,0.008,0.008,"  ","509",2.83,0.06,1.22,0.05,3.43,0.17,2.33,0.1
22,"050525A",0.152,0.008,0.008,"  ","509",3.31,0.05,1.67,0.05,4.68,0.16,3.18,0.19
23,"050820A",18.0,2.0,2.0,"HM","510",7.99,0.33,9.7,0.83,1005.0,95.19,133.8,12.13
24,"051221A",5.0,,,"HM","511",14.04,1.06,29.9,4.66,9.2,1.51,67.56,10.47
25,"060614 ",1.31,0.03,0.03,"HM","512",9.72,0.11,14.3,0.32,3.89,0.31,0.42,0.02
26,"061121 ",1.16,,,"HM","513",3.94,0.3,2.36,0.37,71.67,11.46,53.35,8.32
27,"070125 ",3.78,,,"HM","514",4.94,0.37,3.71,0.58,474.0,74.85,108.2,16.58
28,"071010B",3.44,0.39,0.39,"  ","515",9.22,0.41,12.9,1.16,18.72,2.71,8.55,1.06
29,"071010B",3.44,0.39,0.39,"  ","515",8.12,0.3,10.0,0.74,14.5,1.61,6.62,1.22
30,"080319B",11.6,1.0,1.0,"WM","516,512",3.41,0.07,1.77,0.08,278.1,12.2,21.0,1.3
31,"090328 ",9.0,6.0,11.6,"HM","517,512",10.73,4.13,17.5,16.0,190.2,149.0,59.56,46.09
32,"090618 ",0.5,0.11,0.11,"HM","518",3.42,0.28,1.78,0.31,45.04,8.08,4.74,0.79
33,"090926A",10.0,2.0,2.0,"HM","517,512",6.2,0.47,5.85,0.91,1234.0,188.7,549.8,82.86
34,"091127 ",0.39,0.02,0.02,"  ","519",4.46,0.09,3.02,0.13,4.82,0.63,3.45,0.29
35,"091127 ",0.39,0.02,0.02,"  ","519",4.92,0.1,3.68,0.15,5.87,0.63,4.2,0.74
36,"110503A",1.06,0.14,0.14,"  ","520",3.8,0.19,2.2,0.23,46.8,5.07,42.85,4.31
37,"110503A",1.06,0.14,0.14,"  ","520",2.87,0.1,1.26,0.09,26.71,1.93,24.46,2.28
38,"130427A",0.43,0.05,0.05,"HM","521",2.91,0.13,1.29,0.12,114.8,10.09,35.64,3.11
39,"130603B",0.47,0.06,0.02,"  ","522",6.43,0.23,6.29,0.46,1.23,0.1,18.79,1.37
40,"130603B",0.47,0.06,0.02,"  ","522",8.9,0.24,12.0,0.66,2.36,0.13,36.0,3.0
41,"151027A",2.3,,,"WM","523",6.08,0.36,5.63,0.68,18.6,2.74,4.41,0.73
