recno,ID,NumID,Time,z,f_z,r_z,Com,t0,T100,_RA,_DE
1,"GRB050126 ",103780,"12:00:54.073",1.29,"s  ","  1", ,-0.24,40.0,278.11342,42.37061
2,"GRB050219A",106415,"12:40:01.049",0.211,"s  ","  2", ,-5.816,27.072,166.41246,-40.68417
3,"GRB050315 ",111063,"20:59:42.519",1.95,"s  ","  3", ,-56.24,105.408,306.47542,-42.60061
4,"GRB050318 ",111529,"15:44:37.171",1.4436,"s  ","  3", ,-0.6,32.992,49.7125,-46.39545
5,"GRB050505 ",117504,"23:22:21.099",4.27,"s  ","  4", ,-10.648,62.656,141.76375,30.27325
6,"GRB050724 ",147478,"12:34:09.362",0.258,"s  ","  5", ,-0.056,2.096,246.185,-27.54108
7,"GRB050730 ",148225,"19:58:23.199",3.9693,"s  ","  6", ,-61.064,181.504,212.07121,-3.77192
8,"GRB050802 ",148646,"10:08:02.267",1.7102,"s  ","  6", ,-3.408,22.976,219.27425,27.78684
9,"GRB050803 ",148833,"19:14:00.344",0.422,"s  ","  7", ,59.592,138.944,350.65796,5.78583
10,"GRB050814 ",150314,"11:38:56.966",5.3,"p  ","  8", ,-1.272,108.544,264.18912,46.33933
11,"GRB050826 ",152113,"06:18:10.289",0.296,"s  ","  9", ,-0.208,39.224,87.75662,-2.64317
12,"GRB050904 ",153514,"01:51:44.290",6.295,"s  "," 10", ,19.688,195.456,13.71164,14.08595
13,"GRB051006 ",158593,"20:30:33.256",1.059,"s  "," 11", ,-3.472,35.264,110.80633,9.5068
14,"GRB051111 ",163438,"05:59:41.479",1.54948,"s  "," 12", ,-5.872,87.04,348.13821,18.37467
15,"GRB060111A",176818,"04:23:06.123",2.32,"s  "," 13", ,-0.64,13.44,276.20472,37.60402
16,"GRB060115 ",177408,"13:08:00.643",3.5328,"s  ","  6", ,-50.192,158.336,54.035,17.34528
17,"GRB060116 ",177533,"08:37:27.233",6.6,"p  "," 14", ,-55.16,94.208,84.69237,-5.43752
18,"GRB060202 ",179968,"08:40:55.008",0.785,"s  "," 15", ,-32.632,224.512,35.84558,38.38436
19,"GRB060206 ",180455,"04:46:53.273",4.0559,"s  ","  6", ,-0.584,7.04,202.93092,35.051
20,"GRB060210 ",180977,"04:58:49.809",3.9122,"s  ","  6", ,-229.416,353.792,57.73904,27.02622
21,"GRB060223A",192059,"06:04:23.928",4.406,"s  "," 16", ,-2.04,12.096,55.2065,-17.13011
22,"GRB060306 ",200638,"00:49:10.626",1.551,"s  "," 15", ,-1.312,68.416,41.09512,-2.14861
23,"GRB060418 ",205851,"03:06:08.204",1.4901,"s  "," 17", ,-19.44,160.192,236.4275,-3.63889
