recno,ID,z,S,e_S,E_S,Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp63r,e_Fp63r,E_Fp63r,Eiso,e_Eiso,E_Eiso,Liso,e_Liso,E_Liso
1,"GRB050126 ",1.29,24.7,5.14,7.87,4.56,1.46,0.54,0.82,3.6,4.13,1.8,2.5,4.525,2.37,1.07,1.47,12.15,2.53,3.87,2.57,1.16,1.59
2,"GRB050219A",0.211,62.7,7.04,7.56,9.552,3.91,0.32,0.33,9.544,7.17,1.28,1.29,9.688,6.65,1.09,1.1,0.76,0.09,0.09,0.1,0.02,0.02
3,"GRB050315 ",1.95,56.9,3.93,4.41,4.048,2.48,0.54,0.63,4.496,5.95,1.59,1.76,4.479,3.39,0.91,1.0,86.89,5.99,6.73,13.99,3.75,4.14
4,"GRB050318 ",1.4436,24.9,3.43,3.63,28.392,2.65,0.45,0.43,28.904,5.04,1.01,0.99,28.796,4.78,0.86,0.84,18.39,2.53,2.68,8.9,1.61,1.57
5,"GRB050505 ",4.27,47.4,5.43,6.73,0.392,2.97,0.64,0.84,3.496,5.39,1.65,1.93,0.908,3.39,0.81,1.03,192.3,22.07,27.31,72.26,17.35,22.02
6,"GRB050724 ",0.258,9.66,2.72,2.62,0.0,6.83,1.92,1.85,0.008,31.9,9.09,8.77,0.025,28.7,8.2,7.91,0.24,0.07,0.06,0.88,0.25,0.24
7,"GRB050730 ",3.9693,187.0,69.4,88.7,5.152,3.95,1.58,1.97,9.592,11.9,5.03,6.14,9.553,6.28,2.56,3.16,686.4,254.8,325.4,114.7,46.63,57.61
8,"GRB050802 ",1.7102,70.4,11.5,12.5,0.08,9.04,1.54,1.61,3.568,14.9,4.08,4.15,0.41,10.3,2.66,2.71,62.19,10.19,11.01,24.41,6.33,6.45
9,"GRB050803 ",0.422,86.9,15.9,21.3,82.0,1.77,0.46,0.65,80.456,3.68,1.36,1.65,82.688,3.67,1.17,1.5,5.45,1.0,1.34,0.29,0.09,0.12
10,"GRB050814 ",5.3,21.4,6.38,6.98,8.36,0.81,0.26,0.26,1.544,3.03,1.03,1.05,5.582,1.68,0.46,0.47,124.1,37.02,40.5,56.08,15.27,15.66
11,"GRB050826 ",0.296,16.2,5.81,11.7,2.016,1.55,0.62,0.93,6.0,4.73,2.04,2.93,5.983,4.44,1.89,2.73,0.45,0.16,0.33,0.14,0.06,0.09
12,"GRB050904 ",6.295,213.0,27.1,29.5,27.0,2.17,0.49,0.51,24.104,6.01,1.78,1.81,27.588,3.38,0.74,0.76,1477.0,187.5,204.0,170.9,37.34,38.48
13,"GRB051006 ",1.059,55.9,11.0,12.3,2.976,4.42,1.05,1.13,2.384,15.2,4.43,4.65,3.27,11.0,2.92,3.09,18.8,3.71,4.14,7.53,2.0,2.12
14,"GRB051111 ",1.54948,113.0,10.9,11.9,0.312,8.04,0.72,0.74,2.896,12.5,2.0,2.02,0.284,10.0,1.32,1.34,78.72,7.6,8.26,17.59,2.32,2.35
15,"GRB060111A",2.32,25.8,4.09,3.86,3.928,1.75,0.16,0.18,6.656,2.69,0.51,0.52,4.774,2.14,0.29,0.31,44.69,7.09,6.69,10.67,1.47,1.56
16,"GRB060115 ",3.5328,18.6,2.33,3.42,93.4,1.73,0.46,0.69,98.16,3.65,1.17,1.59,94.691,2.47,0.7,1.02,63.6,7.97,11.7,35.89,10.21,14.78
17,"GRB060116 ",6.6,70.0,14.5,16.3,35.808,2.65,0.75,0.8,10.248,7.71,2.53,2.66,36.424,4.41,1.16,1.25,521.2,107.6,121.1,249.8,65.65,70.85
18,"GRB060202 ",0.785,45.7,9.99,16.8,5.0,1.47,0.51,0.61,17.72,5.09,2.01,2.33,5.632,3.71,1.41,1.65,11.12,2.43,4.1,1.26,0.48,0.56
19,"GRB060206 ",4.0559,12.9,1.1,1.38,1.728,2.7,0.24,0.31,3.0,3.94,0.56,0.63,1.975,3.06,0.32,0.39,53.98,4.57,5.74,62.47,6.47,7.91
20,"GRB060210 ",3.9122,240.0,30.5,28.4,35.816,6.04,1.14,1.2,34.792,13.9,3.83,3.93,34.912,7.75,1.74,1.81,1127.0,143.5,133.7,124.2,27.91,28.94
21,"GRB060223A",4.406,9.72,2.35,3.28,0.04,1.56,0.4,0.54,1.336,2.91,0.91,1.14,1.501,1.94,0.52,0.69,43.21,10.46,14.57,46.72,12.56,16.68
22,"GRB060306 ",1.551,42.5,7.25,6.96,0.32,5.21,0.39,0.43,0.416,10.3,1.2,1.27,0.282,9.64,0.88,0.95,41.7,7.11,6.82,18.44,1.68,1.82
23,"GRB060418 ",1.4901,206.0,11.9,12.6,9.656,9.52,0.78,0.81,10.32,13.4,2.19,2.21,10.214,11.2,1.48,1.5,147.1,8.52,8.98,18.38,2.43,2.46
24,"GRB060526 ",3.2213,14.4,3.46,5.0,0.168,4.02,0.98,1.41,0.96,6.66,1.99,2.61,0.634,5.75,1.47,2.06,40.86,9.83,14.23,69.06,17.62,24.76
25,"GRB060602A",0.787,42.4,14.4,17.3,3.304,1.43,0.46,0.53,11.568,4.1,1.74,1.9,15.802,3.7,1.34,1.5,9.42,3.2,3.85,1.15,0.42,0.47
26,"GRB060607A",3.0749,68.9,6.59,8.18,0.592,4.83,0.97,0.93,0.408,8.17,2.04,1.99,0.234,5.85,1.28,1.23,163.4,15.62,19.41,76.29,16.64,16.06
27,"GRB060707 ",3.424,26.1,2.88,3.28,2.2,1.21,0.25,0.3,5.192,2.92,0.86,0.94,2.043,1.55,0.43,0.48,74.6,8.25,9.39,19.29,5.39,5.92
