recno,ID,tJet,e_tJet,CBM,Ref,theta,e_theta,Col,e_Col,Egamma,e_Egamma,E_Egamma,Lgamma,e_Lgamma,E_Lgamma
1,"GRB050730 ",0.17,0.02,"HM ","(1)",1.44,0.07,0.31,0.03,21.57,8.29,10.45,3.6,1.51,1.85
2,"GRB050802 ",0.63,,"HM ","(2)",3.98,0.22,2.41,0.27,14.98,2.98,3.15,5.88,1.66,1.69
3,"GRB050802 ",0.63,,"SWM","(2)",3.4,0.16,1.76,0.17,10.93,2.07,2.2,4.29,1.18,1.2
4,"GRB050904 ",2.6,1.0,"HM ","(3)",3.14,0.32,1.5,0.32,222.1,55.6,56.9,25.7,7.89,8.01
5,"GRB051111 ",0.03,0.01,"HM ","(1)",1.26,0.11,0.24,0.04,1.91,0.4,0.41,0.43,0.1,0.1
6,"GRB060206 ",1.83,0.09,"HM ","(1)",4.78,0.07,3.48,0.11,18.78,1.69,2.08,21.73,2.35,2.83
7,"GRB060206 ",1.83,0.09,"SWM","(1)",3.93,0.07,2.35,0.09,12.7,1.18,1.43,14.69,1.62,1.94
8,"GRB060418 ",9.49,0.37,"HM ","(1)",10.2,0.12,15.8,0.37,232.4,14.51,15.18,29.04,3.9,3.94
9,"GRB060418 ",9.49,0.37,"SWM","(1)",5.51,0.07,4.62,0.12,67.99,4.3,4.49,8.5,1.14,1.16
10,"GRB060526 ",1.41,0.14,"HM ","(1)",4.8,0.18,3.51,0.27,14.35,3.62,5.12,24.25,6.46,8.89
11,"GRB060526 ",1.41,0.14,"SWM","(1)",4.13,0.23,2.6,0.3,10.61,2.83,3.89,17.93,5.01,6.75
12,"GRB060729 ",0.95,0.14,"HM ","(1)",7.33,0.33,8.17,0.76,7.13,2.31,1.56,0.79,0.33,0.27
13,"GRB060729 ",0.95,0.14,"SWM","(1)",7.08,0.37,7.62,0.83,6.65,2.19,1.51,0.74,0.31,0.26
14,"GRB070411 ",1.76,0.86,"HM ","(1)",4.53,0.6,3.12,0.87,48.55,17.18,20.08,8.13,3.23,3.48
15,"GRB070411 ",1.76,0.86,"SWM","(1)",3.18,0.31,1.54,0.32,23.92,7.13,8.78,4.01,1.39,1.53
16,"GRB080310 ",0.34,0.04,"HM ","(1)",3.08,0.1,1.45,0.1,5.36,0.79,0.9,1.5,0.31,0.31
17,"GRB080310 ",0.34,0.04,"SWM","(1)",3.13,0.1,1.49,0.1,5.5,0.81,0.92,1.54,0.32,0.32
18,"GRB081008 ",0.11,0.01,"HM ","(1)",1.8,0.05,0.49,0.03,7.11,1.3,1.52,0.76,0.17,0.19
19,"GRB090426 ",0.29,0.07,"HM ","(1)",4.01,0.27,2.45,0.34,0.59,0.14,0.15,3.86,0.98,1.04
20,"GRB091029 ",0.35,0.08,"HM ","(1)",2.52,0.16,0.96,0.12,15.1,3.08,3.02,3.3,0.76,0.75
21,"GRB110205A",1.19,0.09,"HM ","(1)",3.54,0.07,1.91,0.08,120.4,10.0,10.62,7.62,0.93,0.98
22,"GRB110205A",1.19,0.09,"SWM","(1)",2.14,0.04,0.7,0.03,43.83,3.54,3.77,2.77,0.33,0.35
