recno,Ref,BibCode,Aut,Com
1,1,"2017ApJ...850..161T","Tsvetkova et al.","Cat. J/ApJ/850/161"
2,2,"2017AdAst2017E...5C","Cano et al."," "
3,3,"2013MNRAS.430..163Q","Qin & Chen"," "
4,4,"2006MNRAS.372..233A","Amati"," "
5,5,"2009ApJS..180..192F","Frontera et al.","Cat. J/ApJS/180/192"
6,6,"2014AstL...40..235M","Minaev et al.","Cat. J/PAZh/40/271"
7,7,"2009ApJ...703.1696Z","Zhang et al."," "
8,8,"2010ApJ...717..411N","Norris et al."," "
9,9,"2014MNRAS.442.2586V","Volnova et al."," "
10,10,"2016ApJS..224...10S","Svinkin et al.","Cat. J/ApJS/224/10"
11,11,"2007ApJ...671..656B","Butler et al."," "
12,12,"2015A&A...581A.125K","Kruhler et al.","Cat. J/A+A/581/A125"
13,13,"2018ApJ...852L...1Z","Zou et al."," "
14,14,"2018PASP..130e4202Z","Zhang et al."," "
15,15,"2008GCN..7205....1T","Tueller et al."," "
16,16,"2017AstL...43....1M","Minaev & Pozanenko"," "
17,17,"2011MNRAS.413..669C","Cano et al."," "
18,18,"2012MNRAS.421.1256N","Nava et al."," "
19,19,"2009GCN.10040....1M","Markwardt et al."," "
20,20,"2011GCN.11722....1G","Golenetskii et al."," "
21,21,"2011GCN.11736....1C","Cenko et al."," "
22,22,"                   ","Pozanenko et al.","in preparation"
23,23,"2018A&A...616A..48S","Selsing et al."," "
24,24,"2012GCN.13120....1B","Barthelmy et al."," "
25,25,"2012GCN.13118....1T","Tello et al."," "
26,26,"2012GCN.13469....1G","Gruber"," "
27,27,"2012GCN.13460....1X","Xu et al."," "
28,28,"2012GCN.13517....1K","Krimm et al."," "
29,29,"2012GCN.13512....1C","Cucchiara et al."," "
30,30,"2014A&A...568A..19C","Cano et al.","Cat. J/A+A/568/A19"
31,31,"2012GCN.13634....1K","Krimm et al."," "
32,32,"2012GCN.13628....1T","Thoene et al."," "
33,33,"2012GCN.13736....1G","Golenetskii et al."," "
34,34,"2016ApJS..223...28N","Narayana Bhat et al."," "
35,35,"2012GCN.13810....1K","Knust et al."," "
