recno,GRB,f_GRB,T90i,z,E_z,e_z,f_z,Eiso,E_Eiso,e_Eiso,Epi,E_Epi,e_Epi,Type,Exp,Ref,EH,EHtype,EHD,EHDtype,SimbadName,_RA,_DE
1,"970228 ", ,31.5,0.695,,,"  ",12.01,0.93,0.93,280.0,66.0,42.0,"II+SNph","Konus-Wind","1,2",1.04,"II",0.19,"II","GRB 970228 ",75.44458,11.78139
2,"970508 ", ,10.9,0.835,,,"  ",6.12,1.3,1.3,145.0,43.0,43.0,"II","BeppoSAX","3",0.7,"II",0.21,"II","GRB 970508 ",103.455,79.27194
3,"970828 ", ,33.8,0.9578,,,"  ",262.2,9.1,9.1,531.0,47.0,43.0,"II","Konus-Wind","1",0.57,"II",0.1,"II","GRB 970828 ",272.13167,59.31417
4,"971214 ", ,3.6,3.418,,,"  ",146.3,6.1,6.1,791.0,88.0,71.0,"II","Konus-Wind","1",1.08,"II",0.57,"II","GRB 971214 ",179.11,65.20028
5,"980326 ", ,4.5,1.0,,,"PH",4.82,0.9,0.9,71.0,36.0,36.0,"II+SNph","BeppoSAX","2,3",0.38,"II",0.18,"II","GRB 980326 ",129.14292,-18.85667
6,"980425B", ,17.9,0.0085,,,"  ",0.001,2.0E-4,2.0E-4,55.0,21.0,21.0,"II+SNsp","BATSE/CGRO","2,4",8.72,"I ",2.06,"II","GRB 980425 ",293.76321,-52.84614
7,"980613 ", ,9.5,1.096,,,"  ",5.9,0.9,0.9,194.0,89.0,89.0,"II","BeppoSAX","3",0.95,"II",0.31,"II","GRB 980613 ",154.49083,71.45722
8,"980703 ", ,52.1,0.966,,,"  ",72.0,7.0,7.0,503.0,64.0,64.0,"II","BATSE/CGRO","3",0.91,"II",0.13,"II","GRB 980703 ",359.77792,8.58528
9,"990123 ", ,23.9,1.6004,,,"  ",2133.0,54.0,54.0,1883.0,88.0,81.0,"II","Konus-Wind","1",0.88,"II",0.18,"II","GRB 990123 ",231.37083,44.75
10,"990506 ", ,55.8,1.30658,,,"  ",1255.0,43.0,43.0,683.0,62.0,58.0,"II","Konus-Wind","1",0.39,"II",0.05,"II","GRB 990506 ",178.67083,-26.75
11,"990510 ", ,21.3,1.6187,,,"  ",174.2,8.1,8.1,356.0,31.0,26.0,"II","Konus-Wind","1",0.45,"II",0.1,"II","GRB 990510 ",204.53183,-80.49689
12,"990705 ", ,18.0,0.8424,,,"  ",218.1,7.7,7.7,551.0,17.0,17.0,"II","Konus-Wind","1",0.64,"II",0.15,"II","GRB 990705 ",77.47708,-72.13139
13,"990712 ", ,11.6,0.4331,,,"  ",3.86,0.28,0.28,149.0,21.0,16.0,"II+SNph","Konus-Wind","1,2",0.87,"II",0.26,"II","GRB 990712 ",337.97109,-73.40794
14,"991208 ", ,37.0,0.7055,,,"  ",233.4,4.6,4.6,315.5,8.5,8.5,"II+SNph","Konus-Wind","1,2",0.36,"II",0.06,"II","GRB 991208 ",248.47296,46.45597
15,"991216 ", ,7.2,1.02,,,"  ",886.0,11.0,11.0,713.0,30.0,30.0,"II","Konus-Wind","1",0.47,"II",0.18,"II","GRB 991216 ",77.38041,11.28535
16,"000131 ", ,17.5,4.5,,,"  ",1817.0,11.0,11.0,732.0,72.0,66.0,"II","Konus-Wind","1",0.36,"II",0.09,"II","GRB 000131 ",93.3795,-51.94492
17,"000210 ", ,4.32,0.8463,,,"  ",193.1,4.8,4.8,687.0,39.0,37.0,"II","Konus-Wind","1",0.84,"II",0.4,"II","GRB 000210 ",29.8125,-40.66667
18,"000301C", ,1.21,2.0335,,,"  ",33.7,5.0,5.0,494.0,200.0,109.0,"II","Konus-Wind","1",1.21,"II",1.1,"II","GRB 000301C",245.07708,29.44306
19,"000418 ", ,13.1,1.1181,,,"  ",95.7,4.9,4.9,246.0,21.0,17.0,"II","Konus-Wind","1",0.4,"II",0.11,"II","GRB 000418 ",186.3375,20.08333
20,"000911 ", ,11.3,1.0585,,,"  ",649.0,20.0,20.0,2229.0,107.0,103.0,"II+SNph","Konus-Wind","1,2",1.67,"II",0.5,"II","GRB 000911 ",34.675,7.8
21,"000926A", ,18.0,2.0369,,,"  ",278.0,11.0,11.0,328.0,24.0,21.0,"II","Konus-Wind","1",0.35,"II",0.08,"II","GRB 000926A",256.0625,51.76667
22,"010222 ", ,36.2,1.4768,,,"  ",1072.0,30.0,30.0,706.0,54.0,50.0,"II","Konus-Wind","1",0.43,"II",0.07,"II","GRB 010222 ",223.05208,43.01833
23,"010921 ", ,13.7,0.45,,,"  ",10.84,0.47,0.47,135.0,12.0,10.0,"II","Konus-Wind","1",0.52,"II",0.14,"II","GRB 010921 ",343.99958,40.93136
24,"011121 ", ,41.9,0.36,,,"  ",98.9,2.7,2.7,1114.0,147.0,131.0,"II+SNsp","Konus-Wind","1,2",1.77,"II",0.27,"II","GRB 011121 ",173.61112,-76.02822
25,"011211 ", ,16.2,2.14,,,"  ",63.0,7.0,7.0,186.0,24.0,24.0,"II","BeppoSAX","4,5",0.36,"II",0.09,"II","GRB 011211 ",168.81667,-21.93333
26,"020124 ", ,18.7,3.198,,,"  ",270.0,30.0,30.0,448.0,148.0,148.0,"II","HETE-2","3",0.48,"II",0.11,"II","GRB 020124 ",143.21167,-11.51972
27,"020127 ", ,6.1,1.9,0.2,0.4,"PH",35.0,1.0,1.0,290.0,100.0,100.0,"II","HETE-2","3",0.7,"II",0.28,"II","GRB 020127 ",123.77417,36.74194
28,"020405 ", ,24.6,0.6898,,,"  ",117.3,1.8,1.8,272.0,12.0,12.0,"II+SNph","Konus-Wind","1,2",0.4,"II",0.08,"II","GRB 020405 ",209.513,-31.37283
29,"020813 ", ,39.7,1.254,,,"  ",758.0,47.0,47.0,512.0,41.0,38.0,"II","Konus-Wind","1",0.36,"II",0.06,"II","GRB 020813 ",296.67447,-19.60134
30,"020819B", ,5.8,0.411,,,"  ",3.51,0.39,0.39,224.0,59.0,40.0,"II","Konus-Wind","1",1.36,"II",0.56,"II","GRB 020819B",345.048,-43.011
31,"020903 ", ,8.0,0.25,,,"  ",0.024,0.006,0.006,3.37,1.79,1.79,"II+SNph","HETE-2","2,3",0.15,"II",0.05,"II","GRB 020903 ",342.17642,-20.76925
32,"021004 ", ,23.4,2.33,,,"  ",33.0,4.0,4.0,266.0,117.0,117.0,"II","HETE-2","3",0.66,"II",0.14,"II","GRB 021004 ",6.72783,18.92822
33,"021211 ", ,0.9,1.004,,,"  ",9.9,1.9,1.9,108.0,26.0,50.0,"II+SNsp","Konus-Wind","1,2",0.43,"II",0.46,"II","GRB 021211 ",122.24941,6.72709
34,"030226 ", ,25.8,1.98,,,"  ",121.0,13.0,13.0,289.0,66.0,66.0,"II","HETE-2","3",0.42,"II",0.08,"II","GRB 030226 ",173.27042,25.89889
35,"030323 ", ,7.46,3.372,,,"  ",28.0,9.0,9.0,270.0,113.0,113.0,"II","HETE-2","3",0.71,"II",0.26,"II","GRB 030323 ",166.53917,-21.77028
36,"030328 ", ,55.6,1.52,,,"  ",470.0,30.0,30.0,328.0,55.0,55.0,"II","HETE-2","3",0.28,"II",0.04,"II","GRB 030328 ",182.70167,-9.3475
37,"030329 ", ,18.7,0.16854,,,"  ",16.55,0.3,0.3,113.3,2.3,2.3,"II+SNsp","Konus-Wind","1,2",0.37,"II",0.09,"II","GRB 030329 ",161.20846,21.52171
38,"030429 ", ,2.8,2.65,,,"  ",21.6,2.6,2.6,128.0,26.0,26.0,"II","HETE-2","3",0.37,"II",0.22,"II","GRB 030429 ",183.28123,-20.91376
39,"030528 ", ,27.6,0.782,,,"  ",25.0,3.0,3.0,57.0,9.0,9.0,"II","HETE-2","3",0.16,"II",0.03,"II","GRB 030528 ",256.00125,-22.61944
40,"031203 ", ,31.0,0.105,,,"  ",0.1,0.04,0.04,158.0,51.0,51.0,"II+SNsp","Konus-Wind","2,4,6",3.97,"I ",0.71,"II","GRB 031203 ",120.62542,-39.85083
41,"040912 ", ,55.8,1.563,,,"  ",13.0,3.0,3.0,44.0,33.0,33.0,"II","HETE-2","3",0.16,"II",0.02,"II","GRB 040912 ",359.17917,-0.92222
42,"040924 ", ,0.43,0.859,,,"  ",5.08,0.27,0.27,133.8,11.2,11.2,"II+SNph","Konus-Wind","1,2",0.7,"II",1.07,"II","GRB 040924 ",31.59383,16.14689
43,"041006 ", ,4.0,0.716,,,"  ",6.88,0.37,0.37,147.6,8.6,8.6,"II+SNph","Konus-Wind","1,2",0.68,"II",0.34,"II","GRB 041006 ",13.70904,1.23528
44,"050126A", ,10.8,1.29,,,"  ",7.36,1.6,1.6,263.0,110.0,110.0,"II","Swift","3",1.18,"II",0.36,"II","GRB 050126 ",278.11342,42.37061
45,"050223 ", ,14.1,0.5915,,,"  ",1.21,0.18,0.18,110.0,54.0,54.0,"II","Swift","3",1.02,"II",0.27,"II","GRB 050223 ",271.38417,-62.47233
46,"050318 ", ,13.1,1.44,,,"  ",22.0,1.6,1.6,115.0,25.0,25.0,"II","Swift","3",0.33,"II",0.09,"II","GRB 050318 ",49.7125,-46.39545
47,"050401 ", ,8.5,2.8992,,,"  ",464.0,22.0,22.0,409.0,55.0,43.0,"II","Konus-Wind","1",0.35,"II",0.12,"II","GRB 050401 ",247.87017,2.18736
48,"050416A", ,1.52,0.6535,,,"  ",1.0,0.1,0.1,25.1,4.2,4.2,"II+SNph","Swift","2,3",0.25,"II",0.2,"II","GRB 050416A",188.4775,21.05741
49,"050505 ", ,11.2,4.27,,,"  ",176.0,26.1,26.1,661.0,245.0,245.0,"II","Swift","3",0.84,"II",0.25,"II","GRB 050505 ",141.76375,30.27325
50,"050509B", ,0.04,0.2248,,,"  ",0.0024,0.0044,0.001,100.0,748.0,98.0,"I","Swift","7",11.2,"I ",55.8,"I ","GRB 050509B",189.075,29.02333
51,"050525A", ,4.4,0.606,,,"  ",28.08,0.61,0.61,128.5,3.2,3.2,"II+SNsp","Konus-Wind","1,2",0.34,"II",0.16,"II","GRB 050525A",278.13567,26.33954
52,"050603 ", ,2.9,2.821,,,"  ",947.0,63.0,63.0,913.0,245.0,130.0,"II","Konus-Wind","1",0.59,"II",0.35,"II","GRB 050603 ",39.98683,-25.18192
53,"050709A", ,0.06,0.1606,,,"  ",0.027,0.011,0.011,96.3,20.9,13.9,"I+EE","HETE-2","7",4.08,"I ",16.7,"I ","GRB 050709 ",345.36233,-38.97764
54,"050724A", ,2.4,0.2576,,,"  ",0.09,0.11,0.02,138.0,503.0,57.0,"I+EE","Swift","7,8",3.62,"I ",2.33,"II","GRB 050724A",246.185,-27.54108
55,"050803 ", ,61.8,0.422,,,"  ",1.86,0.4,0.4,138.0,48.0,48.0,"II","Swift","3",1.08,"II",0.14,"II","GRB 050803 ",350.65796,5.78583
56,"050813A", ,0.35,0.72,,,"  ",0.15,0.25,0.08,361.0,1221.0,224.0,"I","Swift","7",7.71,"I ",13.0,"I ","GRB 050813 ",241.98829,11.24939
57,"050814 ", ,24.0,5.3,0.3,0.3,"PH",112.0,24.3,24.3,339.0,47.0,47.0,"II","Swift","3",0.51,"II",0.11,"II","GRB 050814 ",264.18912,46.33933
58,"050820 ", ,122.0,2.6147,,,"  ",1036.0,36.0,36.0,1753.0,539.0,333.0,"II","Konus-Wind","1",1.09,"II",0.1,"II","GRB 050820 ",337.40879,19.56031
59,"050904 ", ,23.9,6.29,,,"  ",1240.0,130.0,130.0,3178.0,1094.0,1094.0,"II","Swift","3",1.84,"II",0.38,"II","GRB 050904 ",13.71164,14.08595
60,"050908 ", ,4.5,3.344,,,"  ",19.7,3.2,3.2,195.0,36.0,36.0,"II","Swift","3",0.59,"II",0.28,"II","GRB 050908 ",20.46146,-12.95478
61,"050922C", ,2.0,2.198,,,"  ",53.0,17.0,17.0,415.0,111.0,111.0,"II","HETE-2","3",0.85,"II",0.6,"II","GRB 050922C",317.3875,-8.75836
62,"051008 ", ,55.4,2.77,0.15,0.2,"PH",834.0,70.0,70.0,2074.0,501.0,354.0,"II","Konus-Wind","1,9",1.41,"II",0.19,"II","GRB 051008 ",202.86708,42.13472
63,"051022 ", ,85.4,0.8,,,"  ",490.0,10.0,10.0,794.0,32.0,29.0,"II","Konus-Wind","1",0.67,"II",0.07,"II","GRB 051022 ",359.0175,19.60897
64,"051109A", ,11.9,2.346,,,"  ",71.1,8.5,8.5,569.0,268.0,141.0,"II","Konus-Wind","1",1.03,"II",0.3,"II","GRB 051109A",330.31383,40.82325
65,"051221A", ,0.14,0.5465,,,"  ",9.1,1.29,1.12,677.0,200.0,141.0,"I","Konus-Wind","10",2.8,"II",7.48,"I ","GRB 051221A",328.70261,16.89088
66,"060115 ", ,30.8,3.53,,,"  ",63.0,9.0,9.0,285.0,34.0,34.0,"II","Swift","3",0.54,"II",0.1,"II","GRB 060115 ",54.035,17.34528
67,"060121 ", ,0.28,4.6,0.5,0.5,"PH",180.0,12.0,12.0,767.0,84.0,67.0,"II","Konus-Wind","1",0.96,"II",1.82,"II","GRB 060121 ",137.46637,45.66261
68,"060124 ", ,72.2,2.297,,,"  ",328.0,15.0,15.0,788.0,112.0,86.0,"II","Konus-Wind","1,3",0.78,"II",0.09,"II","GRB 060124 ",77.10792,69.74083
69,"060206 ", ,1.51,4.048,,,"  ",43.0,9.0,9.0,394.0,46.0,46.0,"II","Swift","3",0.88,"II",0.71,"II","GRB 060206 ",202.93092,35.051
70,"060210 ", ,51.9,3.91,,,"  ",415.3,57.0,57.0,575.0,186.0,186.0,"II","Swift","3",0.52,"II",0.07,"II","GRB 060210 ",57.73904,27.02622
71,"060218 ", ,2033.0,0.0331,,,"  ",0.053,0.003,0.003,4.9,0.3,0.3,"II+SNsp","Swift","2,3",0.16,"II",0.004,"II","GRB 060218 ",50.41529,16.8673
72,"060223A", ,2.09,4.41,,,"  ",42.9,6.6,6.6,339.0,63.0,63.0,"II","Swift","3",0.75,"II",0.52,"II","GRB 060223A",55.2065,-17.13011
