#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 3.622347e-08 | 2.620415e-08 | 4.436597e-08 | 4.745806e-08 | 3.571330e-08 | 5.492246e-08 | 4.777602e-08 | 3.525819e-08 | 5.365868e-08 | 2.988409e-08 | 1.326295e-08 | 3.320703e-08 | 1.087327e-07 | 8.134671e-08 | 1.364992e-07 | 1.610238e-07 | 1.214283e-07 | 1.798705e-07 | 2.395025e-07 | 1.536703e-07 | 2.636635e-07 | 1 | -0.004000 | 0.996000 |  
GRB250603A   |   1320335    | 1.324555e-08 | 9.657395e-09 | 1.690636e-08 | 2.849378e-08 | 2.357925e-08 | 3.371631e-08 | 3.031028e-08 | 2.273317e-08 | 3.752235e-08 | 1.016272e-08 | 3.434077e-09 | 1.946839e-08 | 1.442846e-08 | 3.817069e-09 | 4.695804e-08 | 8.221291e-08 | 6.724810e-08 | 9.774398e-08 | 8.648086e-08 | 6.811927e-08 | 1.199472e-07 | 1 | 0.136000 | 1.136000 |  
GRB250530C   |   1319125    | 7.009548e-09 | 4.702730e-09 | 9.485058e-09 | 1.499754e-08 | 1.190721e-08 | 1.853404e-08 | 2.523016e-08 | 1.969609e-08 | 3.166285e-08 | 2.234704e-08 | 1.167535e-08 | 3.041375e-08 | 1.000392e-07 | 1.928679e-08 | 1.577793e-07 | 6.956167e-08 | 5.474822e-08 | 8.383010e-08 | 1.458814e-07 | 6.655030e-08 | 1.735042e-07 | 1 | -0.276000 | 0.724000 |  
GRB250520A   |   1315630    | 8.425390e-09 | 4.817703e-09 | 1.222503e-08 | 2.879586e-08 | 2.324931e-08 | 3.419479e-08 | 7.535117e-08 | 6.496957e-08 | 8.675210e-08 | 8.407367e-08 | 6.553752e-08 | 1.014635e-07 | 3.842731e-07 | 1.626709e-07 | 5.413025e-07 | 1.966482e-07 | 1.721631e-07 | 2.209073e-07 | 4.968439e-07 | 2.762485e-07 | 7.256380e-07 | 1 | -0.540000 | 0.460000 |  
GRB250516A   |   1314210    | 4.047157e-08 | 3.542991e-08 | 4.565833e-08 | 7.103625e-08 | 6.548171e-08 | 7.632908e-08 | 9.455620e-08 | 8.568405e-08 | 1.048238e-07 | 7.259889e-08 | 5.658613e-08 | 8.136170e-08 | 2.613304e-07 | 2.418243e-07 | 3.203760e-07 | 2.783556e-07 | 2.458612e-07 | 3.081697e-07 | 4.722479e-07 | 3.524682e-07 | 5.005183e-07 | 1 | 19.388000 | 20.388000 |  
GRB250509A   |   1311764    | 1.049663e-08 | 7.076524e-09 | 1.301877e-08 | 1.404300e-08 | 9.603731e-09 | 1.626298e-08 | 1.449239e-08 | 1.121657e-08 | 1.581212e-08 | 9.253158e-09 | 6.287529e-09 | 1.179750e-08 | 3.429888e-08 | 2.417520e-08 | 4.209010e-08 | 4.821587e-08 | 3.767992e-08 | 6.134653e-08 | 7.318465e-08 | 4.969927e-08 | 9.355565e-08 | 1 | 0.416000 | 1.416000 |  
GRB250504A   |   1310284    | 5.628206e-09 | 3.183904e-09 | 8.429465e-09 | 2.560649e-08 | 2.112905e-08 | 2.993229e-08 | 7.119180e-08 | 6.209691e-08 | 8.060092e-08 | 6.213839e-08 | 4.642373e-08 | 7.770161e-08 | 1.476284e-07 | 7.629042e-08 | 3.237651e-07 | 1.645660e-07 | 1.444608e-07 | 1.844718e-07 | 2.500576e-07 | 1.778648e-07 | 4.233504e-07 | 1 | 7.704000 | 8.704000 |  
GRB250430A   |   1308754    | 1.755699e-08 | 1.342239e-08 | 2.187006e-08 | 4.564782e-08 | 4.038778e-08 | 5.110460e-08 | 7.159950e-08 | 6.257920e-08 | 8.078858e-08 | 4.165911e-08 | 2.671222e-08 | 5.745396e-08 | 8.253725e-08 | 3.830716e-08 | 1.889992e-07 | 1.764656e-07 | 1.545397e-07 | 1.983536e-07 | 2.173402e-07 | 1.685621e-07 | 3.230651e-07 | 1 | 0.308000 | 1.308000 |  
GRB250424A   |   1306404    | 4.813157e-07 | 4.505988e-07 | 5.126489e-07 | 9.043572e-07 | 8.777281e-07 | 9.311079e-07 | 1.211686e-06 | 1.171818e-06 | 1.251815e-06 | 8.059906e-07 | 7.514845e-07 | 8.600427e-07 | 2.338999e-06 | 1.913903e-06 | 2.877531e-06 | 3.403298e-06 | 3.313599e-06 | 3.492851e-06 | 4.936396e-06 | 4.506922e-06 | 5.473814e-06 | 1 | -14.848000 | -13.848000 |  
GRB250331C   |   1299967    | 2.417297e-09 | 6.569011e-13 | 4.158053e-09 | 5.846689e-09 | 2.522435e-09 | 8.710438e-09 | 8.608550e-09 | 5.181196e-09 | 1.433409e-08 | 7.684931e-09 | 1.318742e-09 | 1.765875e-08 | 3.393673e-08 | 6.822601e-10 | 1.000000e+00 | 2.544661e-08 | 1.283601e-08 | 3.880699e-08 | 4.902076e-08 | 9.429746e-14 | 9.607270e-08 | 1 | -3.192000 | -2.192000 |  
