#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 5.193379e-08 | 4.525327e-08 | 5.888165e-08 | 1.111706e-07 | 1.024354e-07 | 1.198257e-07 | 1.868272e-07 | 1.710606e-07 | 2.024650e-07 | 1.636854e-07 | 1.425706e-07 | 1.857462e-07 | 7.175795e-07 | 5.910851e-07 | 8.612912e-07 | 5.136177e-07 | 4.741546e-07 | 5.532609e-07 | 1.067505e-06 | 9.297153e-07 | 1.219607e-06 | 1 | -0.004000 | 0.996000 |  
GRB250603A   |   1320335    | 1.514189e-08 | 1.198064e-08 | 1.842044e-08 | 2.424320e-08 | 2.066569e-08 | 2.781634e-08 | 2.931298e-08 | 2.329217e-08 | 3.535005e-08 | 1.991086e-08 | 1.417392e-08 | 2.636028e-08 | 6.939689e-08 | 4.481671e-08 | 1.010043e-07 | 8.860740e-08 | 7.399289e-08 | 1.034165e-07 | 1.380798e-07 | 1.063800e-07 | 1.750532e-07 | 1 | 0.136000 | 1.136000 |  
GRB250530C   |   1319125    | 6.996325e-09 | 4.712594e-09 | 9.485277e-09 | 1.500756e-08 | 1.188092e-08 | 1.803765e-08 | 2.528017e-08 | 1.969065e-08 | 3.075955e-08 | 2.218861e-08 | 1.507301e-08 | 3.026426e-08 | 9.744286e-08 | 5.731654e-08 | 1.545753e-07 | 6.947363e-08 | 5.560579e-08 | 8.350260e-08 | 1.447271e-07 | 9.985734e-08 | 2.038356e-07 | 1 | -0.276000 | 0.724000 |  
GRB250520A   |   1315630    | 9.388582e-09 | 6.711043e-09 | 1.245776e-08 | 2.890746e-08 | 2.365212e-08 | 3.412479e-08 | 7.290041e-08 | 6.434429e-08 | 8.142917e-08 | 8.671815e-08 | 7.146609e-08 | 1.026715e-07 | 5.220475e-07 | 3.853009e-07 | 6.954245e-07 | 1.979110e-07 | 1.741245e-07 | 2.217584e-07 | 6.332424e-07 | 4.939807e-07 | 8.057123e-07 | 1 | -0.540000 | 0.460000 |  
GRB250516A   |   1314210    | 4.048275e-08 | 3.545276e-08 | 4.566779e-08 | 7.101662e-08 | 6.546965e-08 | 7.654027e-08 | 9.528181e-08 | 8.568800e-08 | 1.048021e-07 | 7.018754e-08 | 5.955250e-08 | 8.143292e-08 | 2.622769e-07 | 2.104408e-07 | 3.218400e-07 | 2.769683e-07 | 2.539920e-07 | 3.000751e-07 | 4.690617e-07 | 4.086768e-07 | 5.353404e-07 | 1 | 19.388000 | 20.388000 |  
GRB250509A   |   1311764    | 1.531440e-08 | 1.292409e-08 | 1.781312e-08 | 3.458916e-08 | 3.124280e-08 | 3.789832e-08 | 6.174332e-08 | 5.534138e-08 | 6.809261e-08 | 5.664219e-08 | 4.782225e-08 | 6.597661e-08 | 2.596929e-07 | 2.048755e-07 | 3.241156e-07 | 1.682868e-07 | 1.520793e-07 | 1.846418e-07 | 3.713385e-07 | 3.116664e-07 | 4.392381e-07 | 1 | 0.416000 | 1.416000 |  
GRB250504A   |   1310284    | 8.316489e-09 | 6.368688e-09 | 1.046695e-08 | 2.530580e-08 | 2.152336e-08 | 2.905829e-08 | 6.298687e-08 | 5.623672e-08 | 6.971400e-08 | 7.419933e-08 | 6.263831e-08 | 8.625415e-08 | 4.418959e-07 | 3.410829e-07 | 5.640012e-07 | 1.708087e-07 | 1.520828e-07 | 1.895964e-07 | 5.384929e-07 | 4.347905e-07 | 6.613022e-07 | 1 | 7.704000 | 8.704000 |  
GRB250430A   |   1308754    | 2.072765e-08 | 1.731251e-08 | 2.431644e-08 | 4.233699e-08 | 3.794548e-08 | 4.669173e-08 | 6.748543e-08 | 5.956073e-08 | 7.535811e-08 | 5.678191e-08 | 4.684789e-08 | 6.738915e-08 | 2.395135e-07 | 1.838442e-07 | 3.056539e-07 | 1.873312e-07 | 1.676834e-07 | 2.071381e-07 | 3.700582e-07 | 3.079499e-07 | 4.407679e-07 | 1 | 0.308000 | 1.308000 |  
GRB250424A   |   1306404    | 5.129559e-07 | 4.891589e-07 | 5.372049e-07 | 8.904304e-07 | 8.657650e-07 | 9.150398e-07 | 1.180457e-06 | 1.146410e-06 | 1.214395e-06 | 8.614895e-07 | 8.221291e-07 | 9.014258e-07 | 3.193155e-06 | 2.991920e-06 | 3.402750e-06 | 3.445323e-06 | 3.360625e-06 | 3.530124e-06 | 5.776969e-06 | 5.555843e-06 | 6.004267e-06 | 1 | -14.848000 | -13.848000 |  
GRB250331C   |   1299967    | 2.873691e-09 | 6.848256e-10 | 5.616684e-09 | 5.837407e-09 | 2.582795e-09 | 8.642711e-09 | 9.247408e-09 | 3.687058e-09 | 1.432584e-08 | 7.743726e-09 | 1.860073e-09 | 1.629033e-08 | 3.251696e-08 | 5.092136e-09 | 1.126497e-07 | 2.570218e-08 | 1.299601e-08 | 3.866696e-08 | 5.045916e-08 | 2.761277e-08 | 1.286915e-07 | 1 | -3.192000 | -2.192000 |  
GRB250331B   |   1299965    | 1.155766e-08 | 7.005514e-09 | 1.637872e-08 | 1.597607e-08 | 1.148603e-08 | 2.046256e-08 | 1.632262e-08 | 8.890169e-09 | 2.380400e-08 | 9.711359e-09 | 3.915705e-09 | 1.745018e-08 | 3.040325e-08 | 9.831505e-09 | 6.688828e-08 | 5.356733e-08 | 3.625851e-08 | 7.127217e-08 | 7.425915e-08 | 4.340303e-08 | 1.161261e-07 | 1 | 1.284000 | 2.284000 |  
GRB250330A   |   1299776    | 4.368778e-08 | 3.962415e-08 | 4.784428e-08 | 7.584379e-08 | 7.132142e-08 | 8.036001e-08 | 1.005611e-07 | 9.245917e-08 | 1.086626e-07 | 7.339560e-08 | 6.452678e-08 | 8.272942e-08 | 2.720696e-07 | 2.290498e-07 | 3.200590e-07 | 2.934878e-07 | 2.740754e-07 | 3.130329e-07 | 4.921528e-07 | 4.416010e-07 | 5.466760e-07 | 1 | 0.260000 | 1.260000 |  
GRB250327A   |   1299088    | 3.123777e-08 | 1.818696e-08 | 4.546215e-08 | 3.784513e-08 | 2.479305e-08 | 5.087800e-08 | 3.320856e-08 | 1.868013e-08 | 4.753352e-08 | 1.750653e-08 | 7.755325e-09 | 2.855946e-08 | 5.004492e-08 | 1.866294e-08 | 9.267445e-08 | 1.197954e-07 | 7.789508e-08 | 1.618378e-07 | 1.522089e-07 | 9.307649e-08 | 2.160131e-07 | 1 | 24.492000 | 25.492000 |  
GRB250322A   |   1297832    | 6.790473e-09 | 5.025277e-09 | 8.737355e-09 | 2.160230e-08 | 1.800860e-08 | 2.513564e-08 | 5.648329e-08 | 5.007374e-08 | 6.287529e-08 | 6.901603e-08 | 5.768594e-08 | 8.088537e-08 | 4.281343e-07 | 3.245338e-07 | 5.571986e-07 | 1.538899e-07 | 1.359064e-07 | 1.719293e-07 | 5.130149e-07 | 4.068178e-07 | 6.423622e-07 | 1 | -0.162000 | 0.838000 |  
GRB250321A   |   1297508    | 2.817734e-08 | 2.144223e-08 | 3.536633e-08 | 5.824786e-08 | 4.908740e-08 | 6.726203e-08 | 9.411308e-08 | 7.901326e-08 | 1.090009e-07 | 8.001290e-08 | 6.156161e-08 | 9.965291e-08 | 3.408474e-07 | 2.381771e-07 | 4.672400e-07 | 2.605494e-07 | 2.222952e-07 | 2.989097e-07 | 5.213748e-07 | 4.058822e-07 | 6.553450e-07 | 1 | -0.156000 | 0.844000 |  
GRB250312A   |   1294765    | 8.243848e-09 | 4.922095e-09 | 1.217503e-08 | 2.330827e-08 | 1.713247e-08 | 2.927386e-08 | 5.347244e-08 | 4.345603e-08 | 6.335779e-08 | 5.927615e-08 | 4.272676e-08 | 7.707260e-08 | 3.303467e-07 | 2.022600e-07 | 5.133103e-07 | 1.443012e-07 | 1.171548e-07 | 1.715023e-07 | 4.153747e-07 | 2.823384e-07 | 5.973240e-07 | 1 | 0.684000 | 1.684000 |  
GRB250306A   |   1293340    | 2.744353e-07 | 2.525806e-07 | 2.968178e-07 | 6.374997e-07 | 6.055082e-07 | 6.693604e-07 | 1.174438e-06 | 1.118356e-06 | 1.230325e-06 | 1.103570e-06 | 1.025510e-06 | 1.182960e-06 | 5.181315e-06 | 4.667024e-06 | 5.728356e-06 | 3.189922e-06 | 3.044038e-06 | 3.336030e-06 | 7.267750e-06 | 6.716453e-06 | 7.846031e-06 | 1 | 0.140000 | 1.140000 |  
GRB250225B   |   1291459    | 7.050664e-08 | 6.401622e-08 | 7.721292e-08 | 1.792586e-07 | 1.693909e-07 | 1.890602e-07 | 3.653592e-07 | 3.473442e-07 | 3.832922e-07 | 3.705868e-07 | 3.421212e-07 | 3.997606e-07 | 1.880356e-06 | 1.670898e-06 | 2.108240e-06 | 9.857119e-07 | 9.381019e-07 | 1.033451e-06 | 2.495514e-06 | 2.276512e-06 | 2.730612e-06 | 1 | 1.312000 | 2.312000 |  
