#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 9.749896e-10 | 2.836352e-10 | 1.693246e-09 | 3.074964e-09 | 1.781435e-09 | 4.492106e-09 | 5.501106e-09 | 3.259568e-09 | 7.974804e-09 | 3.220328e-09 | 5.960600e-10 | 6.363118e-09 | 5.907178e-09 | 6.523490e-10 | 2.776132e-08 | 1.277144e-08 | 7.970948e-09 | 1.755456e-08 | 1.546002e-08 | 8.227350e-09 | 4.353714e-08 | 0.02 | 0.856000 | 0.876000 |  
GRB250603A   |   1320335    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.02 | 0.864000 | 0.884000 |  
GRB250530C   |   1319125    | 3.006284e-10 | 3.700412e-11 | 6.387928e-10 | 9.334478e-10 | 4.265796e-10 | 1.499167e-09 | 1.133287e-09 | 2.604234e-10 | 2.057074e-09 | 2.993160e-10 | 2.160876e-13 | 1.118150e-09 | 3.678324e-10 | 3.297236e-12 | 3.713728e-09 | 2.666428e-09 | 1.255770e-09 | 4.208236e-09 | 2.739680e-09 | 1.270106e-09 | 6.357406e-09 | 0.02 | -24.720000 | -24.700000 |  
GRB250520A   |   1315630    | 5.220836e-10 | N/A | N/A | 2.190332e-09 | N/A | N/A | 7.148090e-09 | N/A | N/A | 9.359874e-09 | N/A | N/A | 5.005184e-08 | N/A | N/A | 1.922029e-08 | N/A | N/A | 5.841306e-08 | N/A | N/A | 0.02 | 0.108000 | 0.128000 |  
GRB250516A   |   1314210    | 7.202280e-10 | 2.557584e-14 | 1.355408e-09 | 9.786784e-10 | 1.048890e-14 | 1.551279e-09 | 1.026337e-09 | 8.861964e-19 | 1.387043e-09 | 6.616374e-10 | 2.468824e-12 | 1.178773e-09 | 2.466096e-09 | 2.061246e-13 | 3.992270e-09 | 3.389222e-09 | N/A | N/A | 5.191944e-09 | 9.812734e-12 | 9.252520e-09 | 0.02 | 5.776000 | 5.796000 |  
GRB250509A   |   1311764    | 3.561066e-10 | 4.892604e-11 | 7.379892e-10 | 1.507023e-09 | 9.446262e-10 | 2.130050e-09 | 2.820200e-09 | 1.686126e-09 | 3.990524e-09 | 1.227496e-09 | 4.804962e-11 | 3.077938e-09 | 1.718146e-09 | 4.865304e-11 | 3.601306e-08 | 5.910850e-09 | 3.549114e-09 | 8.383590e-09 | 6.401474e-09 | 3.552140e-09 | 1.891908e-08 | 0.02 | 0.976000 | 0.996000 |  
GRB250504A   |   1310284    | 4.924248e-10 | 2.675962e-10 | 8.432960e-10 | 1.173302e-09 | 6.400296e-10 | 1.889165e-09 | 2.327394e-09 | 1.039465e-09 | 3.682052e-09 | 2.351148e-09 | 3.590212e-10 | 4.388136e-09 | 1.159498e-08 | 1.590377e-09 | 2.000000e-02 | 6.410324e-09 | 3.147604e-09 | 8.442480e-09 | 1.423967e-08 | 3.348728e-09 | 4.439766e-08 | 0.02 | 0.528000 | 0.548000 |  
GRB250430A   |   1308754    | 8.037852e-10 | 3.078222e-10 | 1.254671e-09 | 1.128548e-09 | 4.354818e-10 | 1.653218e-09 | 1.224532e-09 | 5.196370e-10 | 1.648428e-09 | 8.074024e-10 | 5.605702e-14 | 1.215654e-09 | 3.039904e-09 | 1.218990e-09 | 4.397136e-09 | 3.964332e-09 | 1.609570e-09 | 5.445026e-09 | 6.194268e-09 | 2.409350e-09 | 9.313866e-09 | 0.02 | 4.536000 | 4.556000 |  
GRB250424A   |   1306404    | 9.493798e-09 | 7.355462e-09 | 1.162974e-08 | 2.274888e-08 | 1.889731e-08 | 2.701780e-08 | 2.883168e-08 | 2.325198e-08 | 3.399618e-08 | 1.205563e-08 | 4.545274e-09 | 2.113490e-08 | 1.882695e-08 | 5.213028e-09 | 6.160416e-08 | 7.312738e-08 | 6.101968e-08 | 8.528840e-08 | 7.990244e-08 | 6.223002e-08 | 1.213724e-07 | 0.02 | -14.300000 | -14.280000 |  
GRB250331C   |   1299967    | 2.673498e-10 | 3.369458e-11 | 5.119058e-10 | 8.724890e-10 | 4.739254e-10 | 1.312019e-09 | 1.455359e-09 | 4.617108e-10 | 2.469960e-09 | 7.050176e-10 | 1.003783e-10 | 2.000000e-02 | 1.108766e-09 | 1.570001e-11 | 1.236716e-08 | 3.300198e-09 | 1.527320e-09 | 5.318510e-09 | 3.706722e-09 | 1.531899e-09 | 1.058571e-08 | 0.02 | 30.824000 | 30.844000 |  
