#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 4.874948e-08 | 1.418176e-08 | 8.466229e-08 | 1.537482e-07 | 8.907175e-08 | 2.246053e-07 | 2.750553e-07 | 1.629784e-07 | 3.987402e-07 | 1.610164e-07 | 2.980300e-08 | 3.181559e-07 | 2.953589e-07 | 3.261745e-08 | 1.388066e-06 | 6.385722e-07 | 3.985474e-07 | 8.777281e-07 | 7.730009e-07 | 4.113675e-07 | 2.176857e-06 | 0.02 | 0.856000 | 0.876000 |  
GRB250603A   |   1320335    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.02 | 0.864000 | 0.884000 |  
GRB250530C   |   1319125    | 1.503142e-08 | 1.850206e-09 | 3.193964e-08 | 4.667239e-08 | 2.132898e-08 | 7.495835e-08 | 5.666436e-08 | 1.302117e-08 | 1.028537e-07 | 1.496580e-08 | 1.080438e-11 | 5.590749e-08 | 1.839162e-08 | 1.648618e-10 | 1.856864e-07 | 1.333214e-07 | 6.278848e-08 | 2.104118e-07 | 1.369840e-07 | 6.350530e-08 | 3.178703e-07 | 0.02 | -24.720000 | -24.700000 |  
GRB250520A   |   1315630    | 2.610418e-08 | N/A | N/A | 1.095166e-07 | N/A | N/A | 3.574045e-07 | N/A | N/A | 4.679937e-07 | N/A | N/A | 2.502592e-06 | N/A | N/A | 9.610146e-07 | N/A | N/A | 2.920653e-06 | N/A | N/A | 0.02 | 0.108000 | 0.128000 |  
GRB250516A   |   1314210    | 3.601140e-08 | 1.278792e-12 | 6.777039e-08 | 4.893392e-08 | 5.244451e-13 | 7.756396e-08 | 5.131685e-08 | 4.430982e-17 | 6.935216e-08 | 3.308187e-08 | 1.234412e-10 | 5.893863e-08 | 1.233048e-07 | 1.030623e-11 | 1.996135e-07 | 1.694611e-07 | N/A | N/A | 2.595972e-07 | 4.906367e-10 | 4.626260e-07 | 0.02 | 5.776000 | 5.796000 |  
GRB250509A   |   1311764    | 1.780533e-08 | 2.446302e-09 | 3.689946e-08 | 7.535117e-08 | 4.723131e-08 | 1.065025e-07 | 1.410100e-07 | 8.430629e-08 | 1.995262e-07 | 6.137479e-08 | 2.402481e-09 | 1.538969e-07 | 8.590729e-08 | 2.432652e-09 | 1.800653e-06 | 2.955425e-07 | 1.774557e-07 | 4.191795e-07 | 3.200737e-07 | 1.776070e-07 | 9.459540e-07 | 0.02 | 0.976000 | 0.996000 |  
GRB250504A   |   1310284    | 2.462124e-08 | 1.337981e-08 | 4.216480e-08 | 5.866512e-08 | 3.200148e-08 | 9.445827e-08 | 1.163697e-07 | 5.197326e-08 | 1.841026e-07 | 1.175574e-07 | 1.795106e-08 | 2.194068e-07 | 5.797490e-07 | 7.951883e-08 | 1.000000e+00 | 3.205162e-07 | 1.573802e-07 | 4.221240e-07 | 7.119836e-07 | 1.674364e-07 | 2.219883e-06 | 0.02 | 0.528000 | 0.548000 |  
GRB250430A   |   1308754    | 4.018926e-08 | 1.539111e-08 | 6.273357e-08 | 5.642739e-08 | 2.177409e-08 | 8.266088e-08 | 6.122658e-08 | 2.598185e-08 | 8.242140e-08 | 4.037012e-08 | 2.802851e-12 | 6.078270e-08 | 1.519952e-07 | 6.094948e-08 | 2.198568e-07 | 1.982166e-07 | 8.047852e-08 | 2.722513e-07 | 3.097134e-07 | 1.204675e-07 | 4.656933e-07 | 0.02 | 4.536000 | 4.556000 |  
GRB250424A   |   1306404    | 4.746899e-07 | 3.677731e-07 | 5.814870e-07 | 1.137444e-06 | 9.448655e-07 | 1.350890e-06 | 1.441584e-06 | 1.162599e-06 | 1.699809e-06 | 6.027816e-07 | 2.272637e-07 | 1.056745e-06 | 9.413476e-07 | 2.606514e-07 | 3.080208e-06 | 3.656369e-06 | 3.050984e-06 | 4.264420e-06 | 3.995122e-06 | 3.111501e-06 | 6.068621e-06 | 0.02 | -14.300000 | -14.280000 |  
GRB250331C   |   1299967    | 1.336749e-08 | 1.684729e-09 | 2.559529e-08 | 4.362445e-08 | 2.369627e-08 | 6.560093e-08 | 7.276793e-08 | 2.308554e-08 | 1.234980e-07 | 3.525088e-08 | 5.018917e-09 | 1.000000e+00 | 5.543831e-08 | 7.850006e-10 | 6.183580e-07 | 1.650099e-07 | 7.636599e-08 | 2.659255e-07 | 1.853361e-07 | 7.659493e-08 | 5.292855e-07 | 0.02 | 30.824000 | 30.844000 |  
GRB250331B   |   1299965    | 2.750743e-08 | 5.914935e-09 | 5.243243e-08 | 5.105285e-08 | 2.017298e-08 | 1.256464e-07 | 7.423864e-08 | 1.243369e-11 | 7.758540e-08 | 5.906769e-08 | 1.768846e-08 | 1.122251e-07 | 2.338945e-07 | N/A | N/A | 2.124320e-07 | 1.064682e-07 | 3.163589e-07 | 3.777113e-07 | 8.897746e-08 | 1.065590e-06 | 0.02 | 3.148000 | 3.168000 |  
