#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 1.120186e-09 | 5.272298e-10 | 1.770109e-09 | 2.583866e-09 | 1.581175e-09 | 3.548950e-09 | 4.722478e-09 | 2.921662e-09 | 6.487988e-09 | 4.410928e-09 | 2.249314e-09 | 6.862304e-09 | 2.058590e-08 | 8.503936e-09 | 3.962142e-08 | 1.283749e-08 | 8.182764e-09 | 1.751661e-08 | 2.901082e-08 | 1.490562e-08 | 4.858810e-08 | 0.02 | 0.856000 | 0.876000 |  
GRB250603A   |   1320335    | 5.461978e-10 | 1.630797e-10 | 9.278548e-10 | 7.667434e-10 | 3.014324e-10 | 1.205563e-09 | 7.973886e-10 | 1.450875e-10 | 1.610423e-09 | 4.811162e-10 | 4.425170e-11 | 1.447705e-09 | 1.522895e-09 | 9.005544e-11 | 7.205432e-09 | 2.591434e-09 | 1.255220e-09 | 4.526682e-09 | 3.633206e-09 | 9.684340e-10 | 9.608376e-09 | 0.02 | 0.864000 | 0.884000 |  
GRB250530C   |   1319125    | 4.010422e-10 | 1.472550e-10 | 6.758340e-10 | 6.885096e-10 | 3.355366e-10 | 1.040735e-09 | 9.013844e-10 | 3.040956e-10 | 1.504631e-09 | 6.514484e-10 | 1.434795e-10 | 1.342827e-09 | 2.394252e-09 | 3.752580e-10 | 6.482462e-09 | 2.642348e-09 | 1.144142e-09 | 4.188128e-09 | 4.385812e-09 | 1.430935e-09 | 8.849934e-09 | 0.02 | -24.720000 | -24.700000 |  
GRB250520A   |   1315630    | 5.635078e-10 | N/A | N/A | 2.150304e-09 | N/A | N/A | 6.869576e-09 | N/A | N/A | 9.727248e-09 | N/A | N/A | 7.159786e-08 | N/A | N/A | 1.931079e-08 | N/A | N/A | 8.118392e-08 | N/A | N/A | 0.02 | 0.108000 | 0.128000 |  
GRB250516A   |   1314210    | 1.053780e-09 | 5.148728e-10 | 1.684418e-09 | 2.420082e-09 | 1.600590e-09 | 3.198968e-09 | 4.401392e-09 | 2.725838e-09 | 6.021850e-09 | 4.095624e-09 | 1.949351e-09 | 6.793914e-09 | 1.904364e-08 | 6.968030e-09 | 4.163610e-08 | 1.197099e-08 | 7.862306e-09 | 1.623192e-08 | 2.691906e-08 | 1.323732e-08 | 4.989074e-08 | 0.02 | 5.776000 | 5.796000 |  
GRB250509A   |   1311764    | 5.387534e-10 | 2.765540e-10 | 8.384940e-10 | 1.278969e-09 | 8.394020e-10 | 1.707222e-09 | 2.414294e-09 | 1.548959e-09 | 3.267382e-09 | 2.310948e-09 | 1.209706e-09 | 3.613848e-09 | 1.105249e-08 | 4.646222e-09 | 2.158390e-08 | 6.542896e-09 | 4.330320e-09 | 8.807244e-09 | 1.528340e-08 | 7.983990e-09 | 2.613304e-08 | 0.02 | 0.976000 | 0.996000 |  
GRB250504A   |   1310284    | 4.855680e-10 | 1.719610e-10 | 8.311702e-10 | 1.195474e-09 | 6.602220e-10 | 1.684651e-09 | 2.350444e-09 | 1.219663e-09 | 3.460988e-09 | 2.320224e-09 | 8.784358e-10 | 4.346102e-09 | 1.144906e-08 | 3.153406e-09 | 3.174168e-08 | 6.351700e-09 | 3.511074e-09 | 9.374324e-09 | 1.548068e-08 | 5.945658e-09 | 3.581046e-08 | 0.02 | 0.528000 | 0.548000 |  
GRB250430A   |   1308754    | 8.404076e-10 | 4.231068e-10 | 1.303647e-09 | 1.554855e-09 | 1.028750e-09 | 2.069618e-09 | 2.216052e-09 | 1.165279e-09 | 3.211220e-09 | 1.710567e-09 | 6.481268e-10 | 3.046492e-09 | 6.663924e-09 | 1.907831e-09 | 1.530383e-08 | 6.321934e-09 | 3.883112e-09 | 8.795084e-09 | 1.127535e-08 | 5.294440e-09 | 2.036480e-08 | 0.02 | 4.536000 | 4.556000 |  
GRB250424A   |   1306404    | 1.023694e-08 | 8.325686e-09 | 1.219242e-08 | 1.916329e-08 | 1.669591e-08 | 2.161772e-08 | 2.767834e-08 | 2.330988e-08 | 3.202358e-08 | 2.158688e-08 | 1.680893e-08 | 2.675346e-08 | 8.488676e-08 | 6.107452e-08 | 1.138413e-07 | 7.866472e-08 | 6.777820e-08 | 8.962104e-08 | 1.419580e-07 | 1.134854e-07 | 1.743733e-07 | 0.02 | -14.300000 | -14.280000 |  
GRB250331C   |   1299967    | 3.266780e-10 | 1.384522e-10 | 5.386790e-10 | 7.349876e-10 | 4.194692e-10 | 1.047490e-09 | 1.306291e-09 | 5.767798e-10 | 2.042726e-09 | 1.194428e-09 | 3.697260e-10 | 2.316328e-09 | 5.458458e-09 | 1.210124e-09 | 1.432056e-08 | 3.562378e-09 | 1.757478e-09 | 5.504654e-09 | 7.828886e-09 | 2.667842e-09 | 1.705493e-08 | 0.02 | 30.824000 | 30.844000 |  
