#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 5.600928e-08 | 2.636149e-08 | 8.850545e-08 | 1.291933e-07 | 7.905876e-08 | 1.774475e-07 | 2.361239e-07 | 1.460831e-07 | 3.243994e-07 | 2.205464e-07 | 1.124657e-07 | 3.431152e-07 | 1.029295e-06 | 4.251968e-07 | 1.981071e-06 | 6.418743e-07 | 4.091382e-07 | 8.758304e-07 | 1.450541e-06 | 7.452809e-07 | 2.429405e-06 | 0.02 | 0.856000 | 0.876000 |  
GRB250603A   |   1320335    | 2.730989e-08 | 8.153987e-09 | 4.639274e-08 | 3.833717e-08 | 1.507162e-08 | 6.027816e-08 | 3.986943e-08 | 7.254375e-09 | 8.052116e-08 | 2.405581e-08 | 2.212585e-09 | 7.238524e-08 | 7.614476e-08 | 4.502772e-09 | 3.602716e-07 | 1.295717e-07 | 6.276102e-08 | 2.263341e-07 | 1.816603e-07 | 4.842170e-08 | 4.804188e-07 | 0.02 | 0.864000 | 0.884000 |  
GRB250530C   |   1319125    | 2.005211e-08 | 7.362749e-09 | 3.379170e-08 | 3.442548e-08 | 1.677683e-08 | 5.203673e-08 | 4.506922e-08 | 1.520478e-08 | 7.523155e-08 | 3.257242e-08 | 7.173977e-09 | 6.714134e-08 | 1.197126e-07 | 1.876290e-08 | 3.241231e-07 | 1.321174e-07 | 5.720711e-08 | 2.094064e-07 | 2.192906e-07 | 7.154676e-08 | 4.424967e-07 | 0.02 | -24.720000 | -24.700000 |  
GRB250520A   |   1315630    | 2.817539e-08 | N/A | N/A | 1.075152e-07 | N/A | N/A | 3.434788e-07 | N/A | N/A | 4.863624e-07 | N/A | N/A | 3.579893e-06 | N/A | N/A | 9.655394e-07 | N/A | N/A | 4.059196e-06 | N/A | N/A | 0.02 | 0.108000 | 0.128000 |  
GRB250516A   |   1314210    | 5.268901e-08 | 2.574364e-08 | 8.422092e-08 | 1.210041e-07 | 8.002948e-08 | 1.599484e-07 | 2.200696e-07 | 1.362919e-07 | 3.010925e-07 | 2.047812e-07 | 9.746754e-08 | 3.396957e-07 | 9.521821e-07 | 3.484015e-07 | 2.081805e-06 | 5.985494e-07 | 3.931153e-07 | 8.115962e-07 | 1.345953e-06 | 6.618659e-07 | 2.494537e-06 | 0.02 | 5.776000 | 5.796000 |  
GRB250509A   |   1311764    | 2.693767e-08 | 1.382770e-08 | 4.192470e-08 | 6.394845e-08 | 4.197010e-08 | 8.536110e-08 | 1.207147e-07 | 7.744796e-08 | 1.633691e-07 | 1.155474e-07 | 6.048532e-08 | 1.806924e-07 | 5.526243e-07 | 2.323111e-07 | 1.079195e-06 | 3.271448e-07 | 2.165160e-07 | 4.403622e-07 | 7.641700e-07 | 3.991995e-07 | 1.306652e-06 | 0.02 | 0.976000 | 0.996000 |  
GRB250504A   |   1310284    | 2.427840e-08 | 8.598051e-09 | 4.155851e-08 | 5.977368e-08 | 3.301110e-08 | 8.423256e-08 | 1.175222e-07 | 6.098317e-08 | 1.730494e-07 | 1.160112e-07 | 4.392179e-08 | 2.173051e-07 | 5.724532e-07 | 1.576703e-07 | 1.587084e-06 | 3.175850e-07 | 1.755537e-07 | 4.687162e-07 | 7.740339e-07 | 2.972829e-07 | 1.790523e-06 | 0.02 | 0.528000 | 0.548000 |  
GRB250430A   |   1308754    | 4.202038e-08 | 2.115534e-08 | 6.518235e-08 | 7.774277e-08 | 5.143752e-08 | 1.034809e-07 | 1.108026e-07 | 5.826396e-08 | 1.605610e-07 | 8.552833e-08 | 3.240634e-08 | 1.523246e-07 | 3.331962e-07 | 9.539157e-08 | 7.651913e-07 | 3.160967e-07 | 1.941556e-07 | 4.397542e-07 | 5.637675e-07 | 2.647220e-07 | 1.018240e-06 | 0.02 | 4.536000 | 4.556000 |  
GRB250424A   |   1306404    | 5.118468e-07 | 4.162843e-07 | 6.096211e-07 | 9.581643e-07 | 8.347953e-07 | 1.080886e-06 | 1.383917e-06 | 1.165494e-06 | 1.601179e-06 | 1.079344e-06 | 8.404464e-07 | 1.337673e-06 | 4.244338e-06 | 3.053726e-06 | 5.692067e-06 | 3.933236e-06 | 3.388910e-06 | 4.481052e-06 | 7.097902e-06 | 5.674270e-06 | 8.718665e-06 | 0.02 | -14.300000 | -14.280000 |  
GRB250331C   |   1299967    | 1.633390e-08 | 6.922612e-09 | 2.693395e-08 | 3.674938e-08 | 2.097346e-08 | 5.237451e-08 | 6.531456e-08 | 2.883899e-08 | 1.021363e-07 | 5.972140e-08 | 1.848630e-08 | 1.158164e-07 | 2.729229e-07 | 6.050622e-08 | 7.160280e-07 | 1.781189e-07 | 8.787392e-08 | 2.752327e-07 | 3.914443e-07 | 1.333921e-07 | 8.527466e-07 | 0.02 | 30.824000 | 30.844000 |  
GRB250331B   |   1299965    | 2.732310e-08 | 6.011737e-09 | 5.233955e-08 | 5.145766e-08 | 2.022879e-08 | 7.932864e-08 | 7.483246e-08 | 3.278838e-08 | 1.150853e-07 | 5.867053e-08 | 1.762301e-08 | 1.120908e-07 | 2.318142e-07 | 5.000576e-08 | 6.662236e-07 | 2.122805e-07 | 1.068833e-07 | 3.178777e-07 | 3.854251e-07 | 1.491248e-07 | 7.971866e-07 | 0.02 | 3.148000 | 3.168000 |  
GRB250330A   |   1299776    | 5.769126e-08 | 3.565414e-08 | 8.082394e-08 | 1.037600e-07 | 7.688117e-08 | 1.305900e-07 | 1.432188e-07 | 8.822263e-08 | 1.999862e-07 | 1.078400e-07 | 5.253031e-08 | 1.820120e-07 | 4.109037e-07 | 1.629709e-07 | 8.553424e-07 | 4.125057e-07 | 2.826767e-07 | 5.503513e-07 | 7.155500e-07 | 4.019389e-07 | 1.197016e-06 | 0.02 | 0.632000 | 0.652000 |  
GRB250327A   |   1299088    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250322A   |   1297832    | 3.820850e-08 | 2.140523e-08 | 5.797223e-08 | 1.475571e-07 | 1.042485e-07 | 1.889557e-07 | 4.776392e-07 | 3.835836e-07 | 5.709131e-07 | 6.828416e-07 | 4.899593e-07 | 8.908201e-07 | 5.084052e-06 | 3.042986e-06 | 8.159621e-06 | 1.346232e-06 | 1.061280e-06 | 1.632977e-06 | 5.747513e-06 | 3.653339e-06 | 8.816171e-06 | 0.02 | 0.000000 | 0.020000 |  
GRB250321A   |   1297508    | 9.888263e-08 | 3.950026e-08 | 1.581831e-07 | 6.638959e-08 | 1.558799e-08 | 1.170874e-07 | 2.902285e-08 | 2.042914e-09 | 7.538414e-08 | 8.690205e-09 | 2.073481e-10 | 3.421133e-08 | 1.763518e-08 | 2.879122e-10 | 9.022357e-08 | 2.038966e-07 | 7.119508e-08 | 3.487386e-07 | 2.145656e-07 | 7.153359e-08 | 3.855671e-07 | 0.02 | 0.384000 | 0.404000 |  
GRB250312A   |   1294765    | 2.126718e-08 | 2.628996e-09 | 4.696453e-08 | 5.989768e-08 | 1.585258e-08 | 9.942372e-08 | 1.368233e-07 | 7.144799e-08 | 2.017205e-07 | 1.511889e-07 | 5.990320e-08 | 2.538750e-07 | 8.396533e-07 | 2.355700e-07 | 2.393867e-06 | 3.691731e-07 | 1.931257e-07 | 5.451299e-07 | 1.057621e-06 | 3.925274e-07 | 2.533728e-06 | 0.02 | 1.640000 | 1.660000 |  
