## Short GRB with extended emission. The time for the short bursts and extended emissions are added by hand (for making separate spectral analyses)
## GRBname | trigid | short_pulse_start(sinceT0)/T100_start | short_pulse_stop(sinceT0)/extended_emission_start(sinceT0) | extended_emission_stop(sinceT0)/T100_stop
GRB150424A | 638946 | -0.060 (T100_start) | 0.468 (from_time_resolved) | 95.012
#GRB130716A | 561974 | 0.020 (T100_start) | 0.472 (from_time_resolved) | 106.756
GRB111121A | 508161 | -0.336 (T100_start) | 1.0 (hand_picked) | 138.264 
#GRB110402A | 450545 | -0.376 (T100_start) | 5.880 (from_time_resolved) | 62.536
GRB090916 | 362818 | -0.040 (T100_start) | 0.392 (from_time_resolved) | 68.520
GRB090715A | 357498 | -0.2 (not_T100_start) | 0.8 (hand_picked) | 48.936 | weak emission before the short pulse
GRB090531B | 353728 | 0.252 (T100_start) | 1.300 (from_time_resolved) | 56.132
GRB080503 | 310785 | -2.192 (T100_start) | 0.6 (hand_picked) | 221.808 
GRB071227 | 299787 | -0.144 (T100_start) | 0.908 (from_time_resolved)  | 150.552
GRB070714B | 284856 | -0.792 (T100_start) | 1.976 (from_time_resolved) | 74.640
GRB061210 | 243690 | -0.004 (T100_start) | 0.080 (from_time_resolved) | 89.392 
GRB061006 | 232585 | -23.288 (T100_start) | -22.0 (hand_picked) | 137.720
GRB051227 | 174738 | -0.848 (T100_start) | 0.828 (from_time_resolved) | 122.732 
GRB050724 | 147478 | -0.024 (T100_start) | 0.416 (from_time_resolved) | 107.140
