## List of ultra-long GRBs (original location: /local/data/batevent/summary/summary_GRBlist)
## Note1: the reference "our list" == the list from search criterion with 4.3 sigma in image 9 (14-195 keV) of the survey data
##       this list is at: /local/data/bat1/alien/Swift_3rdBATcatalog/survey/scripts/GRBdetections/GRB_detections_4.3snr_image9.txt
## Note2: the reference papers are the one classified the GRB as ultra-long burst.
## GRBname | reference | other omments
GRB170714A | Many GCNs | emission clearly lasts over 1000 s in the BAT event and survey data.
GRB130925A | Evans et al. 2014 (arXiv:1403.4079), Luigi et al. 2014 (arXiv:1405.2897) and many papers | not in our list because processed survey data stop at 2013/08
GRB121027A | our list; Levan et al. 2013 (arXiv:1302.2352) | T90 = 80s
GRB111215A | our list; online catalog (http://www.astro.caltech.edu/grbox/grbox.php?starttime=110101&endtime=111231) | T90 = 374s
GRB111209A | our list; Virgili et al. 2013; Boer et al. 2015 (arXiv: 1310.4944); Laven et al. 2013 (arXiv:1302.2352) | T90 = 733s
#GRB110709B | Zhang et al. 2012 (arXiv:1111.2922); Virgili et al. 2013(arXiv:1310.0313) | Zhang did not call it ultra-long, but Virgili did when citing Zhang's paper; T90 > 259s; triggered twice; we have a detection of this burst in survey data, but it is in between the 1st and 2nd triggers. (BAT T90/T100 is less than 1000 s, so don't count this as an ultra-long burst.)
GRB101225A | our list;  Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944); Levan et al. 2013 (arXiv:1302.2352) | T90 > 1377s
GRB101024A | our list | T90 = 18.7s
GRB100728A | our list | T90 = 193s
GRB100316D | our list;  Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944v1) | T90 = 522s
GRB091127  | our list | related to SN2009nz; lots of paper | T90 = 7.42s
GRB091024A | Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944) and many papers | not on our list because no data until ~T+3000s (possibly due to Earth constraint); T90 = 112s
GRB090417B | our list;  Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944) | T90 = 267s
GRB090404  | our list | T90 = 82s
GRB090309A  | our list | this one is listed as a short-ish burst on the wiki page (maybe the detection is not real?) | T90 = 3.0
GRB080407  | Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944) | triggered by IPN, not BAT
GRB080319B | our list | Naked-eye burst, though no one really called it ultra-long burst; T90 = 125s
GRB070518  | our list | T90 = 5.5s
GRB070419B | our list | T90 = 238s
GRB060218  | our list;  Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944) | related to SN2006aj; T90 > length of event data
GRB060814B | Virgili et al. 2013 (arXiv: 1310.0313); Boer et al. 2015 (arXiv: 1310.4944) | triggered by Konus-Wind, not BAT
#GRB050730  | our list | T90=155s | duration including survey data is less than 1000 s, hend doesn't count as ultra-long GRB
