#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 2.954920e-01 | 2.748810e-01 | 3.165170e-01 | 2.721200e-01 | 2.635660e-01 | 2.807260e-01 | 1.570660e-01 | 1.514460e-01 | 1.627300e-01 | 5.120500e-02 | 4.603880e-02 | 5.640910e-02 | 9.488880e-02 | 7.690860e-02 | 1.179530e-01 | 7.758830e-01 | 7.492550e-01 | 8.026470e-01 | 8.195660e-01 | 7.846700e-01 | 8.573200e-01 | 216.8 | -100.284000 | 116.504000 |  
GRB250603A   |   1320335    | 6.760730e-02 | 4.754760e-02 | 8.816390e-02 | 6.463210e-02 | 5.191610e-02 | 8.050580e-02 | 3.535040e-02 | 2.417000e-02 | 4.515900e-02 | 9.576410e-03 | 1.663380e-03 | 1.602690e-02 | 1.504740e-02 | 0.000000e+00 | 3.523960e-02 | 1.771640e-01 | 1.447760e-01 | 2.094700e-01 | 1.826260e-01 | 1.462780e-01 | 2.239650e-01 | 29.66 | -13.864000 | 15.800000 |  
GRB250530C   |   1319125    | 3.623080e-02 | 2.721650e-02 | 4.097520e-02 | 3.968830e-02 | 3.427430e-02 | 4.525260e-02 | 3.140240e-02 | 2.692640e-02 | 3.625850e-02 | 1.540550e-02 | 1.080400e-02 | 1.922180e-02 | 4.365480e-02 | 1.993060e-02 | 6.085810e-02 | 1.226540e-01 | 1.057950e-01 | 1.384620e-01 | 1.485230e-01 | 1.216020e-01 | 1.662610e-01 | 87.7 | -29.736000 | 57.960000 |  
GRB250520A   |   1315630    | 4.084860e-01 | 2.327950e-01 | 5.160040e-01 | 7.415560e-01 | 5.964190e-01 | 8.813850e-01 | 1.019870e+00 | 9.037690e-01 | 1.172660e+00 | 7.678340e-01 | 6.081060e-01 | 8.827990e-01 | 2.815090e+00 | 1.385220e+00 | 3.421880e+00 | 2.929790e+00 | 2.562580e+00 | 3.254220e+00 | 4.718480e+00 | 3.466870e+00 | 6.011470e+00 | 0.56 | -0.328000 | 0.232000 |  
GRB250516A   |   1314210    | 2.905760e-01 | N/A | N/A | 2.612350e-01 | 2.483190e-01 | 2.756470e-01 | 1.619630e-01 | 1.524070e-01 | 1.718880e-01 | 6.496260e-02 | 5.983520e-02 | 7.222230e-02 | 1.527660e-01 | 1.458140e-01 | 1.724930e-01 | 7.795320e-01 | 7.402660e-01 | 8.174480e-01 | 8.702510e-01 | 8.058260e-01 | 9.069220e-01 | 42.66 | -19.960000 | 22.696000 |  
GRB250509A   |   1311764    | 1.452560e-01 | 1.313590e-01 | 1.593530e-01 | 1.486440e-01 | 1.412790e-01 | 1.561050e-01 | 1.017820e-01 | 9.603270e-02 | 1.076000e-01 | 4.088330e-02 | 3.487750e-02 | 4.573550e-02 | 8.960380e-02 | 6.347320e-02 | 1.146740e-01 | 4.365650e-01 | 4.162270e-01 | 4.569110e-01 | 4.852860e-01 | 4.504190e-01 | 5.187930e-01 | 74.31 | -2.848000 | 71.464000 |  
GRB250504A   |   1310284    | 1.299780e-01 | 1.144530e-01 | 1.420010e-01 | 1.557370e-01 | 1.513110e-01 | 1.647050e-01 | 1.303190e-01 | 1.229820e-01 | 1.380010e-01 | 6.310720e-02 | 5.528640e-02 | 6.852870e-02 | 1.592900e-01 | 1.131070e-01 | 1.838190e-01 | 4.791410e-01 | 4.548360e-01 | 5.034680e-01 | 5.753250e-01 | 5.211080e-01 | 6.137690e-01 | 55.96 | -2.956000 | 53.004000 |  
GRB250430A   |   1308754    | 2.057740e-02 | 1.305710e-02 | 2.832870e-02 | 2.245400e-02 | 1.797830e-02 | 2.716800e-02 | 1.044250e-02 | 7.093980e-03 | 1.369590e-02 | 1.543240e-03 | 0.000000e+00 | 3.919360e-03 | 1.847370e-03 | 0.000000e+00 | 7.642510e-03 | 5.501710e-02 | 4.437230e-02 | 6.569590e-02 | 5.532060e-02 | 4.445890e-02 | 6.671320e-02 | 234.1 | -0.068000 | 234.016000 |  
GRB250424A   |   1306404    | 3.190930e+00 | 3.041410e+00 | 3.343450e+00 | 2.895730e+00 | 2.839430e+00 | 2.951980e+00 | 1.713380e+00 | 1.681990e+00 | 1.744880e+00 | 6.053880e-01 | 5.863100e-01 | 6.243530e-01 | 1.229670e+00 | 1.136230e+00 | 1.333040e+00 | 8.405430e+00 | 8.214320e+00 | 8.598260e+00 | 9.029710e+00 | 8.794860e+00 | 9.270920e+00 | 55.93 | -38.748000 | 17.180000 |  
GRB250331C   |   1299967    | 5.074310e-02 | 4.011000e-02 | 6.129290e-02 | 4.810040e-02 | 4.014300e-02 | 5.663510e-02 | 2.231750e-02 | 1.566660e-02 | 2.796520e-02 | 4.179690e-03 | 8.854010e-04 | 9.717260e-03 | 5.475470e-03 | 0.000000e+00 | 2.092050e-02 | 1.253370e-01 | 1.086250e-01 | 1.420730e-01 | 1.266360e-01 | 1.089830e-01 | 1.487950e-01 | 79.26 | -12.588000 | 66.668000 |  
