#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 9.768548e-09 | 9.288381e-09 | 1.025817e-08 | 1.497166e-08 | 1.454421e-08 | 1.539856e-08 | 1.722027e-08 | 1.662532e-08 | 1.781435e-08 | 1.124786e-08 | 1.062087e-08 | 1.188968e-08 | 3.794635e-08 | 3.510023e-08 | 4.094775e-08 | 5.320838e-08 | 5.178333e-08 | 5.463488e-08 | 7.990611e-08 | 7.667257e-08 | 8.324919e-08 | 216.8 | -100.284000 | 116.504000 |  
GRB250603A   |   1320335    | 2.186603e-09 | 1.633729e-09 | 2.762485e-09 | 3.385790e-09 | 2.792801e-09 | 3.978048e-09 | 3.940216e-09 | 2.908908e-09 | 4.984252e-09 | 2.597407e-09 | 1.648656e-09 | 3.727348e-09 | 8.829782e-09 | 4.935487e-09 | 1.434597e-08 | 1.210988e-08 | 9.672305e-09 | 1.460058e-08 | 1.834172e-08 | 1.321448e-08 | 2.470871e-08 | 29.66 | -13.864000 | 15.800000 |  
GRB250530C   |   1319125    | 1.111885e-09 | 8.698813e-10 | 1.367981e-09 | 2.262924e-09 | 1.959882e-09 | 2.560413e-09 | 3.592609e-09 | 3.047404e-09 | 4.130190e-09 | 3.013422e-09 | 2.327180e-09 | 3.765130e-09 | 1.267389e-08 | 8.878713e-09 | 1.749847e-08 | 9.980907e-09 | 8.648086e-09 | 1.132557e-08 | 1.964129e-08 | 1.541629e-08 | 2.472407e-08 | 87.7 | -29.736000 | 57.960000 |  
GRB250520A   |   1315630    | 1.320231e-08 | 9.496203e-09 | 1.744094e-08 | 4.370086e-08 | 3.591203e-08 | 5.142686e-08 | 1.193878e-07 | 1.061769e-07 | 1.325684e-07 | 1.506885e-07 | 1.256204e-07 | 1.768072e-07 | 9.697728e-07 | 7.244526e-07 | 1.279676e-06 | 3.269791e-07 | 2.894076e-07 | 3.646448e-07 | 1.146067e-06 | 8.973461e-07 | 1.454220e-06 | 0.56 | -0.328000 | 0.232000 |  
GRB250516A   |   1314210    | 8.980903e-09 | 8.258288e-09 | 9.722098e-09 | 1.470212e-08 | 1.399072e-08 | 1.541133e-08 | 1.823182e-08 | 1.709740e-08 | 1.936333e-08 | 1.263136e-08 | 1.140407e-08 | 1.390881e-08 | 4.476515e-08 | 3.899510e-08 | 5.108931e-08 | 5.454689e-08 | 5.186089e-08 | 5.724137e-08 | 8.668022e-08 | 8.002027e-08 | 9.375188e-08 | 42.66 | -19.960000 | 22.696000 |  
GRB250509A   |   1311764    | 4.644404e-09 | 4.300510e-09 | 4.996892e-09 | 8.304051e-09 | 7.939991e-09 | 8.666824e-09 | 1.138492e-08 | 1.075573e-08 | 1.201324e-08 | 8.528252e-09 | 7.787355e-09 | 9.297796e-09 | 3.234447e-08 | 2.855617e-08 | 3.647623e-08 | 3.286170e-08 | 3.136895e-08 | 3.436212e-08 | 5.667872e-08 | 5.242640e-08 | 6.120685e-08 | 74.31 | -2.848000 | 71.464000 |  
GRB250504A   |   1310284    | 4.167446e-09 | 3.796033e-09 | 4.550928e-09 | 8.849118e-09 | 8.382817e-09 | 9.312580e-09 | 1.473669e-08 | 1.396819e-08 | 1.550244e-08 | 1.282212e-08 | 1.176495e-08 | 1.391362e-08 | 5.583802e-08 | 4.935828e-08 | 6.292019e-08 | 4.057514e-08 | 3.864826e-08 | 4.250891e-08 | 8.359109e-08 | 7.668139e-08 | 9.100390e-08 | 55.96 | -2.956000 | 53.004000 |  
GRB250430A   |   1308754    | 7.614651e-10 | 5.741826e-10 | 9.582967e-10 | 1.084526e-09 | 8.952205e-10 | 1.273679e-09 | 1.146806e-09 | 8.349491e-10 | 1.466459e-09 | 7.011001e-10 | 4.352913e-10 | 1.023034e-09 | 2.242436e-09 | 1.226281e-09 | 3.697175e-09 | 3.693856e-09 | 2.958217e-09 | 4.448566e-09 | 5.235281e-09 | 3.827454e-09 | 6.971882e-09 | 234.1 | -0.068000 | 234.016000 |  
GRB250424A   |   1306404    | 1.054120e-07 | 1.021480e-07 | 1.087201e-07 | 1.621698e-07 | 1.591879e-07 | 1.651467e-07 | 1.873312e-07 | 1.845185e-07 | 1.901385e-07 | 1.227722e-07 | 1.197898e-07 | 1.257766e-07 | 4.153555e-07 | 4.011160e-07 | 4.299223e-07 | 5.776835e-07 | 5.696131e-07 | 5.857469e-07 | 8.702620e-07 | 8.551061e-07 | 8.855845e-07 | 55.93 | -38.748000 | 17.180000 |  
GRB250331C   |   1299967    | 1.657258e-09 | 1.372587e-09 | 1.948139e-09 | 2.413182e-09 | 2.109017e-09 | 2.716877e-09 | 2.617460e-09 | 2.073337e-09 | 3.175046e-09 | 1.632563e-09 | 1.153028e-09 | 2.190484e-09 | 5.305423e-09 | 3.412558e-09 | 7.801175e-09 | 8.320511e-09 | 7.050988e-09 | 9.623432e-09 | 1.199334e-08 | 9.426490e-09 | 1.503107e-08 | 79.26 | -12.588000 | 66.668000 |  
