#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250605A   |   1321323    | 3.168940e-01 | 3.010350e-01 | 3.330830e-01 | 2.674690e-01 | 2.595870e-01 | 2.753300e-01 | 1.538220e-01 | 1.487020e-01 | 1.589270e-01 | 5.755570e-02 | 5.438180e-02 | 6.080380e-02 | 1.315880e-01 | 1.224700e-01 | 1.411380e-01 | 7.957370e-01 | 7.722040e-01 | 8.193690e-01 | 8.697690e-01 | 8.465720e-01 | 8.930130e-01 | 216.8 | -100.284000 | 116.504000 |  
GRB250603A   |   1320335    | 7.090700e-02 | 5.270600e-02 | 9.002260e-02 | 6.044560e-02 | 4.978490e-02 | 7.108370e-02 | 3.517240e-02 | 2.623320e-02 | 4.414680e-02 | 1.328820e-02 | 8.469660e-03 | 1.900270e-02 | 3.055310e-02 | 1.774080e-02 | 4.792500e-02 | 1.798120e-01 | 1.481350e-01 | 2.115110e-01 | 1.970750e-01 | 1.622970e-01 | 2.320380e-01 | 29.66 | -13.864000 | 15.800000 |  
GRB250530C   |   1319125    | 3.570700e-02 | 2.782550e-02 | 4.410050e-02 | 3.968360e-02 | 3.420640e-02 | 4.505200e-02 | 3.150070e-02 | 2.687520e-02 | 3.605310e-02 | 1.532190e-02 | 1.186410e-02 | 1.909720e-02 | 4.137680e-02 | 2.976190e-02 | 5.566450e-02 | 1.222130e-01 | 1.071490e-01 | 1.373170e-01 | 1.482680e-01 | 1.300090e-01 | 1.667520e-01 | 87.7 | -29.736000 | 57.960000 |  
GRB250520A   |   1315630    | 2.504690e-04 | 2.465340e-04 | 8.704510e-04 | 3.128350e-03 | 3.053660e-03 | 9.378210e-03 | 3.574730e-02 | 3.455580e-02 | 9.142050e-02 | 1.238120e-01 | 1.188000e-01 | 2.846230e-01 | 3.668240e+00 | 2.998750e+00 | 6.201210e+00 | 1.629220e-01 | 1.566540e-01 | 3.861960e-01 | 3.682730e+00 | 3.035100e+00 | 6.315800e+00 | 0.56 | -0.328000 | 0.232000 |  
GRB250516A   |   1314210    | 2.906570e-01 | 2.668450e-01 | 3.151200e-01 | 2.615160e-01 | 2.485240e-01 | 2.744480e-01 | 1.621540e-01 | 1.524110e-01 | 1.718460e-01 | 6.453900e-02 | 5.832780e-02 | 7.099300e-02 | 1.530680e-01 | 1.347480e-01 | 1.728960e-01 | 7.788670e-01 | 7.410240e-01 | 8.168420e-01 | 8.673960e-01 | 8.279070e-01 | 9.068870e-01 | 42.66 | -19.960000 | 22.696000 |  
GRB250509A   |   1311764    | 1.498390e-01 | 1.385420e-01 | 1.614350e-01 | 1.468580e-01 | 1.402350e-01 | 1.534510e-01 | 1.006740e-01 | 9.530610e-02 | 1.060210e-01 | 4.348850e-02 | 3.974830e-02 | 4.736770e-02 | 1.085390e-01 | 9.672820e-02 | 1.212640e-01 | 4.408590e-01 | 4.220420e-01 | 4.597100e-01 | 5.059090e-01 | 4.851680e-01 | 5.266740e-01 | 74.31 | -2.848000 | 71.464000 |  
GRB250504A   |   1310284    | 1.336320e-01 | 1.215280e-01 | 1.461540e-01 | 1.547540e-01 | 1.463030e-01 | 1.631480e-01 | 1.288600e-01 | 1.223500e-01 | 1.353380e-01 | 6.513370e-02 | 5.982000e-02 | 7.061020e-02 | 1.806740e-01 | 1.612810e-01 | 2.016000e-01 | 4.823790e-01 | 4.597410e-01 | 5.050760e-01 | 5.979190e-01 | 5.710450e-01 | 6.248910e-01 | 55.96 | -2.956000 | 53.004000 |  
GRB250430A   |   1308754    | 2.476710e-02 | 1.858070e-02 | 3.132640e-02 | 1.946860e-02 | 1.606400e-02 | 2.287130e-02 | 1.029360e-02 | 7.577630e-03 | 1.305440e-02 | 3.593560e-03 | 2.241380e-03 | 5.225180e-03 | 7.898210e-03 | 4.491620e-03 | 1.256970e-02 | 5.812230e-02 | 4.788200e-02 | 6.837810e-02 | 6.242670e-02 | 5.150000e-02 | 7.336720e-02 | 234.1 | -0.068000 | 234.016000 |  
GRB250424A   |   1306404    | 3.419100e+00 | 3.311570e+00 | 3.528210e+00 | 2.896410e+00 | 2.841160e+00 | 2.951630e+00 | 1.672920e+00 | 1.648470e+00 | 1.697360e+00 | 6.281860e-01 | 6.131010e-01 | 6.433690e-01 | 1.439170e+00 | 1.394120e+00 | 1.485100e+00 | 8.616580e+00 | 8.451710e+00 | 8.782380e+00 | 9.427580e+00 | 9.271950e+00 | 9.584060e+00 | 55.93 | -38.748000 | 17.180000 |  
GRB250331C   |   1299967    | 5.386090e-02 | 4.445650e-02 | 6.352830e-02 | 4.325720e-02 | 3.783920e-02 | 4.867250e-02 | 2.345960e-02 | 1.873110e-02 | 2.827710e-02 | 8.363610e-03 | 5.925020e-03 | 1.119460e-02 | 1.859930e-02 | 1.231330e-02 | 2.664020e-02 | 1.289410e-01 | 1.128110e-01 | 1.450710e-01 | 1.391750e-01 | 1.213710e-01 | 1.570850e-01 | 79.26 | -12.588000 | 66.668000 |  
