#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00Trid_ID000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## trigger_index: trigger criterion
## energy_band: the energy band of the trigger criterion.
## foreground_exposure: forground duration used for creating the image.
## background_exposure: background duration used for the image background substraction.
## theta: the burst incident angle (i.e., angle relative the the normal axis of the BAT detector plane).
## phi: the phi angle in the spherical coordinate centered at the center of the BAT detector plane.
## imx: the x-axis value in the special cartesian coordinate of the BAT detector plane.
## imy: the y-axis value in the special cartesian coordinate of the BAT detector plane.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | trigger_index | energy_band | foreground_exposure | background_exposure | theta | phi | imx | imy |
GRB250605A | 1321323 | 147 | 25-100 keV | 1.024 | 8. | 33.0407 | 49.1241 | 0.42565 | -0.49180 |
GRB250603A | 1320335 | 146 | 25-100 keV | 1.024 | 8. | 31.3421 | -9.8427 | 0.60005 | 0.10411 |
GRB250530C | 1319125 | 262 | 25-100 keV | 2.048 | 24. | 23.9150 | -156.5530 | -0.40684 | 0.17645 |
GRB250520A | 1315630 | 125 | 50-350 keV | 0.128 | 8. | 33.2756 | 174.4184 | -0.65316 | -0.06383 |
GRB250516A | 1314210 | 124 | 25-100 keV | 0.512 | 8. | 38.1231 | -159.7447 | -0.73622 | 0.27168 |
GRB250509A | 1311764 | 146 | 25-100 keV | 1.024 | 8. | 9.4275 | 53.9425 | 0.09773 | -0.13423 |
GRB250504A | 1310284 | 155 | 50-350 keV | 1.024 | 8. | 10.4141 | -97.6029 | -0.02432 | 0.18217 |
GRB250430A | 1308754 | 146 | 25-100 keV | 1.024 | 8. | 22.0425 | 135.4348 | -0.28846 | -0.28412 |
GRB250424A | 1306404 | 20000 | 15-50 keV | 64. | 0. | 35.1958 | 149.8799 | -0.61008 | -0.35394 |
GRB250331C | 1299967 | 20000 | 15-50 keV | 64. | 0. | 13.0893 | 159.6101 | -0.21794 | -0.08101 |
GRB250331B | 1299965 | 448 | 15-50 keV | 4.096 | 40. | 39.8255 | -179.7953 | -0.83392 | 0.00298 |
