time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
218413.0,,s,g,24.3,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
218413.0,,s,i,23.7,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
528955.6,,s,r,22.31,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN39839,,
530856.4,,s,g,22.32,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN39839,,
533275.6,,s,i,22.4,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN39839,,
534226.0,,s,z,20.51,,magnitude,AB,n,y,,,,,,,1.0,n,,SLT,GCN39839,,
559898.0,,s,g,21.9,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
559898.0,,s,i,21.6,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
610210.0,,s,i,23.5,,magnitude,AB,n,y,,,,,,,1.0,n,,Pan-STARRS,GCN39883,,
610210.0,,s,r,23.5,,magnitude,AB,n,y,,,,,,,1.0,n,,Pan-STARRS,GCN39883,,
657435.0,,s,g,24.4,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
657435.0,,s,i,23.8,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
705954.0,,s,g,23.8,,magnitude,,n,y,,,,,,,1.0,n,,GMOS-N,GCN39887,,
1018798.0,,s,g,23.0,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
1018798.0,,s,i,22.5,,magnitude,AB,n,y,,,,,,,1.0,n,,3KK/FTW,GCN39909,,
