time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
27312.5,0.0,s,Rc,18.69,0.05,mag,Vega,y,n,0.12899250315509214,18.737007496844907,0.05,0.116204581291541,0.005351418732390342,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;1949,
28877.0,0.0,s,R,18.4,0.1,mag,Vega,y,n,0.1215661222590922,18.454433877740904,0.1,0.15074839529877718,0.013884440312309522,mJy,1.0,n,ROTSE-IIIb(0.45m),CCD,Dainotti2024;1952,
33475.0,0.0,s,B,20.39,0.06,mag,Vega,y,n,0.20828572239202553,20.036714277607974,0.06,0.03510270124642194,0.0019398469587320318,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;astro-ph0403080,
34167.0,0.0,s,V,19.68,0.05,mag,Vega,y,n,0.1614501757547045,19.496549824245296,0.05,0.05773063297000403,0.0026585938977168374,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;astro-ph0403080,
34685.0,0.0,s,R,18.75,0.03,mag,Vega,y,n,0.1215661222590922,18.804433877740905,0.03,0.10920755847803364,0.0030175163543255494,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;astro-ph0403080,
35290.0,0.0,s,I,18.2,0.04,mag,Vega,y,n,0.08493309291610511,18.532066907083895,0.04,0.14034582121434422,0.005170531132674504,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;astro-ph0403080,
37710.0,0.0,s,G,19.56,0.05,mag,Vega,y,n,0.1503746077553337,19.609625392244663,0.05,0.05202068804219411,0.002395641216264996,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;1949,orig_band=CR
43949.9,0.0,s,G,19.72,0.05,mag,Vega,y,n,0.1503746077553337,19.769625392244663,0.05,0.04489273782049126,0.0020673869777830638,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;1949,orig_band=CR
49159.8,0.0,s,G,19.96,0.05,mag,Vega,y,n,0.1503746077553337,20.009625392244665,0.05,0.03598952311610225,0.0016573787886220333,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;1949,orig_band=CR
53039.9,0.0,s,G,20.42,0.05,mag,Vega,y,n,0.1503746077553337,20.469625392244666,0.05,0.02356004371923087,0.00108498010916378,mJy,1.0,n,USNO-FS(1m),SITe,Dainotti2024;1949,orig_band=CR
93091.0,0.0,s,R,20.64,0.26,mag,Vega,y,n,0.1215661222590922,20.694433877740906,0.26,0.01915370074683666,0.004586714684794842,mJy,1.0,n,2.2m,CAFOS,Dainotti2024;astro-ph0403080,
93797.0,0.0,s,Rc,20.38,0.0,mag,Vega,y,y,0.12899250315509214,20.427007496844904,,0.024503225126255506,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
94037.0,0.0,s,Rc,20.37,0.0,mag,Vega,y,y,0.12899250315509214,20.417007496844906,,0.024729950676860075,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
94277.0,0.0,s,Rc,20.57,0.0,mag,Vega,y,y,0.12899250315509214,20.617007496844906,,0.02056947703416818,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
94457.0,0.0,s,Rc,20.56,0.0,mag,Vega,y,y,0.12899250315509214,20.607007496844904,,0.02075980406182238,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
94697.0,0.0,s,Rc,20.43,0.0,mag,Vega,y,y,0.12899250315509214,20.477007496844905,,0.023400398329188193,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
95477.0,0.0,s,Rc,20.53,0.0,mag,Vega,y,y,0.12899250315509214,20.577007496844907,,0.02134141692146551,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
95717.0,0.0,s,Rc,20.55,0.0,mag,Vega,y,y,0.12899250315509214,20.597007496844906,,0.020951892163780607,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
95957.0,0.0,s,Rc,20.48,0.0,mag,Vega,y,y,0.12899250315509214,20.527007496844906,,0.022347206914323053,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
96115.0,0.0,s,R,20.56,0.08,mag,Vega,y,n,0.1215661222590922,20.614433877740904,0.08,0.02061829256624554,0.0015192119393928618,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;astro-ph0403080,
96137.0,0.0,s,Rc,20.57,0.0,mag,Vega,y,y,0.12899250315509214,20.617007496844906,,0.02056947703416818,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;1960,
96374.0,0.0,s,V,21.44,0.03,mag,Vega,y,n,0.1614501757547045,21.256549824245297,0.03,0.011413170868613863,0.0003153575652703702,mJy,1.0,n,VLT-Yepun,FORS2,Dainotti2024;astro-ph0403080,
