time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
10864.0,,s,53435.14879629629,G,15.8,,magnitude,,n,y,,,,,,,1.0,n,,ROTSE-IIIc,GCN3107,,
10927.0,,s,53435.14952546296,R,11.0,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN3073,,
11010.0,,s,53435.15048611111,R,13.0,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN3073,,
11305.0,,s,53435.15390046296,R,14.4,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN3073,,
11305.0,,s,53435.15390046296,R,14.0,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN3084,,
11480.0,,s,53435.15592592592,R,13.0,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN3073,,
13542.0,,s,53435.17979166666,R,17.5,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN3084,,
63634.0,,s,53435.759560185186,G,17.5,,magnitude,,n,y,,,,,,,1.0,n,,"30-cm telescope, University of Miyazaki",GCN3072,,
114888.0,,s,53436.35277777778,J,15.4,,magnitude,,n,y,,,,,,,1.0,n,,REMIR/REM,GCN3076,,
114888.0,,s,53436.35277777778,R,17.0,,magnitude,,n,y,,,,,,,1.0,n,,ROSS/REM,GCN3076,,
114888.0,,s,53436.35277777778,Ks,15.0,,magnitude,,n,y,,,,,,,1.0,n,,REMIR/REM,GCN3076,,
114888.0,,s,53436.35277777778,H,15.2,,magnitude,,n,y,,,,,,,1.0,n,,REMIR/REM,GCN3076,,
138341.0,,s,53436.62422453704,uvot-v,21.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN3079,,
192408.0,,s,53437.25,R,23.0,,magnitude,,n,n,,,,,,,1.0,n,,TNG,GCN3089,,
201408.0,,s,53437.354166666664,250GHz,0.26,0.55,mJy,,n,n,,,,,,,1.0,n,,MAMBO-2/IRAM 30m,GCN3091,,
725496.0,,s,53443.42,85GHz,0.056,,mJy,,n,y,,,,,,,1.0,n,,VLA,GCN3092,,
