time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
105.0,0.0,s,uvot-v,19.79,0.73,mag,Vega,y,n,0.06778627178758606,19.71221372821241,0.73,0.04733046351739145,0.03182286656397607,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
113.0,0.0,s,uvot-v,18.92,0.31,mag,Vega,y,n,0.06778627178758606,18.842213728212414,0.31,0.10547286853341065,0.030114671595243662,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
135.91000366210938,49.88500213623047,s,uvot-v,19.538097381591797,0.5371213555335999,mag,Vega,y,n,0.06778627178758606,19.46031110980421,0.5371213555335999,0.05969003107542296,0.02952907922068979,mJy,1.0,n,Swift,UVOT,"Roming et al. 2017, ApJS, 228, 13 (MAST HLSP uvotgrb, noc-db)",
138.0,0.0,s,uvot-v,19.44,0.32,mag,Vega,y,n,0.06778627178758606,19.362213728212414,0.32,0.06533422707576789,0.01925601501784974,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
140.0,0.0,s,uvot-v,19.11,0.43,mag,Vega,y,n,0.06778627178758606,19.03221372821241,0.43,0.08854025279721915,0.035065892189977806,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
163.0,0.0,s,uvot-v,19.76,0.59,mag,Vega,y,n,0.06778627178758606,19.682213728212414,0.59,0.048656487893758725,0.026440426073580926,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
173.0,0.0,s,uvot-v,18.99,0.42,mag,Vega,y,n,0.06778627178758606,18.91221372821241,0.42,0.0988873542984143,0.03825302004604911,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
225.63999938964844,4.8849945068359375,s,uvot-u,19.535171508789062,0.4462871849536896,mag,Vega,y,n,0.10774337618543169,20.44742813260363,0.4462871849536896,0.024046672901757722,0.009884281199979271,mJy,1.0,n,Swift,UVOT,"Roming et al. 2017, ApJS, 228, 13 (MAST HLSP uvotgrb, noc-db)",
226.0,0.0,s,uvot-u,18.8,0.59,mag,Vega,y,n,0.10774337618543169,19.712256623814568,0.59,0.04732859360772248,0.025718834930789556,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
240.0,0.0,s,uvot-b,20.4,1.33,mag,Vega,y,n,0.08680234239343551,20.183197657606563,1.33,0.030672359506546575,0.037572881851899484,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
270.125,1102.517,s,10keV,6.53612658596717e-08,1.28287739346168e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
314.0,0.0,s,uvot-u,19.69,1.06,mag,Vega,y,n,0.10774337618543169,20.60225662381457,1.06,0.020850842096807317,0.020356595391916046,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
329.0,0.0,s,uvot-b,20.27,0.0,mag,Vega,y,y,0.08680234239343551,20.053197657606564,,0.034573805610680006,,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
339.55999755859375,51.65501403808594,s,uvot-u,20.18229103088379,0.509711742401123,mag,Vega,y,n,0.10774337618543169,21.094547654698356,0.509711742401123,0.013249734839439788,0.006220245214046456,mJy,1.0,n,Swift,UVOT,"Roming et al. 2017, ApJS, 228, 13 (MAST HLSP uvotgrb, noc-db)",
407.0,0.0,s,uvot-u,18.56,0.5,mag,Vega,y,n,0.10774337618543169,19.472256623814566,0.5,0.05903690741857709,0.027187500591697042,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
423.0,0.0,s,uvot-b,19.52,0.66,mag,Vega,y,n,0.08680234239343551,19.303197657606564,0.66,0.06898381142004939,0.04193404930010159,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
426.04998779296875,285.37498474121094,s,uvot-b,19.57308578491211,0.5372897982597351,mag,Vega,y,n,0.08680234239343551,19.356283442518674,0.5372897982597351,0.06569205864320288,0.03250851613954976,mJy,1.0,n,Swift,UVOT,"Roming et al. 2017, ApJS, 228, 13 (MAST HLSP uvotgrb, noc-db)",
503.0,0.0,s,uvot-u,18.69,0.55,mag,Vega,y,n,0.10774337618543169,19.60225662381457,0.55,0.052374947348518996,0.026531510062430534,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
517.0,0.0,s,uvot-b,19.43,0.61,mag,Vega,y,n,0.08680234239343551,19.213197657606564,0.61,0.07494578034150914,0.0421068449297083,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
548.989990234375,51.6400146484375,s,uvot-u,20.230205535888672,0.5138269066810608,mag,Vega,y,n,0.10774337618543169,21.14246215970324,0.5138269066810608,0.012677726694010582,0.005999760404400011,mJy,1.0,n,Swift,UVOT,"Roming et al. 2017, ApJS, 228, 13 (MAST HLSP uvotgrb, noc-db)",
595.0,0.0,s,uvot-u,20.6,2.01,mag,Vega,y,n,0.10774337618543169,21.51225662381457,2.01,0.00901827759559615,0.016695342651105914,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
598.0,0.0,s,uvot-v,20.51,0.0,mag,Vega,y,y,0.06778627178758606,20.432213728212414,,0.02438601056549181,,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
641.0,0.0,s,uvot-b,19.1,0.48,mag,Vega,y,n,0.08680234239343551,18.883197657606566,0.48,0.10156572801919952,0.04490183640885053,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
691.0,0.0,s,uvot-u,19.46,0.91,mag,Vega,y,n,0.10774337618543169,20.372256623814568,0.91,0.025770544774705785,0.021599349494112626,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
706.0,0.0,s,uvot-b,20.21,1.08,mag,Vega,y,n,0.08680234239343551,19.993197657606565,1.08,0.03653820312951598,0.036345163039550744,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
785.0,0.0,s,uvot-u,19.9,1.11,mag,Vega,y,n,0.10774337618543169,20.812256623814566,1.11,0.017183973702096553,0.017567997388073058,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
801.0,0.0,s,uvot-b,19.73,0.73,mag,Vega,y,n,0.08680234239343551,19.513197657606565,0.73,0.05685218831013186,0.038224844381643995,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
879.0,0.0,s,uvot-u,20.78,2.33,mag,Vega,y,n,0.10774337618543169,21.69225662381457,2.33,0.007640532007319016,0.01639665279562007,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
891.0,0.0,s,uvot-b,21.22,2.23,mag,Vega,y,n,0.08680234239343551,21.003197657606563,2.23,0.014412761029147372,0.029602454955583432,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
973.0,0.0,s,uvot-u,20.13,0.0,mag,Vega,y,y,0.10774337618543169,21.042256623814566,,0.013903482653955466,,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
990.0,0.0,s,uvot-b,20.62,0.0,mag,Vega,y,y,0.08680234239343551,20.403197657606565,,0.025046508061019015,,mJy,1.0,n,Swift,UVOT,Dainotti2024;astro-ph0601182,
