time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
102240.0,0.0,s,G,20.0,0.0,mag,Vega,y,y,0.032351324682654066,20.167648675317345,,0.03111478316488495,,mJy,1.0,n,0.30m,CCD,Dainotti2024;3571,orig_band=CR
106560.0,0.0,s,Rc,21.6,0.0,mag,Vega,y,y,0.02775121686760076,21.7482487831324,,0.007256492248202343,,mJy,1.0,n,PROMPT-5,ApogeeAltaU47,Dainotti2024;3702,
108036.0,0.0,s,I,20.5,0.0,mag,Vega,y,y,0.01827235399810034,20.898727646001902,,0.01586847494643845,,mJy,1.0,n,Swope(1m),CISCO,Dainotti2024;astro-ph0510110,
122394.0,0.0,s,R,22.71,0.06,mag,Vega,y,n,0.02615351853827606,22.859846481461723,0.06,0.0026066796190978908,0.00014405043919550882,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;astro-ph0604153,
125994.0,0.0,s,R,22.8,0.07,mag,Vega,y,n,0.02615351853827606,22.949846481461723,0.07,0.0023993171390963757,0.00015468969257975625,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;arXiv1603.07869,
159786.0,0.0,s,uvot-v,21.64,0.0,mag,Vega,y,y,0.03533013061985919,21.59466986938014,,0.008359076526298451,,mJy,1.0,n,Swift,UVOT,Dainotti2024;3577,
206168.0,0.0,s,R,23.46,0.28,mag,Vega,y,n,0.02615351853827606,23.609846481461723,0.28,0.0013064345472482614,0.0003369157919082225,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;astro-ph0604153,
211267.0,0.0,s,R,23.55,0.25,mag,Vega,y,n,0.02615351853827606,23.699846481461723,0.25,0.0012025071195382118,0.00027688749676678956,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;arXiv1603.07869,
212121.0,0.0,s,I,23.25,0.0,mag,Vega,y,y,0.01827235399810034,23.648727646001902,,0.00126047776919709,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
212423.0,0.0,s,I,24.1,0.2,mag,Vega,y,n,0.01827235399810034,24.498727646001903,0.2,0.0005761495015720943,0.0001061306602924683,mJy,1.0,n,ANTU-VLT(8.2m),FORS2,Dainotti2024;arXiv1603.07869,
212846.0,0.0,s,V,24.38,0.1,mag,Vega,y,n,0.03473410261132832,24.323265897388673,0.1,0.000677204585200421,6.237284731158823e-05,mJy,1.0,n,ANTU-VLT(8.2m),FORS2,Dainotti2024;astro-ph0604153,
213624.0,0.0,s,R,23.83,0.07,mag,Vega,y,n,0.02615351853827606,23.97984648146172,0.07,0.0009291539047065367,5.990476604208549e-05,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
295524.0,0.0,s,R,21.05,0.15,mag,Vega,y,n,0.02615351853827606,21.199846481461723,0.15,0.012025071195382118,0.0016613249806007374,mJy,1.0,y,duPont(2.5m),WFIRC,Dainotti2024;astro-ph0510110,
377067.0,0.0,s,V,25.0,0.0,mag,Vega,y,y,0.03473410261132832,24.943265897388674,,0.0003825779096921451,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
377243.0,0.0,s,V,25.1,0.0,mag,Vega,y,y,0.03473410261132832,25.043265897388675,,0.0003489152005373634,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;arXiv1603.07869,
377724.0,0.0,s,I,24.1,0.0,mag,Vega,y,y,0.01827235399810034,24.498727646001903,,0.0005761495015720943,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
377872.0,0.0,s,I,23.6,0.0,mag,Vega,y,y,0.01827235399810034,23.998727646001903,,0.0009131354228814743,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;arXiv1603.07869,
486539.0,0.0,s,K,22.1,0.7,mag,Vega,y,n,0.003439106489651668,23.99656089351035,0.7,0.0009149595436907719,0.0005898962176786015,mJy,1.0,y,Subaru(8.2m),FOCAS,Dainotti2024;astro-ph0510110,
486743.0,0.0,s,F814W,25.08,0.02,mag,AB,y,n,0.020773829113644525,25.059226170886355,0.02,0.00034382367701218567,6.333466186453266e-06,mJy,1.0,n,HST,ACS,Dainotti2024;astro-ph0604153,
574588.0,0.0,s,R,25.4,0.0,mag,Vega,y,y,0.02615351853827606,25.54984648146172,,0.000218820323790831,,mJy,1.0,n,Gemini-North(8.1m),GMOS,Dainotti2024;arXiv1603.07869,
637736.0,0.0,s,R,24.1,0.0,mag,Vega,y,y,0.02615351853827606,24.249846481461724,,0.000724582192200412,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;astro-ph0604153,
720682.0,0.0,s,I,24.8,0.0,mag,Vega,y,y,0.01827235399810034,25.198727646001903,,0.0003023675566442236,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;arXiv1603.07869,
723780.0,0.0,s,Rc,21.6,0.0,mag,Vega,y,y,0.02775121686760076,21.7482487831324,,0.007256492248202343,,mJy,1.0,n,PROMPT-5,ApogeeAltaU47,Dainotti2024;3702,
844465.0,0.0,s,F814W,25.84,0.05,mag,AB,y,n,0.020773829113644525,25.819226170886356,0.05,0.00017074019793707104,7.862876690895051e-06,mJy,1.0,n,HST,ACS,Dainotti2024;astro-ph0604153,
905602.0,0.0,s,R,24.6,0.0,mag,Vega,y,y,0.02615351853827606,24.749846481461724,,0.0004571804558484097,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;arXiv1603.07869,
906142.0,0.0,s,V,24.5,0.0,mag,Vega,y,y,0.03473410261132832,24.443265897388674,,0.0006063451246570849,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;arXiv1603.07869,
1510000.0,0.0,s,R,24.0,0.0,mag,Vega,y,y,0.02615351853827606,24.149846481461722,,0.0007944885750613841,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;astro-ph0604153,
1610000.0,0.0,s,F814W,27.81,0.27,mag,AB,y,n,0.020773829113644525,27.789226170886355,0.27,2.7818632711099175e-05,6.9179150507097785e-06,mJy,1.0,n,HST,ACS,Dainotti2024;astro-ph0604153,
1680000.0,0.0,s,R,23.8,0.0,mag,Vega,y,y,0.02615351853827606,23.949846481461723,,0.000955185357506169,,mJy,1.0,n,Danish(1.54m),DFOSC,Dainotti2024;astro-ph0604153,
1740000.0,0.0,s,V,25.2,0.0,mag,Vega,y,y,0.03473410261132832,25.143265897388673,,0.000318214444906117,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
1740000.0,0.0,s,R,25.0,0.0,mag,Vega,y,y,0.02615351853827606,25.149846481461722,,0.0003162915986547672,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
1750000.0,0.0,s,I,23.5,0.0,mag,Vega,y,y,0.01827235399810034,23.898727646001902,,0.0010012330813155255,,mJy,1.0,n,ANTU-VLT-UT1(8.2m),FORS1,Dainotti2024;astro-ph0604153,
3000000.0,0.0,s,F814W,28.1,0.0,mag,AB,y,y,0.020773829113644525,28.079226170886358,,2.129785081252794e-05,,mJy,1.0,n,HST,ACS,Dainotti2024;astro-ph0604153,
