time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
2641.0,,s,w,21.1,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
2752.531,118.821,s,10keV,2.89867171900478e-09,7.58853080048285e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
2791.0,,s,uvot-uvw2,19.9,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
2797.0,,s,uvot-v,20.5,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
2970.796,113.677,s,10keV,4.14298892395124e-09,9.12383058871282e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
3002.0,,s,uvot-uvm2,20.1,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
3207.0,,s,uvot-uvw1,19.8,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
3247.091,162.617,s,10keV,2.43691995296737e-09,6.18326145290721e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
3412.0,,s,uvot-u,20.1,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
3439.141,141.781,s,10keV,3.14520919506385e-09,7.08501640766254e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
3617.0,,s,uvot-b,20.4,,mag,,n,y,,,,,,,1.0,n,,UVOT,GCN8478,
3714.276,162.507,s,10keV,2.14742656795117e-09,5.12435246180363e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
8694.951,227.749,s,10keV,8.04596066894108e-10,2.09143912265152e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
9331.055,537.727,s,10keV,4.49067310161533e-10,8.62557430879083e-11,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
9498.0,,s,R,21.9,,mag,,n,y,,,,,,,1.0,n,,Faulkes Telescope South,GCN8475,
15060.576,911.527,s,10keV,3.18871904869465e-10,6.73056044212926e-11,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
21131.614,1144.412,s,10keV,3.18039993160112e-10,7.50829299210867e-11,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
45457.898,17434.986,s,10keV,3.88120138255482e-10,1.05847294770792e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
79698.0,,s,H,21.1,,mag,AB,n,y,,,,,,,1.0,n,,GROND,GCN8482,
79698.0,,s,g,22.7,0.2,mag,AB,n,n,,,,,,,1.0,n,,GROND,GCN8482,
79698.0,,s,r,22.6,0.2,mag,AB,n,n,,,,,,,1.0,n,,GROND,GCN8482,
79698.0,,s,i,21.8,0.2,mag,AB,n,n,,,,,,,1.0,n,,GROND,GCN8482,
79698.0,,s,z,21.7,0.2,mag,AB,n,n,,,,,,,1.0,n,,GROND,GCN8482,
79698.0,,s,J,21.2,0.2,mag,AB,n,n,,,,,,,1.0,n,,GROND,GCN8482,
79698.0,,s,K,20.0,,mag,AB,n,y,,,,,,,1.0,n,,GROND,GCN8482,
109652.006,43959.841,s,10keV,4.18251331026464e-10,1.39223366669452e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",
1698023.0,,s,4.8GHz,-0.142,0.152,mJy,,n,y,,,,,,,1.0,n,,ATCA,GCN8635,
