time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
121.517,,s,R,15.5,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN19672,,
147.517,,s,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19657,,
219.517,,s,R,16.6,,magnitude,,n,y,,,,,,,1.0,n,,TAROT,GCN19672,,
1168.52,,s,15GHz,0.177,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN19738,,
2159.52,,s,r,21.0,,magnitude,AB,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN19658,,
4779.52,,s,w,21.0,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19664,,
5190.52,,s,uvot-v,19.9,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19664,,
6010.52,,s,uvot-b,20.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19664,,
6420.52,,s,uvot-uvw2,19.9,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19664,,
11332.5,,s,uvot-uvm2,20.7,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19664,,
12238.5,,s,uvot-uvw1,20.0,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19664,,
27052.5,,s,Z,22.34,0.33,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN19663,,
27052.5,,s,H,20.98,0.34,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN19663,,
27052.5,,s,Y,21.73,0.32,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN19663,,
27052.5,,s,J,21.54,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN19663,,
27052.5,,s,r,22.89,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN19663,,
27052.5,,s,i,22.12,0.09,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN19663,,
73744.5,,s,15GHz,0.10200000000000001,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN19738,,
247409.0,,s,15GHz,0.132,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN19738,,
591281.0,,s,15GHz,0.213,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN19738,,
