time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
11840.0,,s,w,20.4,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
11840.0,,s,w,21.0,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
11840.0,,s,w,19.6,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20908,
12052.0,,s,uvot-u,20.2,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
12052.0,,s,uvot-u,19.8,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
12308.0,,s,uvot-b,20.0,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
12357.0,,s,uvot-uvw2,19.6,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
12382.0,,s,uvot-v,19.4,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
12431.0,,s,uvot-uvw1,19.9,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
16879.0,,s,uvot-uvm2,19.3,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20919,
51988.0,,s,15GHz,0.3,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN20957,
83092.0,,s,J,21.38,,mag,AB,n,y,,,,,,,1.0,n,,RATIR,GCN20921,
83092.0,,s,H,20.98,,mag,AB,n,y,,,,,,,1.0,n,,RATIR,GCN20921,
83092.0,,s,Y,22.43,,mag,AB,n,y,,,,,,,1.0,n,,RATIR,GCN20921,
83092.0,,s,r,25.64,,mag,AB,n,y,,,,,,,1.0,n,,RATIR,GCN20921,
83092.0,,s,i,24.39,,mag,AB,n,y,,,,,,,1.0,n,,RATIR,GCN20921,
83092.0,,s,Z,22.65,,mag,AB,n,y,,,,,,,1.0,n,,RATIR,GCN20921,
229972.0,,s,15GHz,0.15,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN20957,
408820.0,,s,15GHz,0.315,,mJy,,n,y,,,,,,,1.0,n,,AMI Large Array,GCN20957,
