time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
63.0,,s,58723.542384259265,w,20.8,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
63.0,,s,58723.542384259265,w,21.4,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
63.0,,s,58723.542384259265,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,UVOT,GCN25517,,
275.0,,s,58723.54483796297,uvot-u,20.4,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
275.0,,s,58723.54483796297,uvot-u,20.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
530.0,,s,58723.547789351855,uvot-b,20.0,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
580.0,,s,58723.548368055555,uvot-uvw2,19.3,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
605.0,,s,58723.54865740741,uvot-v,19.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
630.0,,s,58723.54894675926,uvot-uvm2,19.4,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
654.0,,s,58723.54922453704,uvot-uvw1,19.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN25544,,
3393.0,,s,58723.580925925926,R,17.8,,magnitude,,n,y,,,,,,,1.0,n,,HMT-0.5m,GCN25524,,
26928.0,,s,58723.85332175926,r,20.5,,magnitude,,n,y,,,,,,,1.0,n,,Savelli Robotic Telescope,GCN25548,,
40397.0,,s,58724.00921296296,r,23.55,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,ESO-VLT/X-shooter acquisition camera,GCN25550,,
