time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
91.8676,,s,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN26112,,
15641.9,,s,r,23.5,,magnitude,AB,n,y,,,,,,,1.0,n,,MMT/Binospec,GCN26134,,
18460.9,,s,r,22.94,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN26121,,
18460.9,,s,i,23.17,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN26121,,
18460.9,,s,Z,21.5,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN26121,,
18460.9,,s,Y,21.4,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN26121,,
18460.9,,s,J,19.44,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN26121,,
18460.9,,s,H,19.33,,magnitude,AB,n,y,,,,,,,1.0,n,,RATIR,GCN26121,,
19524.9,,s,g,20.8,,magnitude,,n,y,,,,,,,1.0,n,,P48/ZTF,GCN26150,,
23068.9,,s,G,23.2,,magnitude,AB,n,y,,,,,,,1.0,n,,COATLI,GCN26122,,
42542.9,,s,g,18.3,,magnitude,AB,n,y,,,,,,,1.0,n,,MITSuME 50cm,GCN26125,,
42542.9,,s,Rc,18.2,,magnitude,AB,n,y,,,,,,,1.0,n,,MITSuME 50cm,GCN26125,,
42542.9,,s,Ic,17.3,,magnitude,AB,n,y,,,,,,,1.0,n,,MITSuME 50cm,GCN26125,,
112777.0,,s,r,25.0,,magnitude,AB,n,y,,,,,,,1.0,n,,Gemini North/GMOS,GCN26147,,
