time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
40.5,0.0,s,G,17.49,0.47,mag,Vega,y,n,0.9686873383366951,16.7213126616633,0.47,0.7438770913317693,0.3220139766858168,mJy,1.0,n,BOOTES-1B(30cm),G2-CCD,Dainotti2024;AlbertoCastroTirado,orig_band=clear
40.6,0.0,s,G,17.49,0.47,mag,AB,y,n,0.9686873383366951,16.521312661663302,0.47,0.8943369706348354,0.38714595161907844,mJy,1.0,n,BOOTES-1B(30cm),G2-CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
46.65,0.0,s,G,17.49,0.19,mag,AB,y,n,0.9686873383366951,16.521312661663302,0.19,0.8943369706348354,0.15650581022898916,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
70.39,0.0,s,r,17.49,0.2,mag,AB,y,n,0.9037765491814975,16.5862234508185,0.2,0.842435905360787,0.15518242859893527,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;Ror2023,
72.57,0.0,s,G,17.71,0.22,mag,AB,y,n,0.9686873383366951,16.741312661663304,0.22,0.7302998042746521,0.14797881496105691,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
88.0,0.0,s,g,18.47,0.28,mag,AB,y,n,1.2563091839444671,17.213690816055532,0.28,0.472661166546776,0.12189436628631163,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
88.0,0.0,s,i,17.84,0.17,mag,AB,y,n,0.687915658231646,17.152084341768354,0.17,0.5002562372868528,0.07832801371647195,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
88.0,0.0,s,r,17.98,0.12,mag,AB,y,n,0.9037765491814975,17.076223450818503,0.12,0.5364594111857522,0.05929168527324846,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
96.31,0.0,s,r,17.71,0.23,mag,AB,y,n,0.9037765491814975,16.806223450818504,0.23,0.6879183093171327,0.14572712086927933,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;Ror2023,
98.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.9686873383366951,17.031312661663303,,0.5591150521806287,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;28634,orig_band=clear
98.0,0.0,s,r,18.34,0.08,mag,AB,y,n,0.9037765491814975,17.436223450818503,0.08,0.3850675028479297,0.028372822139330726,mJy,1.0,n,NEXT(0.6m),CCD,Dainotti2024;28653,
100.22,0.0,s,G,17.61,0.2,mag,AB,y,n,0.9686873383366951,16.641312661663303,0.2,0.8007578120347917,0.14750504008718718,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
103.5,0.0,s,G,17.68,0.52,mag,Vega,y,n,0.9686873383366951,16.911312661663302,0.52,0.6244550530614549,0.2990750664562153,mJy,1.0,n,BOOTES-1B(30cm),G2-CCD,Dainotti2024;AlbertoCastroTirado,orig_band=clear
103.68,0.0,s,G,17.68,0.52,mag,AB,y,n,0.9686873383366951,16.711312661663303,0.52,0.7507601013129168,0.3595673156811469,mJy,1.0,n,BOOTES-1B(30cm),G2-CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
123.0,0.0,s,G,18.5,0.0,mag,Vega,y,y,0.9686873383366951,17.731312661663303,,0.29342775052233466,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;28634,orig_band=clear
124.05,0.0,s,r,17.61,0.21,mag,AB,y,n,0.9037765491814975,16.706223450818502,0.21,0.7542874268939194,0.14589212273989707,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;Ror2023,
126.14,0.0,s,G,17.37,0.18,mag,AB,y,n,0.9686873383366951,16.401312661663304,0.18,0.9988520936334465,0.1655958197452512,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
138.0,0.0,s,G,17.9,0.0,mag,Vega,y,y,0.9686873383366951,17.1313126616633,,0.5099189880357794,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;28634,orig_band=clear
143.0,0.0,s,r,17.44,0.11,mag,AB,y,n,0.9037765491814975,16.536223450818504,0.11,0.8821386864063834,0.08937277312799825,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
143.0,0.0,s,g,17.95,0.24,mag,AB,y,n,1.2563091839444671,16.693690816055533,0.24,0.7630445986943756,0.16866961135135614,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
143.0,0.0,s,i,16.89,0.11,mag,AB,y,n,0.687915658231646,16.202084341768355,0.11,1.2000311299485276,0.12157964680172433,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
149.97,0.0,s,r,17.38,0.18,mag,AB,y,n,0.9037765491814975,16.4762234508185,0.18,0.9322596093490044,0.15455570970869786,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;Ror2023,
152.92,0.0,s,G,16.86,0.1,mag,AB,y,n,0.9686873383366951,15.891312661663305,0.1,1.5977218857699527,0.14715562387696915,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
157.63,0.0,s,r,18.0,0.05,mag,AB,y,n,0.9037765491814975,17.096223450818503,0.05,0.5266679234453253,0.024253954189666707,mJy,1.0,n,NEXT(0.6m),CCD,Dainotti2024;Pozanenko,
158.0,0.0,s,r,17.02,0.08,mag,AB,y,n,0.9037765491814975,16.116223450818502,0.08,1.2987838168756942,0.09569792818431623,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
158.0,0.0,s,g,17.62,0.18,mag,AB,y,n,1.2563091839444671,16.363690816055534,0.18,1.0340699613022621,0.17143445361654133,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
158.0,0.0,s,i,16.79,0.09,mag,AB,y,n,0.687915658231646,16.102084341768354,0.09,1.3158079686816297,0.10907135330144749,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
162.43,0.0,s,G,16.59,0.29,mag,AB,y,n,0.9686873383366951,15.621312661663305,0.29,2.048807636701659,0.5472362550310657,mJy,1.0,n,BOOTES-1B(30cm),G2-CCD,Dainotti2024;arXiv2211.10036,orig_band=clear
162.5,0.0,s,G,16.59,0.29,mag,Vega,y,n,0.9686873383366951,15.821312661663304,0.29,1.704123966166923,0.45517129116874216,mJy,1.0,n,BOOTES-1B(30cm),G2-CCD,Dainotti2024;AlbertoCastroTirado,orig_band=clear
173.0,0.0,s,g,17.72,0.18,mag,AB,y,n,1.2563091839444671,16.463690816055532,0.18,0.9430830133600111,0.15635007993734396,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
173.0,0.0,s,i,16.72,0.08,mag,AB,y,n,0.687915658231646,16.032084341768353,0.08,1.4034356756796922,0.10340896210547473,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
173.0,0.0,s,r,17.3,0.09,mag,AB,y,n,0.9037765491814975,16.396223450818503,0.09,1.0035450395363406,0.08318692253464192,mJy,1.0,n,NUTTelA-TAO,BSTI,Dainotti2024;arXiv2211.03029,
