time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
45.3,0.0,s,R,14.0,0.0,mag,Vega,y,y,0.07371447942625921,14.10228552057374,,8.300648826949594,,mJy,1.0,n,FRAM-G2(25cm),CCD,Dainotti2024;28766,
49.0,0.0,s,G,16.2,0.0,mag,Vega,y,y,0.09118318264678621,16.30881681735321,,1.0876759404242915,,mJy,1.0,n,MASTER-SAAO(2X0.4m),VWF-2,Dainotti2024;28759,unfilter-polarization
73.0,0.0,s,r,14.1,0.0,mag,AB,y,y,0.08507308694402997,14.01492691305597,,8.996125050108171,,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;28763,
73.0,0.0,s,R,13.69,0.07,mag,Vega,y,n,0.07371447942625921,13.79228552057374,0.07,11.04363490389976,0.712009454861273,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
78.0,0.0,s,G,15.9,0.0,mag,Vega,y,y,0.09118318264678621,16.008816817353214,,1.4338361378299969,,mJy,1.0,n,MASTER-SAAO(2X0.4m),VWF-2,Dainotti2024;28759,unfilter-polarization
78.0,0.0,s,G,16.1,0.0,mag,Vega,y,y,0.09118318264678621,16.208816817353213,,1.1926129531447671,,mJy,1.0,n,MASTER-SAAO(2X0.4m),VWF-2,Dainotti2024;28759,unfilter-polarization
134.1,0.0,s,R,14.52,0.18,mag,Vega,y,n,0.07371447942625921,14.62228552057374,0.18,5.141762833200478,0.8524329445035542,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
171.0,0.0,s,G,16.7,0.0,mag,Vega,y,y,0.09118318264678621,16.80881681735321,,0.6862771230251075,,mJy,1.0,n,MASTER-IAC,Apogee-ALTA-U16M,Dainotti2024;28759,unfilter-polarization
206.0,0.0,s,G,16.5,0.0,mag,Vega,y,y,0.09118318264678621,16.608816817353212,,0.8250865773046457,,mJy,1.0,n,MASTER-IAC,Apogee-ALTA-U16M,Dainotti2024;28759,orig_band=CR
209.4,0.0,s,R,15.24,0.24,mag,Vega,y,n,0.07371447942625921,15.342285520573741,0.24,2.6491834953107327,0.585597160791202,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
229.0,0.0,s,R,14.9,0.0,mag,Vega,y,y,0.07371447942625921,15.002285520573741,,3.623364630829256,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;28760,
242.0,0.0,s,G,16.9,0.0,mag,Vega,y,y,0.09118318264678621,17.00881681735321,,0.5708204478688561,,mJy,1.0,n,MASTER-IAC,Apogee-ALTA-U16M,Dainotti2024;28759,orig_band=CR
279.4,0.0,s,R,15.7,0.41,mag,Vega,y,n,0.07371447942625921,15.80228552057374,0.41,1.7342513477723915,0.6548948533452288,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
378.6,0.0,s,R,16.19,0.14,mag,Vega,y,n,0.07371447942625921,16.292285520573742,0.14,1.1043634903899735,0.14240189097225428,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
500.7,0.0,s,R,16.25,0.14,mag,Vega,y,n,0.07371447942625921,16.35228552057374,0.14,1.0449897742626277,0.13474596108670703,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
570.0,0.0,s,uvot-white,17.94,0.05,mag,Vega,y,n,0.1643976359815284,18.575602364018472,0.05,0.1348296177606024,0.006209133358992967,mJy,1.0,n,Swift,UVOT,Dainotti2024;28774,
672.6,0.0,s,R,16.67,0.14,mag,Vega,y,n,0.07371447942625921,16.772285520573742,0.14,0.7097608507269882,0.09151994625058518,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
749.0,0.0,s,uvot-v,17.39,0.3,mag,Vega,y,n,0.09957903686623151,17.280420963133768,0.3,0.44448577190504723,0.12281595749238161,mJy,1.0,n,Swift,UVOT,Dainotti2024;28774,
901.8,0.0,s,R,16.78,0.16,mag,Vega,y,n,0.07371447942625921,16.882285520573742,0.16,0.6413750192281366,0.09451651573078251,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
938.5,0.0,s,uvot-u,17.86,0.29,mag,Vega,y,n,0.15827661481194172,18.721723385188056,0.29,0.11785198310687826,0.031478249459875346,mJy,1.0,n,Swift,UVOT,Dainotti2024;28774,
1049.0,0.0,s,uvot-b,18.65,0.32,mag,Vega,y,n,0.1275139261288318,18.39248607387117,0.32,0.15959960764692338,0.047038934709184556,mJy,1.0,n,Swift,UVOT,Dainotti2024;28774,
1086.5,0.0,s,uvot-uvw1,17.46,0.3,mag,Vega,y,n,0.22242130355123374,18.74757869644877,0.3,0.1150786531374536,0.03179740694833597,mJy,1.0,n,Swift,UVOT,Dainotti2024;28774,
1128.5,0.0,s,R,16.78,0.14,mag,Vega,y,n,0.07371447942625921,16.882285520573742,0.14,0.6413750192281366,0.0827019512644347,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
1367.6,0.0,s,R,17.12,0.18,mag,Vega,y,n,0.07371447942625921,17.22228552057374,0.18,0.4689343437276188,0.07774280852113158,mJy,1.0,n,BOOTES-2-TELMA(0.6m),EMCCD,Dainotti2024;AlbertoCastroTirado,
1408.5,0.0,s,uvot-uvm2,18.4,0.0,mag,Vega,y,y,0.3119403977138114,19.778059602286188,,0.044545353322418116,,mJy,1.0,n,Swift,UVOT,Dainotti2024;28774,
