time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
210.5,0.0,s,uvot-white,14.67,0.02,mag,Vega,y,n,0.8647046425148092,14.605295357485192,0.02,5.222856648240166,0.09620857488866122,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
473.0,0.0,s,uvot-u,15.6,0.03,mag,Vega,y,n,0.832509073578114,15.787490926421887,0.03,1.7580445587454394,0.048576566325438525,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
614.0,0.0,s,uvot-b,15.39,0.08,mag,Vega,y,n,0.6707023689883244,14.589297631011675,0.08,5.300382318000027,0.39054660200307484,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
689.0,0.0,s,uvot-v,15.59,0.1,mag,Vega,y,n,0.5237694262529333,15.056230573747067,0.1,3.4477361252741034,0.31754823226532813,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
804.0,0.0,s,uvot-white,16.66,0.06,mag,Vega,y,n,0.8647046425148092,16.595295357485192,0.06,0.8354262283996051,0.04616735951542007,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
918.0,0.0,s,uvot-uvw1,17.22,0.19,mag,Vega,y,n,1.1698996316258303,17.56010036837417,0.19,0.3435469534198314,0.06011950312028979,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
1190.5,0.0,s,uvot-uvw2,19.2,0.31,mag,Vega,y,n,1.5347040373008702,19.39529596269913,0.31,0.06337352491966766,0.018094443787543667,mJy,1.0,y,Swift,UVOT,Dainotti2024;30278,
1240.0,0.0,s,uvot-uvm2,19.3,0.0,mag,Vega,y,y,1.6407554067344132,19.34924459326559,,0.0661193250482497,,mJy,1.0,n,Swift,UVOT,Dainotti2024;30278,
1318.0,0.0,s,r,16.1,0.0,mag,AB,y,y,0.4474705052439697,15.652529494756031,,1.9907395791101863,,mJy,1.0,n,Liverpool(2m),IO:O,Dainotti2024;30280,
2771.0,0.0,s,g,17.8,0.05,mag,AB,y,n,0.622013600365477,17.177986399634523,0.05,0.4884630186840698,0.022494553306016227,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
2902.0,0.0,s,g,17.93,0.06,mag,AB,y,n,0.622013600365477,17.307986399634522,0.06,0.4333429036837838,0.02394741384424884,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
3061.0,0.0,s,g,17.87,0.05,mag,AB,y,n,0.622013600365477,17.247986399634524,0.05,0.4579643681065107,0.02109003854248979,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
3442.0,0.0,s,r,17.2,0.05,mag,AB,y,n,0.4474705052439697,16.75252949475603,0.05,0.7227938539371775,0.03328588706766922,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
3505.0,0.0,s,r,17.2,0.06,mag,AB,y,n,0.4474705052439697,16.75252949475603,0.06,0.7227938539371775,0.03994306448120306,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
3569.0,0.0,s,r,17.19,0.06,mag,AB,y,n,0.4474705052439697,16.74252949475603,0.06,0.7294817831245851,0.040312653106401246,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
3633.0,0.0,s,r,17.3,0.06,mag,AB,y,n,0.4474705052439697,16.85252949475603,0.06,0.659195829410538,0.036428507763949215,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
3696.0,0.0,s,r,17.3,0.07,mag,AB,y,n,0.4474705052439697,16.85252949475603,0.07,0.659195829410538,0.042499925724607424,mJy,1.0,n,D50,CCD,Dainotti2024;arXiv2109.00010,
