time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
73.0,0.0,s,G,15.5,0.0,mag,Vega,y,y,0.036119290138797895,15.663880709861202,,1.9700351042573643,,mJy,1.0,n,MASTER-OAFA,Apogee-ALTA-U16M,Dainotti2024;32924,orig_band=CR
121.0,0.0,s,G,17.0,0.0,mag,Vega,y,y,0.036119290138797895,17.1638807098612,,0.4948504447981649,,mJy,1.0,n,MASTER-OAFA,Apogee-ALTA-U16M,Dainotti2024;32923,orig_band=CR
189.0,0.0,s,uvot-white,18.68,0.08,mag,Vega,y,n,0.06512084509213596,19.414879154907865,0.08,0.06224071699397973,0.004586065508083165,mJy,1.0,y,Swift,UVOT,Dainotti2024;32932,
291.0,0.0,s,G,15.9,0.1,mag,AB,y,n,0.036119290138797895,15.863880709861203,0.1,1.638603827521749,0.15092098986298264,mJy,1.0,n,TAROT-S(25cm),ANDOR-IKON-DW-436-N,Dainotti2024;32939,orig_band=clear
382.5,0.0,s,uvot-u,19.33,0.0,mag,Vega,y,y,0.06269619908667196,20.287303800913325,,0.027867931127136404,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
3474.0,0.0,s,r,19.45,0.06,mag,AB,y,n,0.033698971906229024,19.41630102809377,0.06,0.0621592602985207,0.003435047667717849,mJy,1.0,n,LCOGT(1m),Sinistro,Dainotti2024;32926,
3474.0,0.0,s,i,18.19,0.08,mag,AB,y,n,0.025650201326420825,18.16434979867358,0.08,0.19691841408094643,0.014509484953562116,mJy,1.0,n,LCOGT(1m),Sinistro,Dainotti2024;32926,
3873.0,0.0,s,uvot-b,19.91,0.0,mag,Vega,y,y,0.05051054767879226,19.729489452321207,,0.0465833232663166,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
4078.0,0.0,s,uvot-white,20.66,0.0,mag,Vega,y,y,0.06512084509213596,21.394879154907866,,0.01004788340622467,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
4283.5,0.0,s,uvot-uvw2,19.55,0.0,mag,Vega,y,y,0.11557845183378208,21.16442154816622,,0.01242389091865867,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
4428.0,0.0,s,r,19.7,0.15,mag,AB,y,n,0.033698971906229024,19.66630102809377,0.15,0.049374855504691104,0.006821388375230205,mJy,1.0,n,COATLI(50cm),FLI-ML3200,Dainotti2024;32927,
4457.0,0.0,s,uvot-v,19.5,0.0,mag,Vega,y,y,0.03944503821769415,19.450554961782306,,0.060228807466145375,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
4693.0,0.0,s,uvot-uvm2,19.35,0.0,mag,Vega,y,y,0.12356517291880548,20.916434827081197,,0.015611776242500796,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
4898.0,0.0,s,uvot-uvw1,19.48,0.0,mag,Vega,y,y,0.08810505800325673,20.901894941996744,,0.015822251085608554,,mJy,1.0,n,Swift,UVOT,Dainotti2024;32932,
12030.0,0.0,s,i,19.8,0.1,mag,AB,y,n,0.025650201326420825,19.77434979867358,0.1,0.04469781868110445,0.004116821239378476,mJy,1.0,n,SOAR(4.1m),SOI,Dainotti2024;32939,
12030.0,0.0,s,r,21.7,0.2,mag,AB,y,n,0.033698971906229024,21.66630102809377,0.2,0.007825387236813594,0.0014414895998714281,mJy,1.0,n,SOAR(4.1m),SOI,Dainotti2024;32939,
12030.0,0.0,s,z,19.4,0.2,mag,AB,y,n,0.019440978568209435,19.38055902143179,0.2,0.06423957223266429,0.011833366512259762,mJy,1.0,n,SOAR(4.1m),SOI,Dainotti2024;32939,
29910.0,0.0,s,Ic,19.0,0.0,mag,AB,y,y,0.019788135987468924,18.98021186401253,,0.09288412693690044,,mJy,1.0,n,iTelescope32,CCD,Dainotti2024;32939,
54000.0,0.0,s,r,20.8,0.0,mag,Vega,y,y,0.033698971906229024,20.88130102809377,,0.016125227023099365,,mJy,1.0,n,GMG(2.4m),YFOSC,Dainotti2024;32933,
64610.0,0.0,s,z,19.9,0.0,mag,AB,y,y,0.019440978568209435,19.88055902143179,,0.040532429906465405,,mJy,1.0,n,SBG,Alta-U32-CCD,Dainotti2024;32939,
69120.0,0.0,s,R,19.8,0.0,mag,AB,y,y,0.029199624234890056,19.77080037576511,,0.04484418118663469,,mJy,1.0,n,KNC-HAO,CCD,Dainotti2024;32939,
71280.0,0.0,s,G,20.4,0.0,mag,AB,y,y,0.036119290138797895,20.3638807098612,,0.025970120513799558,,mJy,1.0,n,MOSS,SBIG-STL11000,Dainotti2024;32939,orig_band=clear
95760.0,0.0,s,R,20.1,0.0,mag,AB,y,y,0.029199624234890056,20.07080037576511,,0.03401779021872668,,mJy,1.0,n,0.5m,FLI-CCD,Dainotti2024;32939,
100080.0,0.0,s,r,22.6,0.0,mag,AB,y,y,0.033698971906229024,22.566301028093772,,0.0034159054222792492,,mJy,1.0,n,COATLI(50cm),FLI-ML3200,Dainotti2024;32935,
