time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
189.0,0.0,s,r,19.1,0.0,mag,AB,y,y,0.2991012228248423,18.80089877717516,,0.10956371209793016,,mJy,1.0,n,NEXT(0.6m),CCD,Dainotti2024;33177,
208.0,0.0,s,uvot-white,18.0,0.0,mag,Vega,y,y,0.5779916506842951,18.222008349315704,,0.18673378885151107,,mJy,1.0,n,Swift,UVOT,Dainotti2024;33176,
887.0,0.0,s,G,18.8,0.0,mag,Vega,y,y,0.32058318806108144,18.679416811938918,,0.12253482197141749,,mJy,1.0,n,BOOTES-4(0.6m),MET,Dainotti2024;AlbertoCastroTirado,orig_band=clear
1215.0,0.0,s,R,19.5,0.0,mag,Vega,y,y,0.25916646178357633,19.416833538216423,,0.062128781145952564,,mJy,1.0,n,Sintesz(35cm),CCD,Dainotti2024;33178,
1364.0,0.0,s,G,20.1,0.0,mag,Vega,y,y,0.32058318806108144,19.97941681193892,,0.03700492464217366,,mJy,1.0,n,BOOTES-4(0.6m),MET,Dainotti2024;AlbertoCastroTirado,orig_band=clear
2052.0,0.0,s,r,17.63,0.0,mag,AB,y,y,0.2991012228248423,17.330898777175157,,0.42429385115914625,,mJy,1.0,n,GROWTH-India(0.7m),AndoriKon-XL,Dainotti2024;33182,
3188.4,0.0,s,Rc,19.967,0.07,mag,Vega,y,n,0.27499874157425214,19.868001258425746,0.07,0.04100395474646179,0.0026436226586841506,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
3252.0,0.0,s,G,19.82,0.08,mag,Vega,y,n,0.32058318806108144,19.699416811938917,0.08,0.04789161958507138,0.0035287849387496658,mJy,1.0,n,Sintesz(35cm),CCD,Dainotti2024;33189,orig_band=CR
3376.0,,s,Rc,19.93,0.07,mag,Vega,n,n,,,,,,,1.0,n,,Zeiss-1000 (SAO RAS),GCN33179,
3376.08,0.0,s,R,19.93,0.07,mag,Vega,y,n,0.25916646178357633,19.846833538216423,0.07,0.04181121939462335,0.0026956689339429716,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33179,
3384.0,0.0,s,g,21.04,0.07,mag,AB,y,n,0.4157704838703538,20.624229516129645,0.07,0.020433108563272417,0.0013173711930769617,mJy,1.0,y,GROWTH-India(0.7m),AndoriKon-XL,Dainotti2024;33182,
3400.0,,s,g,21.04,0.07,mag,AB,n,n,,,,,,,1.0,n,,GROWTH-India Telescope (GIT),GCN33181,
3562.8,0.0,s,Rc,19.888,0.068,mag,Vega,y,n,0.27499874157425214,19.78900125842575,0.068,0.04409869579570694,0.0027619151880231333,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
3912.0,0.0,s,Rc,19.874,0.066,mag,Vega,y,n,0.27499874157425214,19.775001258425746,0.066,0.044671007292104985,0.0027154722006674926,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
4246.8,0.0,s,Rc,19.818,0.063,mag,Vega,y,n,0.27499874157425214,19.71900125842575,0.063,0.04703549788701415,0.0027292415541600315,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
4588.8,0.0,s,Rc,19.674,0.057,mag,Vega,y,n,0.27499874157425214,19.575001258425747,0.057,0.05370636332583294,0.002819527152320059,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
4945.2,0.0,s,Rc,19.595,0.051,mag,Vega,y,n,0.27499874157425214,19.496001258425746,0.051,0.05775980861465538,0.0027131362355220083,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
5124.96,0.0,s,R,19.72,0.06,mag,Vega,y,n,0.25916646178357633,19.636833538216422,0.06,0.05073326743778095,0.0028036239677067514,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33179,
5125.0,,s,Rc,19.72,0.06,mag,Vega,n,n,,,,,,,1.0,n,,Zeiss-1000 (SAO RAS),GCN33179,
5305.2,0.0,s,Rc,19.701,0.055,mag,Vega,y,n,0.27499874157425214,19.602001258425748,0.055,0.05238726739617952,0.0026537751013209912,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
5643.6,0.0,s,Rc,19.668,0.056,mag,Vega,y,n,0.27499874157425214,19.569001258425747,0.056,0.05400397723788434,0.0027854120660876663,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
5992.8,0.0,s,Rc,19.779,0.062,mag,Vega,y,n,0.27499874157425214,19.680001258425747,0.062,0.04875573922839985,0.0027841531109614195,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
6012.0,0.0,s,r,19.99,0.05,mag,AB,y,n,0.2991012228248423,19.690898777175157,0.05,0.048268826228575035,0.002222861594604738,mJy,1.0,n,GROWTH-India(0.7m),AndoriKon-XL,Dainotti2024;33182,
6331.2,0.0,s,Rc,19.764,0.063,mag,Vega,y,n,0.27499874157425214,19.665001258425747,0.063,0.0494339991236831,0.0028684149346256903,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
6702.0,0.0,s,Rc,19.728,0.058,mag,Vega,y,n,0.27499874157425214,19.62900125842575,0.058,0.051100570124038465,0.002729791135457703,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
7076.4,0.0,s,Rc,19.626,0.055,mag,Vega,y,n,0.27499874157425214,19.52700125842575,0.055,0.0561339683636509,0.0028435712528243227,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
7429.2,0.0,s,Rc,19.539,0.052,mag,Vega,y,n,0.27499874157425214,19.44000125842575,0.052,0.0608171053382338,0.0029127604511380075,mJy,1.0,n,Zeiss-1000,EEV-4240-CCD,Dainotti2024;33192,
