time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
8172.0,0.0,s,GOTO-L,17.45,0.02,mag,AB,y,n,0.4382870441963606,17.011712955803638,0.02,0.5692998463406685,0.010486890717022595,mJy,1.0,n,GOTO(40cm),CCD,Dainotti2024;34398,
10804.0,0.0,s,G,19.3,0.0,mag,Vega,y,y,0.3987606719478477,19.101239328052152,,0.08308651011946105,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
10804.0,0.0,s,G,19.3,0.0,mag,Vega,y,y,0.3987606719478477,19.101239328052152,,0.08308651011946105,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
10992.0,0.0,s,G,19.1,0.0,mag,Vega,y,y,0.3987606719478477,18.901239328052153,,0.09989195611310783,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
10992.0,0.0,s,G,19.1,0.0,mag,Vega,y,y,0.3987606719478477,18.901239328052153,,0.09989195611310783,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11111.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11111.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11151.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11151.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11189.0,0.0,s,G,17.9,0.0,mag,Vega,y,y,0.3987606719478477,17.70123932805215,,0.3016688847181036,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11189.0,0.0,s,G,17.9,0.0,mag,Vega,y,y,0.3987606719478477,17.70123932805215,,0.3016688847181036,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11227.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11227.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11267.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11267.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11304.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11304.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11343.0,0.0,s,G,18.0,0.0,mag,Vega,y,y,0.3987606719478477,17.80123932805215,,0.27512529275931824,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11343.0,0.0,s,G,18.0,0.0,mag,Vega,y,y,0.3987606719478477,17.80123932805215,,0.27512529275931824,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11381.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11381.0,0.0,s,G,17.8,0.0,mag,Vega,y,y,0.3987606719478477,17.601239328052152,,0.33077335454823203,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11495.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11495.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11683.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
11683.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
11874.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
12063.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
12251.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34389,C
12443.0,0.0,s,G,19.2,0.0,mag,Vega,y,y,0.3987606719478477,19.00123932805215,,0.09110254673961934,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
12630.0,0.0,s,G,19.0,0.0,mag,Vega,y,y,0.3987606719478477,18.80123932805215,,0.10952935184811491,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
12822.0,0.0,s,G,18.7,0.0,mag,Vega,y,y,0.3987606719478477,18.50123932805215,,0.14438780614349317,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
13010.0,0.0,s,G,18.6,0.0,mag,Vega,y,y,0.3987606719478477,18.401239328052153,,0.15831808122528898,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
13202.0,0.0,s,G,18.7,0.0,mag,Vega,y,y,0.3987606719478477,18.50123932805215,,0.14438780614349317,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
13389.0,0.0,s,G,18.7,0.0,mag,Vega,y,y,0.3987606719478477,18.50123932805215,,0.14438780614349317,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
13961.0,0.0,s,G,18.7,0.0,mag,Vega,y,y,0.3987606719478477,18.50123932805215,,0.14438780614349317,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
14149.0,0.0,s,G,18.6,0.0,mag,Vega,y,y,0.3987606719478477,18.401239328052153,,0.15831808122528898,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
15563.0,0.0,s,G,18.3,0.0,mag,Vega,y,y,0.3987606719478477,18.101239328052152,,0.20870387741055785,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
15712.0,0.0,s,G,17.3,0.0,mag,Vega,y,y,0.3987606719478477,17.101239328052152,,0.5242404378710194,,mJy,1.0,n,MASTER-OAFA,Apogee-ALTA-U16M,Dainotti2024;34390,C
15750.0,0.0,s,G,18.3,0.0,mag,Vega,y,y,0.3987606719478477,18.101239328052152,,0.20870387741055785,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
15823.0,0.0,s,G,17.4,0.0,mag,Vega,y,y,0.3987606719478477,17.20123932805215,,0.47811296176705903,,mJy,1.0,n,MASTER-OAFA,Apogee-ALTA-U16M,Dainotti2024;34390,C
16022.0,0.0,s,G,18.3,0.0,mag,Vega,y,y,0.3987606719478477,18.101239328052152,,0.20870387741055785,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16093.0,0.0,s,G,18.3,0.0,mag,Vega,y,y,0.3987606719478477,18.101239328052152,,0.20870387741055785,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16165.0,0.0,s,G,18.1,0.0,mag,Vega,y,y,0.3987606719478477,17.901239328052153,,0.2509172491774662,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16234.0,0.0,s,G,18.1,0.0,mag,Vega,y,y,0.3987606719478477,17.901239328052153,,0.2509172491774662,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16305.0,0.0,s,G,17.7,0.0,mag,Vega,y,y,0.3987606719478477,17.50123932805215,,0.3626857711272757,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16375.0,0.0,s,G,17.7,0.0,mag,Vega,y,y,0.3987606719478477,17.50123932805215,,0.3626857711272757,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16507.0,0.0,s,G,18.3,0.0,mag,Vega,y,y,0.3987606719478477,18.101239328052152,,0.20870387741055785,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16639.0,0.0,s,G,17.9,0.0,mag,Vega,y,y,0.3987606719478477,17.70123932805215,,0.3016688847181036,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16708.0,0.0,s,G,17.9,0.0,mag,Vega,y,y,0.3987606719478477,17.70123932805215,,0.3016688847181036,,mJy,1.0,n,MASTER-Tavrida,Apogee-ALTA-U16M,Dainotti2024;34390,C
16792.0,0.0,s,G,17.4,0.0,mag,Vega,y,y,0.3987606719478477,17.20123932805215,,0.47811296176705903,,mJy,1.0,n,MASTER-OAFA,Apogee-ALTA-U16M,Dainotti2024;34390,C
16903.0,0.0,s,G,17.5,0.0,mag,Vega,y,y,0.3987606719478477,17.30123932805215,,0.4360442035681145,,mJy,1.0,n,MASTER-OAFA,Apogee-ALTA-U16M,Dainotti2024;34390,C
