time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
65.1679,,s,g,14.56,0.02,magnitude,AB,n,n,,,,,,,1.0,n,,C-GFT 1.2m,GCN37292,,
127.168,,s,Mephisto-r,14.46,0.01,magnitude,AB,n,n,,,,,,,1.0,n,,Mephisto,GCN37278,,
127.168,,s,Mephisto-z,13.61,0.01,magnitude,AB,n,n,,,,,,,1.0,n,,Mephisto,GCN37278,,
127.168,,s,Mephisto-v,16.73,0.01,magnitude,AB,n,n,,,,,,,1.0,n,,Mephisto,GCN37278,,
167.168,,s,w,15.57,0.14,magnitude,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN37274,,
206.168,,s,r,14.56,0.02,magnitude,AB,n,n,,,,,,,1.0,n,,C-GFT 1.2m,GCN37292,,
294.168,,s,i,16.79,0.02,magnitude,AB,n,n,,,,,,,1.0,n,,C-GFT 1.2m,GCN37292,,
375.168,,s,I,14.955,0.035,magnitude,,n,n,,,,,,,1.0,n,,PROMPT-MO,GCN37276,,
910.168,,s,Mephisto-u,19.15,0.09,magnitude,AB,n,n,,,,,,,1.0,n,,Mephisto,GCN37278,,
910.168,,s,Mephisto-g,17.49,0.03,magnitude,AB,n,n,,,,,,,1.0,n,,Mephisto,GCN37278,,
910.168,,s,Mephisto-i,16.42,0.01,magnitude,AB,n,n,,,,,,,1.0,n,,Mephisto,GCN37278,,
2088.17,,s,r,19.33,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,C-GFT 1.2m,GCN37292,,
2162.17,,s,i,19.33,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,C-GFT 1.2m,GCN37292,,
2555.17,,s,g,19.18,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,C-GFT 1.2m,GCN37292,,
3960.17,,s,Ic,17.3,0.15,magnitude,,n,n,,,,,,,1.0,n,,0.36m AKO telescope,GCN37299,,
4555.17,,s,Ic,17.6,0.16,magnitude,,n,n,,,,,,,1.0,n,,Al-Khatim Observatory 0.36m telescope,GCN37277,,
5400.17,,s,Ic,17.9,0.18,magnitude,,n,n,,,,,,,1.0,n,,0.36m AKO telescope,GCN37299,,
6878.17,,s,R,18.97,0.04,magnitude,,n,n,,,,,,,1.0,n,,GMG-2.4m,GCN37280,,
6900.17,,s,Ic,18.1,0.13,magnitude,,n,n,,,,,,,1.0,n,,0.36m AKO telescope,GCN37299,,
8640.17,,s,Ic,18.2,0.13,magnitude,,n,n,,,,,,,1.0,n,,0.36m AKO telescope,GCN37299,,
10140.2,,s,Ic,18.4,0.17,magnitude,,n,n,,,,,,,1.0,n,,0.36m AKO telescope,GCN37299,,
13261.2,,s,g,19.31,,magnitude,AB,n,y,,,,,,,1.0,n,,NUTTelA-TAO/BSTI,GCN37307,,
13261.2,,s,r,19.38,,magnitude,AB,n,y,,,,,,,1.0,n,,NUTTelA-TAO/BSTI,GCN37307,,
17423.2,,s,z,19.3,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,LCO 1m Sinistro,GCN37287,,
17423.2,,s,r,20.1,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,LCO 1m Sinistro,GCN37287,,
19178.2,,s,Rc,19.81,0.1,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti Observatory,GCN37400,,
20546.2,,s,R,19.5,,magnitude,,n,y,,,,,,,1.0,n,,Zeiss-1000,GCN37313,,
21280.2,,s,Rc,19.97,0.11,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti Observatory,GCN37400,,
24013.2,,s,Rc,20.26,0.12,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti Observatory,GCN37400,,
24420.2,,s,r,20.63,0.03,magnitude,AB,n,n,,,,,,,1.0,n,,MISTRAL/OHP 1.93m,GCN37300,,
25436.2,,s,r,20.0,,magnitude,,n,n,,,,,,,1.0,n,,TNG/DOLoRes,GCN37310,,
26746.2,,s,Rc,20.49,0.16,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti Observatory,GCN37400,,
29479.2,,s,Rc,20.78,0.22,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti Observatory,GCN37400,,
32217.2,,s,Rc,20.71,0.19,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti Observatory,GCN37400,,
