time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
54.3615,,s,r,17.08,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO BSTCam,GCN37419,,
54.3615,,s,g,17.01,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO BSTCam,GCN37419,,
817.361,,s,r,18.61,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO BSTCam,GCN37419,,
817.361,,s,g,18.6,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO BSTCam,GCN37419,,
1151.36,,s,r,19.9,,magnitude,AB,n,y,,,,,,,1.0,n,,GOT-0.5m,GCN37420,,
1196.36,,s,Ic,19.13,,magnitude,,n,y,,,,,,,1.0,n,,AKO 0.36m,GCN37414,,
1396.36,,s,g,21.5,,magnitude,,n,y,,,,,,,1.0,n,,C-GFT,GCN37413,,
1396.36,,s,r,21.7,,magnitude,,n,y,,,,,,,1.0,n,,C-GFT,GCN37413,,
1396.36,,s,i,21.3,,magnitude,,n,y,,,,,,,1.0,n,,C-GFT,GCN37413,,
2359.36,,s,R,22.8,,magnitude,,n,y,,,,,,,1.0,n,,SAO RAS Zeiss-1000,GCN37401,,
2433.36,,s,G,20.9,,magnitude,AB,n,y,,,,,,,1.0,n,,HMT-0.5m,GCN37399,,
6806.36,,s,r,22.85,,magnitude,AB,n,y,,,,,,,1.0,n,,MISTRAL/OHP 1.93m,GCN37412,,
7583.36,,s,R,24.5,,magnitude,,n,y,,,,,,,1.0,n,,ZTSh 2.6m (CrAO),GCN37415,,
7583.36,,s,R,22.03,0.05,magnitude,,n,n,,,,,,,1.0,n,,ZTSh 2.6m (CrAO),GCN37415,,
7810.36,,s,g,19.11,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO BSTCam,GCN37419,,
7810.36,,s,r,19.15,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO BSTCam,GCN37419,,
9179.36,,s,z,18.7,,magnitude,AB,n,y,,,,,,,1.0,n,,GOT-0.5m,GCN37420,,
10346.4,,s,r,22.0,,magnitude,,n,y,,,,,,,1.0,n,,LCOGT 1m Sinistro,GCN37403,,
10346.4,,s,i,22.2,,magnitude,,n,y,,,,,,,1.0,n,,LCOGT 1m Sinistro,GCN37403,,
14652.4,,s,r,22.4,,magnitude,AB,n,y,,,,,,,1.0,n,,GIT,GCN37422,,
16596.4,,s,z,18.6,,magnitude,AB,n,y,,,,,,,1.0,n,,GIT,GCN37422,,
18036.4,,s,i,20.4,,magnitude,AB,n,y,,,,,,,1.0,n,,GIT,GCN37422,,
27618.4,,s,r,19.1,,magnitude,AB,n,y,,,,,,,1.0,n,,REM,GCN37408,,
27978.4,,s,J,17.5,,magnitude,Vega,n,y,,,,,,,1.0,n,,REM,GCN37408,,
31392.4,,s,J,18.6,,magnitude,,n,y,,,,,,,1.0,n,,Palomar 1-m/WINTER,GCN37416,,
74292.4,,s,VT-B,23.5,,magnitude,AB,n,y,,,,,,,1.0,n,,SVOM/VT,GCN37453,,
74292.4,,s,VT-R,23.5,,magnitude,AB,n,y,,,,,,,1.0,n,,SVOM/VT,GCN37453,,
74292.4,,s,VT-R,22.1,0.1,magnitude,,n,n,,,,,,,1.0,n,,SVOM/VT,GCN37453,,
555200.0,,s,r,23.5,,magnitude,AB,n,y,,,,,,,1.0,n,,NOT/ALFOSC,GCN37494,,
