time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
170098.0,,s,r,17.61,0.07,mag,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN40566,
517198.0,,s,r,18.7,,mag,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN40566,
751138.0,,s,r,19.22,0.06,mag,AB,n,n,,,,,,,1.0,n,,NOT/ALFOSC,GCN40584,
751138.0,,s,z,19.67,0.08,mag,AB,n,n,,,,,,,1.0,n,,NOT/ALFOSC,GCN40584,
784042.0,,s,z,19.5,0.2,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
784042.0,,s,i,19.29,0.08,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
784042.0,,s,r,19.18,0.08,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
784042.0,,s,g,18.97,0.06,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
835457.0,,s,J,20.03,0.07,mag,,n,n,,,,,,,1.0,n,,FTW/3KK,GCN40597,
835457.0,,s,r,19.28,0.01,mag,,n,n,,,,,,,1.0,n,,FTW/3KK,GCN40597,
835457.0,,s,i,19.45,0.02,mag,,n,n,,,,,,,1.0,n,,FTW/3KK,GCN40597,
862528.0,,s,i,19.5,0.05,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN40590,
862528.0,,s,r,19.46,0.03,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN40590,
862528.0,,s,g,19.34,0.03,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN40590,
956842.0,,s,g,19.29,0.05,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
956842.0,,s,r,19.39,0.06,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
956842.0,,s,i,19.62,0.06,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
956842.0,,s,z,19.57,0.08,mag,AB,n,n,,,,,,,1.0,n,,Pan-STARRS 1.8m,GCN40605,
