time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
31260.0,,s,60965.361805555556,r,19.9,0.17,magnitude,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN42325,,
31260.0,,s,60965.361805555556,z,17.94,0.09,magnitude,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN42325,,
31364.0,,s,60965.36300925926,w,20.42,0.21,magnitude,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN42322,,
32483.0,,s,60965.37596064815,J,18.7,,magnitude,AB,n,n,,,,,,,1.0,n,,WINTER/Palomar 1-m,GCN42336,,
40500.0,,s,60965.46875,Ic,19.7,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,MITSuME/Akeno 50cm,GCN42329,,
41101.0,,s,60965.47570601852,R,20.41,0.07,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN42479,,
45475.0,,s,60965.52633101852,VT-B,22.57,0.14,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN42341,,
45475.0,,s,60965.52633101852,VT-R,20.3,0.05,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN42341,,
46155.0,,s,60965.53420138889,R,20.88,0.07,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN42479,,
46219.0,,s,60965.53494212963,r,21.17,0.06,magnitude,,n,n,,,,,,,1.0,n,,JinShan 100C,GCN42331,,
54555.0,,s,60965.631423611114,R,22.0,,magnitude,,n,y,,,,,,,1.0,n,,RC500/INASAN-Kislovodsk,GCN42477,,
54555.0,,s,60965.631423611114,R,21.45,0.16,magnitude,,n,n,,,,,,,1.0,n,,RC500/INASAN-Kislovodsk,GCN42477,,
70517.952,,s,60965.81618,G,22.5,0.3,magnitude,,n,n,,,,,,,1.0,n,,N500mm/Observatoire des Pises (RAPAS [3]),GCN42370,,
71539.0,,s,60965.827997685185,i,21.39,0.32,magnitude,AB,n,n,,,,,,,1.0,n,,T193cm/MISTRAL,GCN42339,,
71699.904,,s,60965.82986,G,20.24,,magnitude,,n,y,,,,,,,1.0,n,,SC 280mm (RAPAS [4]),GCN42370,,
72419.616,,s,60965.83819,G,22.0,0.3,magnitude,,n,n,,,,,,,1.0,n,,ADAGIO 820mm/Belesta (RAPAS [1]),GCN42370,,
128409.0,,s,60966.48621527778,R,21.79,0.13,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN42479,,
318967.0,,s,60968.69174768519,R,21.1,,magnitude,,n,y,,,,,,,1.0,n,,Zeiss-1000,GCN42479,,
566318.0,,s,60971.554606481484,R,22.5,,magnitude,,n,y,,,,,,,1.0,n,,AZT-33IK,GCN42479,,
