time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
92128.0,,s,61176.87136574074,Rc,17.1,,magnitude,,n,y,,,,,,,1.0,n,,FRAM-ORM 25cm,GCN44653,,
93150.0,,s,61176.88319444445,Rc,18.35,,magnitude,,n,y,,,,,,,1.0,n,,FRAM-ORM 25cm,GCN44653,,
97293.0,,s,61176.93114583333,VT-R,19.0,0.05,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN44654,,
97365.0,,s,61176.93197916667,VT-B,19.62,0.05,magnitude,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN44654,,
97388.0,,s,61176.93224537037,r,19.17,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,GROWTH-India Telescope 0.7m,GCN44655,,
98489.0,,s,61176.94498842593,r,19.45,0.09,magnitude,AB,n,n,,,,,,,1.0,n,,GROWTH-India Telescope 0.7m,GCN44655,,
121092.0,,s,61177.206597222226,r,21.65,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,COLIBRI/DDRAGO,GCN44657,,
121092.0,,s,61177.206597222226,z,21.66,0.16,magnitude,AB,n,n,,,,,,,1.0,n,,COLIBRI/DDRAGO,GCN44657,,
126782.0,,s,61177.27245370371,r,21.75,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,LCO 1m Sinistro,GCN44659,,
127214.0,,s,61177.277453703704,z,21.2,,magnitude,AB,n,y,,,,,,,1.0,n,,LCO 1m Sinistro,GCN44659,,
