time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
19991.0,,s,R,19.1,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,J,18.6,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,J,18.8,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,R,20.3,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,R,17.3,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,J,15.8,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,R,19.8,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,J,19.2,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,R,16.0,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,R,19.6,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,J,19.4,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
19991.0,,s,Ks,17.4,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,Ks,13.0,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,R,19.4,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,J,19.0,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,J,19.3,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,Ks,17.0,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,R,17.7,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,J,17.9,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,R,18.6,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,J,18.6,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
106391.0,,s,R,19.8,,mag,AB,n,y,,,,,,,1.0,n,,Kanata/HONIR,GCN24675,
