time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
785.0,,s,59255.50486111111,r,21.47,0.19,magnitude,AB,n,n,,,,,,,1.0,n,,Palomar 48-inch (ZTF),GCN29461,,
785.0,,s,59255.50486111111,r,21.03,0.13,magnitude,AB,n,n,,,,,,,1.0,n,,Palomar 48-inch (ZTF),GCN29461,,
75965.0,,s,59256.375,g,23.3,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
76310.6,,s,59256.379,r,22.98,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
76310.6,,s,59256.379,r,20.77,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
76310.6,,s,59256.379,r,21.69,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
76483.4,,s,59256.381,i,22.81,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
161673.8,,s,59257.367,g,23.07,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
162192.2,,s,59257.373,r,21.69,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
162192.2,,s,59257.373,r,22.89,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
162192.2,,s,59257.373,r,20.78,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
162365.0,,s,59257.375,i,23.1,,magnitude,,n,n,,,,,,,1.0,n,,DECam/Blanco,GCN29501,,
420183.0,,s,59260.35900462963,g,23.16,,magnitude,,n,n,,,,,,,1.0,n,,DECam,GCN29519,,
420960.0,,s,59260.367997685185,i,23.24,,magnitude,,n,n,,,,,,,1.0,n,,DECam,GCN29519,,
