time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
9111.0,,s,60396.78045138889,Rc,18.9,,magnitude,Vega,n,y,,,,,,,1.0,n,,Montarrenti 0.53m,GCN36050,,
26720.0,,s,60396.98425925926,Rc,20.1,,magnitude,Vega,n,y,,,,,,,1.0,n,,PlaneWave CDK 17,GCN36050,,
29265.0,,s,60397.01371527778,Rc,20.2,,magnitude,Vega,n,y,,,,,,,1.0,n,,iTel T72,GCN36050,,
31857.0,,s,60397.04371527778,Rc,21.6,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
32164.0,,s,60397.04726851852,V,21.2,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
32469.0,,s,60397.05079861111,B,21.0,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
35853.0,,s,60397.08996527778,g,19.6,,magnitude,AB,n,y,,,,,,,1.0,n,,TEC160FL,GCN36050,,
38858.0,,s,60397.124745370376,r,18.8,,magnitude,AB,n,y,,,,,,,1.0,n,,TEC160FL,GCN36050,,
40800.0,,s,60397.14722222222,g,21.0,,magnitude,,n,y,,,,,,,1.0,n,,ZTF/P48,GCN35989,,
40800.0,,s,60397.14722222222,r,21.0,,magnitude,,n,y,,,,,,,1.0,n,,ZTF/P48,GCN35989,,
64621.0,,s,60397.42292824075,V,18.9,,magnitude,Vega,n,y,,,,,,,1.0,n,,iTel T32,GCN36050,,
73783.0,,s,60397.52896990741,Rc,20.55,,magnitude,Vega,n,y,,,,,,,1.0,n,,Yaonan-80,GCN36026,,
73783.0,,s,60397.52896990741,B,18.72,,magnitude,Vega,n,y,,,,,,,1.0,n,,Yaonan-80,GCN36026,,
73783.0,,s,60397.52896990741,Ic,18.8,,magnitude,Vega,n,y,,,,,,,1.0,n,,Yaonan-80,GCN36026,,
73783.0,,s,60397.52896990741,V,18.0,,magnitude,Vega,n,y,,,,,,,1.0,n,,Yaonan-80,GCN36026,,
89237.0,,s,60397.70783564815,V,19.0,,magnitude,Vega,n,y,,,,,,,1.0,n,,ShAO-T60,GCN36026,,
114979.0,,s,60398.00577546297,Rc,20.8,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
115619.0,,s,60398.013182870374,Rc,20.1,,magnitude,Vega,n,y,,,,,,,1.0,n,,iTel T72,GCN36050,,
118491.0,,s,60398.046423611115,V,21.2,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
118795.0,,s,60398.04994212963,B,21.0,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
118837.0,,s,60398.05042824074,Rc,18.7,,magnitude,Vega,n,y,,,,,,,1.0,n,,FRAM-Auger,GCN36026,,
118914.0,,s,60398.05131944445,V,18.9,,magnitude,Vega,n,y,,,,,,,1.0,n,,FRAM-Auger,GCN36026,,
201365.0,,s,60399.00561342593,V,20.0,,magnitude,Vega,n,y,,,,,,,1.0,n,,iTel T72,GCN36050,,
265321.0,,s,60399.74584490741,Rc,18.8,,magnitude,Vega,n,y,,,,,,,1.0,n,,Lisnyky/AZT-8,GCN36026,,
268326.0,,s,60399.780625,Ic,18.1,,magnitude,Vega,n,y,,,,,,,1.0,n,,Lisnyky/AZT-8,GCN36026,,
274475.0,,s,60399.851793981485,V,21.5,,magnitude,Vega,n,y,,,,,,,1.0,n,,HAOs,GCN36026,,
276579.0,,s,60399.87614583334,Rc,20.2,,magnitude,Vega,n,y,,,,,,,1.0,n,,HAOs,GCN36026,,
287732.0,,s,60400.00523148148,Rc,19.7,,magnitude,Vega,n,y,,,,,,,1.0,n,,iTel T72,GCN36050,,
290837.0,,s,60400.04116898149,Rc,21.7,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
291143.0,,s,60400.04471064815,V,21.1,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
291448.0,,s,60400.04824074075,B,20.9,,magnitude,Vega,n,y,,,,,,,1.0,n,,Planewave CDK 400,GCN36050,,
363374.0,,s,60400.8807175926,V,21.9,,magnitude,Vega,n,y,,,,,,,1.0,n,,ASO,GCN36026,,
