time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
554361022.0,,s,63259.61331018518,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19430,,
554370339.0,,s,63259.72114583333,G,20.4,,magnitude,,n,y,,,,,,,1.0,n,,AS-32 0.7m Abastumani Observatory,GCN19435,,
554370613.0,,s,63259.72431712963,15GHz,0.28200000000000003,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
554476873.0,,s,63260.95417824074,15GHz,0.14400000000000002,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
554491780.0,,s,63261.12671296296,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19433,,
554650573.0,,s,63262.964594907404,15GHz,0.108,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
554741293.0,,s,63264.01459490741,15GHz,0.147,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
554810413.0,,s,63264.81459490741,15GHz,0.129,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
554901133.0,,s,63265.864594907405,15GHz,0.20400000000000001,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
555251053.0,,s,63269.91459490741,15GHz,0.111,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
557552712.0,,s,63296.55416666667,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19556,,
557746273.0,,s,63298.79445601851,15GHz,0.132,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
557878535.0,,s,63300.325266203705,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN19590,,
557912173.0,,s,63300.714594907404,15GHz,0.36,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN19607,,
