time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
71680.0,,s,r,19.22,0.04,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
154420.0,,s,r,20.03,0.11,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
158260.0,,s,g,20.16,0.09,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
160060.0,,s,i,19.83,0.14,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
242500.0,,s,r,20.54,0.15,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
246040.0,,s,g,20.66,0.16,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
327580.0,,s,r,20.71,0.17,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
336520.0,,s,g,20.8,,mag,,n,y,,,,,,,1.0,n,,ZTF,GCN28305,
499600.0,,s,g,21.0,,mag,,n,y,,,,,,,1.0,n,,ZTF,GCN28305,
501940.0,,s,r,20.98,0.24,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN28305,
586840.0,,s,r,20.5,,mag,,n,y,,,,,,,1.0,n,,ZTF,GCN28305,
