time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
0.0,,s,59156.40555555555,g,19.4,,magnitude,,n,y,,,,,,,1.0,n,,ZTF,GCN28841,,
82980.0,,s,59157.36597222222,g,19.5,0.2,magnitude,,n,n,,,,,,,1.0,n,,ZTF,GCN28841,,
89040.0,,s,59157.43611111111,r,19.2,0.1,magnitude,,n,n,,,,,,,1.0,n,,ZTF,GCN28841,,
161940.0,,s,59158.27986111111,g,20.2,0.3,magnitude,,n,n,,,,,,,1.0,n,,ZTF,GCN28841,,
167340.0,,s,59158.34236111111,r,19.9,0.2,magnitude,,n,n,,,,,,,1.0,n,,ZTF,GCN28841,,
280721.0,,s,59159.6546412037,R,20.23,0.26,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK (Mondy),GCN28875,,
285133.0,,s,59159.70570601852,R,20.49,0.12,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 (Tian Shan),GCN28875,,
293188.0,,s,59159.79893518518,r,20.84,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,AZT-20,GCN28862,,
295198.0,,s,59159.82219907407,r,21.08,0.08,magnitude,,n,n,,,,,,,1.0,n,,"GROWTH-India Telescope (GIT, 0.7m)",GCN28876,,
448192.0,,s,59161.59296296296,R,21.5,0.1,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK (Mondy),GCN28875,,
468451.0,,s,59161.82744212963,R,21.6,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,DOAO 1-m,GCN28880,,
536965.0,,s,59162.62042824074,R,21.67,0.19,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK (Mondy),GCN28883,,
539127.0,,s,59162.64545138889,r,21.91,0.06,magnitude,,n,n,,,,,,,1.0,n,,"GROWTH-India Telescope (GIT, 0.7m)",GCN28876,,
585818.0,,s,59163.185856481476,R,21.8,0.3,magnitude,AB,n,n,,,,,,,1.0,n,,"KIAS Chamnun Telescope (KCT, 0.36m)",GCN28880,,
647635.0,,s,59163.90133101852,R,21.8,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,KMTNet-SAAO 1.6-m,GCN28880,,
706554.0,,s,59164.58326388889,R,21.6,0.25,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK (Mondy),GCN28883,,
815808.0,,s,59165.84777777777,R,21.7,0.35,magnitude,,n,n,,,,,,,1.0,n,,AS-32 (AbAO),GCN29181,,
911644.0,,s,59166.956990740735,R,21.67,0.16,magnitude,,n,n,,,,,,,1.0,n,,ZTSh 2.6m (CrAO),GCN28886,,
911644.0,,s,59166.956990740735,R,22.45,0.14,magnitude,,n,n,,,,,,,1.0,n,,CrAO/ZTSh,GCN28925,,
994605.0,,s,59167.917187499996,Rc,22.8,0.2,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 (SAO RAS),GCN28926,,
1762957.0,,s,59176.81015046296,R,23.2,,magnitude,,n,y,,,,,,,1.0,n,,AZT-22 (Maidanak),GCN29181,,
1763137.0,,s,59176.81223379629,R,22.8,0.13,magnitude,,n,n,,,,,,,1.0,n,,AZT-22 (Maidanak),GCN29181,,
