time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
0.6,,s,r,17.9,,mag,,n,n,,,,,,,1.0,n,,ZTF,GCN29305,
54927.98,,s,R,21.04,0.06,mag,,n,n,,,,,,,1.0,n,,4Kx4K CCD Imager/3.6m DOT,GCN29308,
59244.671,,s,r,21.64,0.03,mag,AB,n,n,,,,,,,1.0,n,,OSIRIS/GTC,GCN29307,
62115.0,,s,R,21.27,0.13,mag,,n,n,,,,,,,1.0,n,,CAFOS/CAHA 2.2m,GCN29312,
69519.0,,s,g,22.28,0.05,mag,,n,n,,,,,,,1.0,n,,ALFOSC/NOT,GCN29310,
71168.0,,s,r,21.86,0.04,mag,,n,n,,,,,,,1.0,n,,ALFOSC/NOT,GCN29310,
72821.0,,s,i,21.65,0.03,mag,,n,n,,,,,,,1.0,n,,ALFOSC/NOT,GCN29310,
84915.0,,s,H,21.36,0.24,mag,,n,n,,,,,,,1.0,n,,LUCI/LBT,GCN29327,
84915.0,,s,J,21.62,0.2,mag,,n,n,,,,,,,1.0,n,,LUCI/LBT,GCN29327,
86404.0,,s,g,20.1,,mag,,n,y,,,,,,,1.0,n,,KPED/Kitt Peak 2.1m,GCN29316,
86404.0,,s,r,19.9,,mag,,n,y,,,,,,,1.0,n,,KPED/Kitt Peak 2.1m,GCN29316,
89988.0,,s,i,22.1,0.2,mag,,n,n,,,,,,,1.0,n,,LMI/4.3m LDT,GCN29309,
149388.0,,s,Rc,22.89,0.12,mag,,n,n,,,,,,,1.0,n,,CAFOS/CAHA 2.2m,GCN29321,
156287.0,,s,g,23.39,0.11,mag,,n,n,,,,,,,1.0,n,,GROND/MPG 2.2m,GCN29330,
173298.0,,s,g,23.47,0.06,mag,,n,n,,,,,,,1.0,n,,GROND/MPG 2.2m,GCN29330,
246748.0,,s,g,23.84,0.09,mag,,n,n,,,,,,,1.0,n,,GROND/MPG 2.2m,GCN29330,
