time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
0.0,,s,59339.04025462963,r,20.12,0.04,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN29938,,
0.0,,s,59339.04025462963,g,20.52,0.04,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN29938,,
8402.0,,s,59339.137500000004,G,20.51,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,DDOTI,GCN29940,,
9482.0,,s,59339.15,g,20.85,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
9482.0,,s,59339.15,r,20.48,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
9482.0,,s,59339.15,i,20.06,0.03,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
9482.0,,s,59339.15,Z,19.97,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
9482.0,,s,59339.15,Y,20.28,0.16,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
9482.0,,s,59339.15,J,20.16,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
9482.0,,s,59339.15,H,18.39,0.31,magnitude,AB,n,n,,,,,,,1.0,n,,RATIR,GCN29941,,
50352.0,,s,59339.62303240741,R,20.7,0.07,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN29954,,
53582.0,,s,59339.660416666666,r,21.2,0.06,magnitude,,n,n,,,,,,,1.0,n,,AZT-20,GCN29950,,
56552.0,,s,59339.69479166667,i,20.83,0.06,magnitude,,n,n,,,,,,,1.0,n,,AZT-20,GCN29950,,
61138.0,,s,59339.747870370375,R,21.5,0.4,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000,GCN29954,,
67077.0,,s,59339.816608796296,r,21.2,,magnitude,,n,y,,,,,,,1.0,n,,NEXT-0.6m,GCN29948,,
103319.0,,s,59340.236076388894,r,21.63,0.02,magnitude,AB,n,n,,,,,,,1.0,n,,LMI/Lowell Discovery Telescope,GCN29952,,
140598.0,,s,59340.667546296296,R,22.6,0.14,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN29964,,
538082.0,,s,59345.268055555556,r,23.9,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,LBC/LBT,GCN30079,,
538082.0,,s,59345.268055555556,z,24.1,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,LBC/LBT,GCN30079,,
1092074.0,,s,59351.68,r,23.6,0.28,magnitude,,n,n,,,,,,,1.0,n,,AZT-20,GCN30064,,
1176847.0,,s,59352.66116898148,r,23.67,0.29,magnitude,,n,n,,,,,,,1.0,n,,AZT-20,GCN30064,,
