time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
6.00288,,s,r,17.42,0.04,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN33229,,
8993.99616,,s,g,19.2,0.11,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN33229,,
15114.00192,,s,g,19.6,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN33229,,
22362.00288,,s,r,19.72,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN33229,,
40123.4496,,s,g,20.48,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,GROWTH-India Telescope,GCN33230,,
41082.3168,,s,r,20.31,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,GROWTH-India Telescope,GCN33230,,
42195.4944,,s,i,19.79,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,GROWTH-India Telescope,GCN33230,,
44924.0,,s,R,20.21,0.07,magnitude,,n,n,,,,,,,1.0,n,,DFOT 1.3m,GCN33237,,
52620.0,,s,i,19.13,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN33255,,
52620.0,,s,g,20.18,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN33255,,
52620.0,,s,r,19.21,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN33255,,
99120.0,,s,r,22.07,0.13,magnitude,,n,n,,,,,,,1.0,n,,LCOGT Sinistro 1m,GCN33241,,
138240.0,,s,g,21.82,,magnitude,AB,n,y,,,,,,,1.0,n,,LOT,GCN33255,,
138240.0,,s,r,21.78,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,LOT,GCN33255,,
138240.0,,s,i,21.34,0.13,magnitude,AB,n,n,,,,,,,1.0,n,,LOT,GCN33255,,
141092.0,,s,R,21.63,0.11,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN33239,,
211808.0,,s,R,20.3,,magnitude,,n,y,,,,,,,1.0,n,,AS-32,GCN33239,,
255120.0,,s,11GHz,0.076,0.007,mJy,,n,n,,,,,,,1.0,n,,VLA,GCN33253,,
255120.0,,s,9GHz,0.136,0.006,mJy,,n,n,,,,,,,1.0,n,,VLA,GCN33253,,
411341.0,,s,15.5GHz,0.128,,mJy,,n,y,,,,,,,1.0,n,,AMI-LA,GCN33251,,
