time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
0.0,,s,60112.40275462963,g,21.1,,magnitude,AB,n,y,,,,,,,1.0,n,,ZTF/P48,GCN34022,,
75389.0,,s,60113.275312499994,g,19.66,0.14,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN34022,,
80761.0,,s,60113.337488425925,r,19.37,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN34022,,
162142.0,,s,60114.279398148145,g,20.67,0.27,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN34022,,
167470.0,,s,60114.34106481481,r,20.38,0.19,magnitude,AB,n,n,,,,,,,1.0,n,,ZTF/P48,GCN34022,,
201431.0,,s,60114.734131944446,r,20.67,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,GIT 0.7-m,GCN34025,,
204098.0,,s,60114.765,r,20.94,0.14,magnitude,AB,n,n,,,,,,,1.0,n,,Lulin 40cm SLT,GCN34043,,
205385.0,,s,60114.77989583333,g,21.37,0.15,magnitude,AB,n,n,,,,,,,1.0,n,,GIT 0.7-m,GCN34025,,
207683.0,,s,60114.806493055556,i,20.7,0.17,magnitude,AB,n,n,,,,,,,1.0,n,,GIT 0.7-m,GCN34025,,
208158.0,,s,60114.81199074074,g,21.41,0.16,magnitude,AB,n,n,,,,,,,1.0,n,,Lulin 1m LOT,GCN34043,,
214682.0,,s,60114.8875,R,20.7,0.12,magnitude,AB,n,n,,,,,,,1.0,n,,OHP-T120,GCN34030,,
216946.0,,s,60114.9137037037,r,20.84,0.04,magnitude,AB,n,n,,,,,,,1.0,n,,OHP-T193/MISTRAL,GCN34030,,
217124.0,,s,60114.91576388889,R,20.53,0.2,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti 0.53m RC,GCN34052,,
217171.0,,s,60114.91630787037,I,20.02,0.19,magnitude,,n,n,,,,,,,1.0,n,,Montarrenti 0.53m RC,GCN34052,,
218151.0,,s,60114.92765046296,g,21.32,0.08,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN34031,,
218443.0,,s,60114.93103009259,r,20.88,0.06,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN34031,,
218734.0,,s,60114.93439814814,i,20.68,0.06,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN34031,,
219302.0,,s,60114.94097222222,V,20.85,0.07,magnitude,AB,n,n,,,,,,,1.0,n,,OHP-T120,GCN34030,,
220053.0,,s,60114.94966435185,r,21.04,0.06,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN34031,,
220341.0,,s,60114.952997685185,z,20.47,0.1,magnitude,,n,n,,,,,,,1.0,n,,Liverpool Telescope,GCN34031,,
220715.0,,s,60114.95732638889,u,21.3,,magnitude,,n,y,,,,,,,1.0,n,,Liverpool Telescope,GCN34031,,
271334.0,,s,60115.54319444444,R,21.34,0.14,magnitude,,n,n,,,,,,,1.0,n,,Xinglong 2.16m/BFOSC,GCN34040,,
274561.0,,s,60115.58054398148,uvot-uvm2,20.8,0.3,magnitude,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN34049,,
274561.0,,s,60115.58054398148,uvot-uvw1,20.4,0.5,magnitude,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN34049,,
274561.0,,s,60115.58054398148,uvot-v,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN34049,,
274561.0,,s,60115.58054398148,uvot-b,20.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN34049,,
274561.0,,s,60115.58054398148,uvot-u,20.6,0.5,magnitude,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN34049,,
274561.0,,s,60115.58054398148,uvot-uvw2,21.0,0.4,magnitude,,n,n,,,,,,,1.0,n,,Swift/UVOT,GCN34049,,
281951.0,,s,60115.66607638889,R,21.42,0.17,magnitude,,n,n,,,,,,,1.0,n,,AZT-33IK,GCN34047,,
293664.0,,s,60115.80164351851,R,21.31,0.18,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 (Koshka),GCN34077,,
310802.0,,s,60116.0,15.5GHz,0.5,0.05,mJy,,n,n,,,,,,,1.0,n,,AMI-LA,GCN34145,,
388181.0,,s,60116.895590277774,Rc,21.51,0.09,magnitude,,n,n,,,,,,,1.0,n,,SAO RAS Zeiss-1000,GCN34060,,
411122.0,,s,60117.16111111111,K,18.8,,magnitude,Vega,n,n,,,,,,,1.0,n,,TNG/NICS,GCN34102,,
478988.0,,s,60117.94659722222,Rc,21.68,0.14,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 (SAO RAS),GCN34078,,
499802.0,,s,60118.1875,r,22.5,0.1,magnitude,AB,n,n,,,,,,,1.0,n,,LBT/LBC,GCN34121,,
551010.0,,s,60118.780185185184,R,21.7,,magnitude,,n,y,,,,,,,1.0,n,,Zeiss-1000 (Koshka),GCN34077,,
560063.0,,s,60118.88496527778,Rc,22.12,0.08,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000 (SAO RAS),GCN34078,,
641316.0,,s,60119.82539351851,r,22.74,0.18,magnitude,AB,n,n,,,,,,,1.0,n,,HCT 2.0m,GCN34158,,
