time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
38622.0,,s,VT-R,18.0,,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN40707,
44086.0,,s,VT-R,20.8,0.1,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN40707,
44086.0,,s,VT-B,21.6,0.2,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN40707,
57158.0,,s,Mephisto-g,21.6,,mag,AB,n,y,,,,,,,1.0,n,,Mephisto 1.6m,GCN40731,
57159.0,,s,Mephisto-u,21.24,,mag,AB,n,y,,,,,,,1.0,n,,Mephisto 1.6m,GCN40731,
58212.0,,s,Mephisto-r,21.83,,mag,AB,n,y,,,,,,,1.0,n,,Mephisto 1.6m,GCN40731,
58213.0,,s,Mephisto-v,21.31,,mag,AB,n,y,,,,,,,1.0,n,,Mephisto 1.6m,GCN40731,
63726.0,,s,R,20.0,,mag,,n,y,,,,,,,1.0,n,,AS-32/AbAO,GCN40750,
73923.0,,s,r,22.1,,mag,AB,n,y,,,,,,,1.0,n,,T120cm/Observatoire de Haute-Provence,GCN40744,
103830.0,,s,r,22.9,,mag,AB,n,y,,,,,,,1.0,n,,COLIBRI/DDRAGO,GCN40723,
